symbol,index,announcement_date,ruleType,summary,url
SNGYO,1513381,2025-11-07 18:37:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513381
SNGYO,1513378,2025-11-07 18:36:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513378
SNGYO,1478032,2025-08-13 23:25:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1478032
SNGYO,1478030,2025-08-13 23:24:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1478030
SNGYO,1436691,2025-05-09 18:16:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436691
SNGYO,1436684,2025-05-09 18:16:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436684
SNGYO,1405415,2025-03-12 00:44:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405415
SNGYO,1405381,2025-03-12 00:11:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405381
SNGYO,1359063,2024-11-19 18:10:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1359063
SNGYO,1359061,2024-11-19 18:10:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1359061
SNGYO,1356481,2024-11-11 18:15:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356481
SNGYO,1356469,2024-11-11 18:15:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356469
SNGYO,1339335,2024-09-30 23:33:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339335
SNGYO,1339334,2024-09-30 23:33:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339334
SNGYO,1300007,2024-06-15 21:07:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300007
SNGYO,1300006,2024-06-15 21:06:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300006
SNGYO,1288344,2024-05-20 18:54:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288344
SNGYO,1288341,2024-05-20 18:53:48,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288341
SNGYO,1216632,2023-11-09 19:28:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216632
SNGYO,1216630,2023-11-09 19:27:49,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216630
SNGYO,1188050,2023-08-21 23:31:58,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1188050
SNGYO,1188049,2023-08-21 23:31:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1188049
SNGYO,1158792,2023-06-14 19:15:19,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1158792
SNGYO,1150160,2023-05-10 20:53:14,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150160
SNGYO,1150157,2023-05-10 20:52:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150157
SNGYO,1109298,2023-02-03 07:12:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1109298
SNGYO,1109297,2023-02-03 07:12:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1109297
SNGYO,1079039,2022-11-09 21:14:31,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079039
SNGYO,1079037,2022-11-09 21:13:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079037
SNGYO,1056933,2022-08-18 20:49:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056933
SNGYO,1056932,2022-08-18 20:48:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056932
SNGYO,1028745,2022-05-10 18:48:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028745
SNGYO,1028744,2022-05-10 18:48:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028744
SNGYO,1009749,2022-03-11 19:10:18,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009749
SNGYO,1009738,2022-03-11 19:08:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009738
SNGYO,976634,2021-11-09 21:03:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976634
SNGYO,976632,2021-11-09 21:03:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976632
SNGYO,958166,2021-08-13 23:01:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958166
SNGYO,958165,2021-08-13 23:00:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958165
SNGYO,941544,2021-06-09 19:35:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941544
SNGYO,941543,2021-06-09 19:34:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941543
SNGYO,910642,2021-02-17 20:42:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/910642
SNGYO,910641,2021-02-17 20:40:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/910641
SNGYO,887590,2020-11-09 21:05:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887590
SNGYO,887589,2020-11-09 21:04:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887589
SNGYO,870177,2020-08-19 20:29:37,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870177
SNGYO,870175,2020-08-19 20:29:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870175
SNGYO,850235,2020-06-09 18:23:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850235
SNGYO,850233,2020-06-09 18:23:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850233
SNGYO,826770,2020-03-11 02:23:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826770
SNGYO,826769,2020-03-11 02:23:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826769
