symbol,index,announcement_date,ruleType,summary,url
TAVHL,1507407,2025-10-23 18:15:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1507407
TAVHL,1468001,2025-07-29 23:25:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1468001
TAVHL,1429192,2025-04-24 18:16:45,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1429192
TAVHL,1393795,2025-02-18 18:16:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1393795
TAVHL,1350297,2024-10-23 18:17:32,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1350297
TAVHL,1314477,2024-07-22 19:12:55,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1314477
TAVHL,1277101,2024-04-25 18:22:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1277101
TAVHL,1249364,2024-02-14 00:39:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1249364
TAVHL,1209101,2023-10-24 18:18:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1209101
TAVHL,1175517,2023-07-26 18:15:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1175517
TAVHL,1140924,2023-04-25 18:19:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1140924
TAVHL,1113258,2023-02-14 20:59:18,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1113258
TAVHL,1074450,2022-10-26 18:21:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074450
TAVHL,1048338,2022-07-27 19:15:00,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1048338
TAVHL,1024021,2022-04-26 18:20:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024021
TAVHL,1001958,2022-02-15 20:08:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001958
TAVHL,971747,2021-10-21 18:22:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/971747
TAVHL,952114,2021-07-27 21:14:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/952114
TAVHL,931404,2021-04-27 18:22:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931404
TAVHL,910159,2021-02-16 18:46:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/910159
TAVHL,883107,2020-10-22 18:15:54,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/883107
TAVHL,861709,2020-07-24 18:11:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/861709
TAVHL,839891,2020-04-22 18:12:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/839891
TAVHL,817710,2020-02-07 18:16:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/817710
