symbol,index,announcement_date,ruleType,summary,url
TEKTU,1513244,2025-11-07 18:14:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513244
TEKTU,1479272,2025-08-15 18:15:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479272
TEKTU,1436653,2025-05-09 18:13:40,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436653
TEKTU,1402587,2025-03-07 19:03:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1402587
TEKTU,1356514,2024-11-11 18:19:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356514
TEKTU,1339164,2024-09-30 19:55:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339164
TEKTU,1299613,2024-06-14 18:16:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299613
TEKTU,1283586,2024-05-08 18:12:52,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1283586
TEKTU,1215933,2023-11-08 18:18:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215933
TEKTU,1184638,2023-08-11 18:20:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184638
TEKTU,1149951,2023-05-10 18:48:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149951
TEKTU,1121838,2023-03-08 18:27:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121838
TEKTU,1078895,2022-11-09 18:48:49,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078895
TEKTU,1056018,2022-08-16 18:22:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056018
TEKTU,1027590,2022-05-07 13:32:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027590
TEKTU,1002208,2022-02-16 19:42:19,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002208
TEKTU,976568,2021-11-09 19:28:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976568
TEKTU,959169,2021-08-18 21:11:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959169
TEKTU,935920,2021-05-10 18:11:39,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935920
TEKTU,915691,2021-03-05 20:02:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/915691
TEKTU,887417,2020-11-09 18:45:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887417
TEKTU,859854,2020-07-14 18:17:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/859854
TEKTU,850208,2020-06-09 18:16:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850208
TEKTU,826688,2020-03-10 22:23:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826688
