symbol,index,announcement_date,ruleType,summary,url
THYAO,1512543,2025-11-07 08:02:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1512543
THYAO,1472624,2025-08-05 19:15:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1472624
THYAO,1430405,2025-04-28 18:20:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1430405
THYAO,1396940,2025-02-28 08:00:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1396940
THYAO,1353359,2024-11-04 18:20:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353359
THYAO,1321134,2024-08-05 18:20:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1321134
THYAO,1289742,2024-05-22 18:20:11,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1289742
THYAO,1266721,2024-04-03 19:00:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1266721
THYAO,1213252,2023-11-01 18:17:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1213252
THYAO,1182596,2023-08-09 08:00:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182596
THYAO,1146464,2023-05-03 18:20:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1146464
THYAO,1118481,2023-03-01 18:22:22,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118481
THYAO,1076336,2022-11-02 18:15:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076336
THYAO,1054294,2022-08-10 18:15:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054294
THYAO,1024643,2022-04-28 08:00:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024643
THYAO,1005607,2022-03-01 07:47:08,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005607
THYAO,974563,2021-11-03 18:15:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974563
THYAO,957008,2021-08-10 18:17:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957008
THYAO,934242,2021-05-03 18:25:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934242
THYAO,914350,2021-03-01 23:24:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914350
THYAO,886204,2020-11-04 18:14:57,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886204
THYAO,868780,2020-08-13 18:43:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868780
THYAO,847098,2020-05-28 08:00:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847098
THYAO,825220,2020-03-06 21:50:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/825220
THYAO,824797,2020-03-06 08:00:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824797
