symbol,index,announcement_date,ruleType,summary,url
TLMAN,1512512,2025-11-06 21:08:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1512512
TLMAN,1480182,2025-08-18 19:44:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480182
TLMAN,1432500,2025-04-30 22:20:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432500
TLMAN,1398755,2025-03-03 18:14:15,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1398755
TLMAN,1357756,2024-11-13 20:55:51,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357756
TLMAN,1336654,2024-09-20 21:18:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1336654
TLMAN,1301411,2024-06-24 23:26:33,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1301411
TLMAN,1284602,2024-05-09 23:18:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1284602
TLMAN,1211926,2023-10-30 19:09:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211926
TLMAN,1183285,2023-08-09 23:49:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183285
TLMAN,1148327,2023-05-08 20:22:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148327
TLMAN,1125343,2023-03-15 21:34:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1125343
TLMAN,1076007,2022-11-01 18:44:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076007
TLMAN,1075448,2022-10-31 18:16:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075448
TLMAN,1053870,2022-08-09 21:19:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053870
TLMAN,1026746,2022-05-05 18:16:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1026746
TLMAN,1006209,2022-03-01 20:59:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1006209
TLMAN,973544,2021-11-01 18:12:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973544
TLMAN,956227,2021-08-09 18:27:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956227
TLMAN,935048,2021-05-06 18:58:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935048
TLMAN,914217,2021-03-01 20:00:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914217
TLMAN,885159,2020-10-30 18:56:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885159
TLMAN,867703,2020-08-10 21:39:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867703
TLMAN,848304,2020-06-01 19:49:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/848304
TLMAN,823064,2020-02-28 20:44:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823064
