symbol,index,announcement_date,ruleType,summary,url
TMSN,1517526,2025-11-17 20:11:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1517526
TMSN,1480130,2025-08-18 19:13:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480130
TMSN,1440369,2025-05-20 19:41:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1440369
TMSN,1405104,2025-03-11 22:28:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405104
TMSN,1361877,2024-12-02 18:13:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1361877
TMSN,1361574,2024-11-29 18:33:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1361574
TMSN,1336022,2024-09-19 20:12:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1336022
TMSN,1300641,2024-06-21 18:14:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300641
TMSN,1288327,2024-05-20 18:50:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288327
TMSN,1218778,2023-11-17 19:11:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1218778
TMSN,1186747,2023-08-17 20:17:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186747
TMSN,1149788,2023-05-10 18:17:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149788
TMSN,1123849,2023-03-13 19:46:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123849
TMSN,1078870,2022-11-09 18:40:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078870
TMSN,1055245,2022-08-12 19:51:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055245
TMSN,1028894,2022-05-10 20:30:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028894
TMSN,1008601,2022-03-09 02:48:13,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1008601
TMSN,976425,2021-11-09 18:20:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976425
TMSN,959312,2021-08-19 18:10:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959312
TMSN,938302,2021-05-26 19:37:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/938302
TMSN,917408,2021-03-11 18:28:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917408
TMSN,887813,2020-11-10 18:19:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887813
TMSN,887672,2020-11-09 23:55:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887672
TMSN,870195,2020-08-19 21:30:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870195
TMSN,870107,2020-08-19 19:08:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870107
TMSN,850292,2020-06-09 18:32:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850292
TMSN,826762,2020-03-11 00:29:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826762
