symbol,index,announcement_date,ruleType,summary,url
TTRAK,1511349,2025-11-04 19:30:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511349
TTRAK,1508524,2025-10-27 20:22:24,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1508524
TTRAK,1467469,2025-07-29 00:33:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1467469
TTRAK,1429260,2025-04-24 22:39:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1429260
TTRAK,1392724,2025-02-13 22:57:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1392724
TTRAK,1350685,2024-10-24 23:26:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1350685
TTRAK,1319612,2024-07-31 23:58:29,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1319612
TTRAK,1288552,2024-05-20 22:18:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1288552
TTRAK,1251452,2024-02-22 22:20:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1251452
TTRAK,1209105,2023-10-24 18:20:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1209105
TTRAK,1176040,2023-07-27 20:44:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1176040
TTRAK,1141415,2023-04-26 18:57:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1141415
TTRAK,1110174,2023-02-06 23:22:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1110174
TTRAK,1074474,2022-10-26 18:31:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074474
TTRAK,1050741,2022-08-01 20:08:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1050741
TTRAK,1022791,2022-04-21 18:54:47,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1022791
TTRAK,1001713,2022-02-14 21:18:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001713
TTRAK,972584,2021-10-26 18:32:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972584
TTRAK,956433,2021-08-09 20:14:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956433
TTRAK,931050,2021-04-26 18:55:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931050
TTRAK,908995,2021-02-10 23:09:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/908995
TTRAK,884079,2020-10-26 19:21:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884079
TTRAK,862213,2020-07-27 22:51:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/862213
TTRAK,840187,2020-04-24 19:08:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/840187
TTRAK,818318,2020-02-10 23:21:30,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818318
