symbol,index,announcement_date,ruleType,summary,url
TUPRS,1510162,2025-10-31 18:19:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1510162
TUPRS,1467923,2025-07-29 18:33:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1467923
TUPRS,1431089,2025-04-29 18:21:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431089
TUPRS,1393446,2025-02-17 18:26:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1393446
TUPRS,1353828,2024-11-05 18:21:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353828
TUPRS,1321133,2024-08-05 18:20:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1321133
TUPRS,1289777,2024-05-22 18:29:38,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1289777
TUPRS,1254613,2024-03-04 19:33:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1254613
TUPRS,1210021,2023-10-25 18:15:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210021
TUPRS,1177640,2023-07-31 18:20:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1177640
TUPRS,1142576,2023-04-28 07:40:40,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1142576
TUPRS,1111634,2023-02-08 19:27:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1111634
TUPRS,1076427,2022-11-03 06:00:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076427
TUPRS,1055582,2022-08-15 18:26:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055582
TUPRS,1027598,2022-05-09 06:36:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027598
TUPRS,1002149,2022-02-16 18:24:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002149
TUPRS,974867,2021-11-04 18:21:05,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974867
TUPRS,957354,2021-08-11 18:18:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957354
TUPRS,934738,2021-05-05 18:27:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934738
TUPRS,909170,2021-02-11 18:36:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909170
TUPRS,885911,2020-11-03 18:17:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885911
TUPRS,868390,2020-08-12 18:15:13,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868390
TUPRS,846345,2020-05-21 18:23:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/846345
TUPRS,818648,2020-02-12 18:16:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818648
