symbol,index,announcement_date,ruleType,summary,url
ULKER,1513265,2025-11-07 18:16:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513265
ULKER,1479968,2025-08-18 18:16:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479968
ULKER,1436683,2025-05-09 18:16:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436683
ULKER,1403480,2025-03-10 18:15:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403480
ULKER,1355180,2024-11-07 18:27:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355180
ULKER,1324126,2024-08-12 18:35:15,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1324126
ULKER,1292357,2024-05-29 18:17:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1292357
ULKER,1257637,2024-03-11 18:20:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1257637
ULKER,1216355,2023-11-09 18:12:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216355
ULKER,1186537,2023-08-17 18:15:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186537
ULKER,1148985,2023-05-09 18:13:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148985
ULKER,1123006,2023-03-10 19:28:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123006
ULKER,1078336,2022-11-08 19:18:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078336
ULKER,1056443,2022-08-17 18:54:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056443
ULKER,1028494,2022-05-10 18:10:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028494
ULKER,1009222,2022-03-10 19:05:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009222
ULKER,974888,2021-11-04 18:26:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974888
ULKER,957698,2021-08-12 18:13:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957698
ULKER,935005,2021-05-06 18:26:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935005
ULKER,916989,2021-03-10 19:09:46,Yıllık,,https://www.kap.org.tr/tr/Bildirim/916989
ULKER,886396,2020-11-05 18:17:31,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886396
ULKER,866251,2020-08-06 22:50:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866251
ULKER,842441,2020-05-04 20:42:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/842441
ULKER,824735,2020-03-05 21:39:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824735
