symbol,index,announcement_date,ruleType,summary,url
VAKBN,1512413,2025-11-06 18:24:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1512413
VAKBN,1512339,2025-11-06 18:10:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1512339
VAKBN,1474013,2025-08-07 18:12:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474013
VAKBN,1474005,2025-08-07 18:10:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474005
VAKBN,1435711,2025-05-08 18:11:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435711
VAKBN,1435704,2025-05-08 18:10:10,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435704
VAKBN,1393481,2025-02-17 19:42:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1393481
VAKBN,1390345,2025-02-06 20:26:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1390345
VAKBN,1354600,2024-11-06 20:05:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1354600
VAKBN,1354463,2024-11-06 18:18:25,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1354463
VAKBN,1323007,2024-08-08 18:16:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1323007
VAKBN,1323000,2024-08-08 18:15:15,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1323000
VAKBN,1284655,2024-05-10 00:19:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1284655
VAKBN,1284326,2024-05-09 18:40:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1284326
VAKBN,1250138,2024-02-16 18:15:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1250138
VAKBN,1247229,2024-02-06 18:18:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1247229
VAKBN,1216450,2023-11-09 18:21:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216450
VAKBN,1216436,2023-11-09 18:20:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216436
VAKBN,1183154,2023-08-09 20:05:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183154
VAKBN,1182988,2023-08-09 18:30:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182988
VAKBN,1151531,2023-05-15 18:55:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1151531
VAKBN,1151495,2023-05-15 18:12:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1151495
VAKBN,1117758,2023-02-28 18:33:52,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117758
VAKBN,1113217,2023-02-14 18:50:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1113217
VAKBN,1077597,2022-11-07 18:21:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077597
VAKBN,1077570,2022-11-07 18:15:23,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077570
VAKBN,1053178,2022-08-08 19:30:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053178
VAKBN,1053133,2022-08-08 18:47:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053133
VAKBN,1028780,2022-05-10 19:05:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028780
VAKBN,1028681,2022-05-10 18:37:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028681
VAKBN,1001689,2022-02-14 19:35:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001689
VAKBN,1001642,2022-02-14 18:35:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001642
VAKBN,974844,2021-11-04 18:12:28,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974844
VAKBN,974835,2021-11-04 18:10:28,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974835
VAKBN,956368,2021-08-09 19:21:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956368
VAKBN,956340,2021-08-09 19:02:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956340
VAKBN,935095,2021-05-06 23:47:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935095
VAKBN,935055,2021-05-06 19:04:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935055
VAKBN,910938,2021-02-18 23:07:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/910938
VAKBN,908697,2021-02-09 18:51:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/908697
VAKBN,887500,2020-11-09 19:24:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887500
VAKBN,887358,2020-11-09 18:26:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887358
VAKBN,867744,2020-08-10 23:27:45,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867744
VAKBN,867489,2020-08-10 18:25:55,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867489
VAKBN,845771,2020-05-18 20:52:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/845771
VAKBN,843815,2020-05-08 19:07:37,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/843815
VAKBN,821869,2020-02-26 20:47:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/821869
VAKBN,819224,2020-02-14 18:23:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819224
