symbol,index,announcement_date,ruleType,summary,url
VBTYZ,1513598,2025-11-07 23:18:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513598
VBTYZ,1479958,2025-08-18 18:15:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479958
VBTYZ,1478580,2025-08-14 18:34:13,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1478580
VBTYZ,1437028,2025-05-10 00:46:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437028
VBTYZ,1403510,2025-03-10 18:18:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403510
VBTYZ,1355910,2024-11-08 18:31:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355910
VBTYZ,1338520,2024-09-27 18:19:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1338520
VBTYZ,1299967,2024-06-15 13:30:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299967
VBTYZ,1282172,2024-05-06 20:22:08,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1282172
VBTYZ,1214094,2023-11-03 18:40:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214094
VBTYZ,1185306,2023-08-14 18:20:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185306
VBTYZ,1149029,2023-05-09 18:21:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149029
VBTYZ,1121272,2023-03-07 19:43:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121272
VBTYZ,1078251,2022-11-08 18:35:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078251
VBTYZ,1056027,2022-08-16 18:28:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056027
VBTYZ,1027350,2022-05-06 18:21:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027350
VBTYZ,1002524,2022-02-17 18:49:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002524
VBTYZ,975969,2021-11-08 18:41:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975969
VBTYZ,958780,2021-08-17 18:58:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958780
