symbol,index,announcement_date,ruleType,summary,url
VESTL,1514448,2025-11-10 18:18:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514448
VESTL,1481088,2025-08-19 22:16:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481088
VESTL,1437869,2025-05-12 19:09:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437869
VESTL,1403934,2025-03-11 01:18:56,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403934
VESTL,1356104,2024-11-08 22:42:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356104
VESTL,1327488,2024-08-24 00:55:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1327488
VESTL,1300349,2024-06-20 19:51:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300349
VESTL,1269098,2024-04-06 07:29:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1269098
VESTL,1215331,2023-11-07 18:54:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215331
VESTL,1187377,2023-08-18 19:18:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187377
VESTL,1149922,2023-05-10 18:42:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149922
VESTL,1122956,2023-03-10 18:59:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1122956
VESTL,1078803,2022-11-09 18:23:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078803
VESTL,1056980,2022-08-18 23:58:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056980
VESTL,1029006,2022-05-11 00:03:37,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1029006
VESTL,1010170,2022-03-12 10:41:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1010170
VESTL,973199,2021-10-28 13:22:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973199
VESTL,956555,2021-08-09 22:08:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956555
VESTL,931489,2021-04-27 20:41:55,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931489
VESTL,916730,2021-03-09 23:55:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/916730
VESTL,886962,2020-11-06 23:57:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886962
VESTL,870230,2020-08-19 23:36:44,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870230
VESTL,850416,2020-06-09 23:40:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850416
VESTL,824682,2020-03-05 19:00:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824682
VESTL,824092,2020-03-03 23:36:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824092
