symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
BIMAS,2025-09-17,0.76,4.0,400.0,340.0,2400000000.0,10.0
BIMAS,2025-06-18,0.8,4.0,400.0,340.0,2400000000.0,10.0
BIMAS,2024-12-18,0.77,4.0,400.0,360.0,2428800000.0,11.0
BIMAS,2024-10-02,0.83,4.0,400.0,360.0,2428800000.0,11.0
BIMAS,2024-07-17,0.34,2.0,200.0,180.0,1214400000.0,5.0
BIMAS,2023-12-20,0.98,3.0,300.0,270.0,1821600000.0,11.0
BIMAS,2023-06-14,1.21,2.0,200.0,180.0,1214400000.0,7.0
BIMAS,2022-12-14,1.13,1.5,150.0,135.0,1639440000.0,56.0
BIMAS,2022-06-15,1.79,1.5,150.0,135.0,1639440000.0,56.0
BIMAS,2021-11-17,3.01,2.0,200.0,170.0,1214400000.0,47.0
BIMAS,2021-05-20,3.05,2.0,200.0,170.0,1214400000.0,47.0
BIMAS,2021-01-08,2.6,2.0,200.0,170.0,1214400000.0,47.0
BIMAS,2020-05-13,0.97,0.5,50.0,42.5,303600000.0,25.0
