symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
ENKAI,2025-10-08,1.2,0.8333,83.33,70.83,5000000000.0,16.0
ENKAI,2025-06-11,0.5,0.3167,31.67,26.92,1900000000.0,6.0
ENKAI,2025-04-16,3.13,2.0,200.0,170.0,12000000000.0,39.0
ENKAI,2024-05-14,3.24,1.25,125.0,114.62,7500000000.0,44.0
ENKAI,2024-01-03,1.47,0.5,50.0,45.0,3000000000.0,18.0
ENKAI,2023-04-12,1.13,0.3633,36.33,33.24,2180000000.0,111.0
ENKAI,2022-04-13,3.07,0.5,50.0,45.0,2800000000.0,54.0
ENKAI,2022-01-05,1.28,0.2,20.0,18.0,1120000000.0,22.0
ENKAI,2021-04-13,4.45,0.3571,35.71,30.36,2000000000.0,44.0
ENKAI,2020-04-14,2.62,0.18,18.0,16.41,900000000.0,23.0
