symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
FROTO,2025-04-03,1.64,17.1,1710.0,1453.5,6000561000.0,12.0
FROTO,2024-11-22,1.4,14.25,1425.0,1282.5,5000467500.0,7.0
FROTO,2024-04-08,3.55,43.3,4330.0,3897.0,15194403000.0,21.0
FROTO,2023-10-30,3.51,29.76,2976.0,2678.4,10443081600.0,38.0
FROTO,2023-03-13,2.32,14.25,1425.0,1282.5,5000467500.0,18.0
FROTO,2022-11-30,1.29,5.7,570.0,513.0,2000187000.0,23.0
FROTO,2022-03-24,4.11,13.0,1300.0,1170.0,4561830000.0,52.0
FROTO,2021-11-19,1.67,3.77,377.0,320.45,1322930700.0,32.0
FROTO,2021-03-24,3.06,6.42,642.0,545.7,2252842200.0,54.0
FROTO,2020-03-23,6.68,3.12,312.0,265.2,1094839200.0,56.0
