symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
VAKBN,2018-08-16,1.41,0.05,5.0,4.25,125000000.0,3.0
VAKBN,2017-06-13,0.73,0.048,4.8,4.08,120000000.0,4.0
VAKBN,2016-05-31,0.9,0.04,4.0,3.4,100000000.0,5.0
VAKBN,2015-05-29,0.86,0.04,4.0,3.4,100000000.0,6.0
VAKBN,2014-05-30,0.78,0.04,4.0,3.4,100000000.0,6.0
VAKBN,2013-05-31,0.65,0.04,4.0,3.4,100000000.0,7.0
VAKBN,2012-05-31,0.49,0.0148,1.48,1.26,37000000.0,3.0
VAKBN,2011-05-31,0.38,0.0137,1.37,1.17,34314770.0,3.0
VAKBN,2010-05-31,1.42,0.0483,4.83,4.11,120764144.0,10.0
VAKBN,2008-05-30,2.77,0.0569,5.69,4.83,142200000.0,14.0
VAKBN,2007-05-30,7.96,0.3009,30.09,25.58,384864827.0,48.0
VAKBN,2006-05-30,4.46,0.3122,31.22,28.1,399352105.0,65.0
