index,publishDate,ruleType,summary,url
886848,06.11.2020 18:38:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886848
869544,17.08.2020 19:48:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869544
847817,29.05.2020 18:43:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847817
823712,02.03.2020 22:10:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823712
975999,08.11.2021 19:08:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975999
959164,18.08.2021 20:54:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959164
936440,12.05.2021 18:44:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936440
917148,10.03.2021 23:25:15,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917148
1078290,08.11.2022 18:56:50,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078290
1056898,18.08.2022 19:40:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056898
1028066,09.05.2022 20:15:38,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028066
1009377,11.03.2022 00:18:22,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009377
1216029,08.11.2023 18:56:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216029
1187286,18.08.2023 18:20:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187286
1149025,09.05.2023 18:20:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149025
1123127,10.03.2023 21:46:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123127
1356071,08.11.2024 21:26:05,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356071
1338197,26.09.2024 21:02:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1338197
1299720,14.06.2024 18:52:33,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299720
1274831,19.04.2024 02:46:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1274831
1513604,07.11.2025 23:22:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513604
1480267,18.08.2025 20:58:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480267
1437035,10.05.2025 01:37:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437035
1403943,11.03.2025 03:13:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403943
