index,publishDate,ruleType,summary,url
887289,09.11.2020 18:12:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887289
870009,19.08.2020 18:15:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870009
849972,08.06.2020 18:24:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/849972
826409,10.03.2020 18:19:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826409
976458,09.11.2021 18:24:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976458
959319,19.08.2021 18:11:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959319
937990,25.05.2021 18:15:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/937990
921164,26.03.2021 18:15:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/921164
916975,10.03.2021 18:56:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/916975
1078166,08.11.2022 18:21:14,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078166
1056896,18.08.2022 19:39:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056896
1028671,10.05.2022 18:35:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028671
1009133,10.03.2022 18:17:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009133
1216357,09.11.2023 18:12:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216357
1187726,21.08.2023 18:13:26,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187726
1149767,10.05.2023 18:13:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149767
1122909,10.03.2023 18:31:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1122909
1356504,11.11.2024 18:18:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356504
1340145,01.10.2024 18:16:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1340145
1339122,30.09.2024 19:26:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339122
1300741,21.06.2024 18:38:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300741
1288400,20.05.2024 19:16:56,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288400
1514423,10.11.2025 18:16:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514423
1480696,19.08.2025 18:15:48,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480696
1437569,12.05.2025 18:15:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437569
1404612,11.03.2025 18:55:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404612
