index,publishDate,ruleType,summary,url
884017,26.10.2020 18:19:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884017
862137,27.07.2020 18:36:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/862137
842390,04.05.2020 18:15:45,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/842390
818255,10.02.2020 19:30:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818255
972539,26.10.2021 18:17:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972539
954792,04.08.2021 18:20:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/954792
931391,27.04.2021 18:18:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931391
908658,09.02.2021 18:16:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/908658
1074441,26.10.2022 18:18:54,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074441
1051595,03.08.2022 18:25:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1051595
1025006,28.04.2022 18:17:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025006
1000937,10.02.2022 18:37:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000937
1210050,25.10.2023 18:39:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210050
1182258,08.08.2023 18:16:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182258
1142075,27.04.2023 18:28:33,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1142075
1115300,20.02.2023 18:17:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1115300
1351850,30.10.2024 18:46:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351850
1332625,10.09.2024 18:17:15,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1332625
1293859,03.06.2024 18:16:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1293859
1254061,01.03.2024 18:55:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1254061
1508491,27.10.2025 18:46:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1508491
1474039,07.08.2025 18:16:24,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474039
1431068,29.04.2025 18:17:11,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431068
1394157,19.02.2025 18:17:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1394157
