index,publishDate,ruleType,summary,url
887422,09.11.2020 18:46:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887422
870054,19.08.2020 18:41:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870054
850326,09.06.2020 18:47:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850326
823074,28.02.2020 21:13:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823074
976526,09.11.2021 18:49:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976526
959423,19.08.2021 18:41:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959423
935972,10.05.2021 18:47:21,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935972
911959,23.02.2021 18:46:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911959
1078871,09.11.2022 18:40:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078871
1056870,18.08.2022 19:01:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056870
1028749,10.05.2022 18:50:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028749
1005360,28.02.2022 18:58:59,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005360
1216560,09.11.2023 18:46:00,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216560
1187812,21.08.2023 18:40:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187812
1149159,09.05.2023 19:00:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149159
1117880,28.02.2023 19:17:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117880
1356607,11.11.2024 18:31:03,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356607
1328637,28.08.2024 18:30:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1328637
1293303,31.05.2024 18:30:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1293303
1259378,15.03.2024 23:09:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1259378
1514588,10.11.2025 18:30:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514588
1480802,19.08.2025 18:31:04,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480802
1437725,12.05.2025 18:32:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437725
1397489,28.02.2025 18:30:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397489
