index,publishDate,ruleType,summary,url
886899,06.11.2020 19:02:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886899
868837,13.08.2020 20:21:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868837
847789,29.05.2020 18:25:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847789
824400,04.03.2020 21:13:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824400
975297,05.11.2021 18:21:39,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975297
958137,13.08.2021 19:44:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958137
936286,11.05.2021 19:03:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936286
915262,04.03.2021 19:49:01,Yıllık,,https://www.kap.org.tr/tr/Bildirim/915262
1078337,08.11.2022 19:19:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078337
1056055,16.08.2022 18:58:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056055
1028038,09.05.2022 19:18:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028038
1006680,02.03.2022 22:55:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1006680
1215954,08.11.2023 18:22:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215954
1186181,16.08.2023 19:26:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186181
1149270,09.05.2023 20:51:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149270
1120253,04.03.2023 01:56:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120253
1355859,08.11.2024 18:20:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355859
1325820,16.08.2024 19:51:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1325820
1285154,10.05.2024 18:39:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1285154
1256060,06.03.2024 21:03:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1256060
1513432,07.11.2025 18:58:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513432
1479432,15.08.2025 19:42:45,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479432
1436758,09.05.2025 18:28:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436758
1401122,05.03.2025 23:26:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401122
