index,publishDate,ruleType,summary,url
884439,27.10.2020 18:20:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884439
866187,06.08.2020 19:10:34,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866187
847782,29.05.2020 18:22:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847782
822193,27.02.2020 19:25:41,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822193
973170,28.10.2021 12:53:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973170
973058,27.10.2021 19:01:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973058
956271,09.08.2021 18:40:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956271
931932,28.04.2021 18:26:10,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931932
913050,25.02.2021 19:02:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/913050
1075551,31.10.2022 18:43:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075551
1053097,08.08.2022 18:30:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053097
1025048,28.04.2022 18:27:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025048
1005251,28.02.2022 18:18:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005251
1211889,30.10.2023 18:54:23,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211889
1183006,09.08.2023 18:36:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183006
1182331,08.08.2023 18:37:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182331
1142196,27.04.2023 19:15:07,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1142196
1117743,28.02.2023 18:26:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117743
1351111,25.10.2024 21:38:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351111
1335948,19.09.2024 18:35:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1335948
1292924,30.05.2024 20:54:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1292924
1263997,28.03.2024 21:22:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1263997
1507506,23.10.2025 19:44:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1507506
1474261,07.08.2025 20:49:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474261
1430507,28.04.2025 19:36:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1430507
1396883,27.02.2025 22:38:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1396883
