index,publishDate,ruleType,summary,url
887453,09.11.2020 19:02:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887453
870206,19.08.2020 22:21:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870206
850405,09.06.2020 23:14:39,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850405
826658,10.03.2020 21:42:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826658
976709,09.11.2021 23:28:54,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976709
959503,19.08.2021 20:19:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959503
941566,09.06.2021 20:50:46,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941566
917721,11.03.2021 23:20:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917721
1078991,09.11.2022 20:21:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078991
1057295,19.08.2022 19:12:15,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057295
1028791,10.05.2022 19:10:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028791
1010102,11.03.2022 23:28:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1010102
1216718,09.11.2023 20:53:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216718
1187939,21.08.2023 19:46:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187939
1150056,10.05.2023 19:32:44,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150056
1124250,13.03.2023 23:56:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124250
1356551,11.11.2024 18:21:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356551
1334624,16.09.2024 20:05:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1334624
1299890,14.06.2024 22:28:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299890
1281431,05.05.2024 18:17:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1281431
1514864,10.11.2025 19:42:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514864
1480155,18.08.2025 19:25:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480155
1437784,12.05.2025 18:43:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437784
1404662,11.03.2025 19:15:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404662
