index,publishDate,ruleType,summary,url
887497,09.11.2020 19:23:58,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887497
866243,06.08.2020 21:59:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866243
847530,28.05.2020 22:49:31,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847530
822233,27.02.2020 19:59:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822233
973557,01.11.2021 18:14:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973557
956167,09.08.2021 18:14:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956167
932518,29.04.2021 18:14:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932518
914148,01.03.2021 18:54:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914148
1075470,31.10.2022 18:19:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075470
1054851,11.08.2022 20:41:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054851
1053797,09.08.2022 20:01:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053797
1025829,29.04.2022 18:22:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025829
1005907,01.03.2022 18:14:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005907
1211700,30.10.2023 18:15:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211700
1182991,09.08.2023 18:31:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182991
1144991,02.05.2023 18:17:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144991
1118791,01.03.2023 21:46:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118791
1359685,21.11.2024 18:19:24,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1359685
1339295,30.09.2024 22:36:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339295
1313218,17.07.2024 18:13:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1313218
1290935,24.05.2024 21:52:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1290935
1480022,18.08.2025 18:29:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480022
1445373,03.06.2025 18:13:07,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1445373
1411580,25.03.2025 18:50:01,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1411580
