index,publishDate,ruleType,summary,url
883106,22.10.2020 18:15:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/883106
866136,06.08.2020 18:25:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866136
841211,29.04.2020 18:15:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/841211
818449,11.02.2020 18:13:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818449
972551,26.10.2021 18:19:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972551
956316,09.08.2021 18:54:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956316
932523,29.04.2021 18:15:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932523
909146,11.02.2021 18:26:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909146
1074415,26.10.2022 18:12:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074415
1053551,09.08.2022 18:12:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053551
1024374,27.04.2022 18:13:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024374
1000945,10.02.2022 18:51:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000945
1210654,26.10.2023 19:30:50,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210654
1182220,08.08.2023 18:12:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182220
1144905,02.05.2023 18:13:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144905
1119913,03.03.2023 18:13:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1119913
1350036,22.10.2024 18:15:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1350036
1325434,15.08.2024 21:20:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1325434
1284211,09.05.2024 18:11:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1284211
1251366,22.02.2024 18:11:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1251366
1506130,20.10.2025 18:11:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1506130
1473179,06.08.2025 18:11:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1473179
1431022,29.04.2025 18:11:37,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431022
1392281,12.02.2025 18:16:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1392281
