index,publishDate,ruleType,summary,url
885537,03.11.2020 02:05:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885537
867021,09.08.2020 23:33:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867021
842449,04.05.2020 23:58:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/842449
820664,21.02.2020 00:45:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/820664
975473,07.11.2021 14:15:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975473
974593,03.11.2021 18:52:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974593
957136,11.08.2021 06:42:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957136
934495,04.05.2021 18:48:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934495
911277,22.02.2021 06:44:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911277
1076073,01.11.2022 20:54:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076073
1053846,09.08.2022 20:35:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053846
1028029,09.05.2022 19:10:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028029
1003327,22.02.2022 01:59:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1003327
1214156,03.11.2023 20:37:51,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214156
1181815,07.08.2023 23:35:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181815
1147688,05.05.2023 22:58:04,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1147688
1116583,24.02.2023 01:18:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1116583
1351955,30.10.2024 20:06:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351955
1326803,21.08.2024 22:08:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326803
1292436,29.05.2024 20:16:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1292436
1260844,21.03.2024 05:51:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1260844
1508534,27.10.2025 21:00:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1508534
1473394,06.08.2025 22:17:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1473394
1432082,30.04.2025 18:26:53,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432082
1397822,28.02.2025 23:49:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397822
