index,publishDate,ruleType,summary,url
887376,09.11.2020 18:34:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887376
870073,19.08.2020 18:49:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870073
850302,09.06.2020 18:34:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850302
826639,10.03.2020 21:15:59,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826639
976399,09.11.2021 18:16:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976399
959517,19.08.2021 21:01:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959517
937997,25.05.2021 18:21:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/937997
917615,11.03.2021 21:16:13,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917615
1078775,09.11.2022 18:19:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078775
1057288,19.08.2022 18:58:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057288
1028624,10.05.2022 18:27:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028624
1009800,11.03.2022 19:38:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009800
1216413,09.11.2023 18:17:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216413
1187853,21.08.2023 18:50:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187853
1150013,10.05.2023 19:04:50,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150013
1123925,13.03.2023 20:25:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123925
1356547,11.11.2024 18:21:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356547
1338501,27.09.2024 18:15:59,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1338501
1299635,14.06.2024 18:18:28,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299635
1282256,06.05.2024 21:55:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1282256
1514718,10.11.2025 18:48:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514718
1480258,18.08.2025 20:48:28,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480258
1437673,12.05.2025 18:27:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437673
1404933,11.03.2025 21:15:00,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404933
