index,publishDate,ruleType,summary,url
887813,10.11.2020 18:19:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887813
887672,09.11.2020 23:55:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887672
870195,19.08.2020 21:30:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870195
870107,19.08.2020 19:08:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870107
850292,09.06.2020 18:32:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850292
826762,11.03.2020 00:29:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826762
976425,09.11.2021 18:20:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976425
959312,19.08.2021 18:10:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959312
938302,26.05.2021 19:37:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/938302
917408,11.03.2021 18:28:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917408
1078870,09.11.2022 18:40:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078870
1055245,12.08.2022 19:51:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055245
1028894,10.05.2022 20:30:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028894
1008601,09.03.2022 02:48:13,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1008601
1218778,17.11.2023 19:11:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1218778
1186747,17.08.2023 20:17:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186747
1149788,10.05.2023 18:17:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149788
1123849,13.03.2023 19:46:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123849
1361877,02.12.2024 18:13:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1361877
1361574,29.11.2024 18:33:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1361574
1336022,19.09.2024 20:12:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1336022
1300641,21.06.2024 18:14:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300641
1288327,20.05.2024 18:50:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288327
1517526,17.11.2025 20:11:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1517526
1480130,18.08.2025 19:13:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480130
1440369,20.05.2025 19:41:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1440369
1405104,11.03.2025 22:28:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405104
