symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
HEKTS,11.02.2022 20:31:21,0,0,0,0,GENEL_BILGI
HEKTS,11.02.2022 20:31:37,0,2,0,0,FINANSAL_RAPOR
HEKTS,11.02.2022 20:32:14,0,0,0,0,GENEL_BILGI
HEKTS,11.02.2022 20:32:43,0,0,1,0,GENEL_BILGI
HEKTS,16.02.2022 17:38:08,0,2,0,0,YATIRIM_SOZLESME
HEKTS,16.02.2022 18:17:50,0,2,0,0,FINANSAL_RAPOR
HEKTS,09.03.2022 19:40:05,0,0,0,0,GENEL_BILGI
HEKTS,09.03.2022 19:40:22,0,0,0,0,PARSE_ERROR
HEKTS,18.03.2022 23:49:58,30,2,0,0,YATIRIM_SOZLESME
HEKTS,22.03.2022 18:14:44,0,0,0,0,GENEL_BILGI
HEKTS,28.03.2022 18:17:37,0,0,0,0,GENEL_BILGI
HEKTS,01.04.2022 20:37:18,0,0,0,0,GENEL_BILGI
HEKTS,01.04.2022 20:49:20,30,1,0,0,FINANSAL_RAPOR
HEKTS,01.04.2022 20:51:09,0,0,0,0,GENEL_BILGI
HEKTS,01.04.2022 20:52:58,0,0,1,0,GENEL_BILGI
HEKTS,01.04.2022 20:57:39,0,0,0,0,GENEL_BILGI
HEKTS,01.04.2022 21:01:17,0,0,1,0,GENEL_BILGI
HEKTS,06.04.2022 23:30:02,0,0,0,0,GENEL_BILGI
HEKTS,06.04.2022 23:30:23,0,0,0,0,GENEL_BILGI
HEKTS,15.04.2022 14:44:56,-40,5,1,0,GENEL_BILGI
HEKTS,15.04.2022 18:47:11,30,2,0,2,YATIRIM_SOZLESME
HEKTS,15.04.2022 18:47:20,30,2,0,2,SERMAYE_TEMETTU
HEKTS,21.04.2022 18:25:41,0,0,0,0,GENEL_BILGI
HEKTS,26.04.2022 22:12:04,0,0,0,0,GENEL_BILGI
HEKTS,26.04.2022 22:12:16,0,0,0,0,GENEL_BILGI
HEKTS,26.04.2022 22:13:01,0,0,0,0,GENEL_BILGI
HEKTS,28.04.2022 18:16:04,30,2,0,0,YATIRIM_SOZLESME
HEKTS,29.04.2022 18:05:05,0,0,0,0,GENEL_BILGI
HEKTS,05.05.2022 17:11:03,-20,2,0,0,FINANSAL_RAPOR
HEKTS,09.05.2022 15:12:24,-20,2,0,0,FINANSAL_RAPOR
HEKTS,10.05.2022 18:35:34,0,0,0,0,GENEL_BILGI
HEKTS,12.05.2022 12:34:36,-40,5,1,0,GENEL_BILGI
HEKTS,12.05.2022 17:37:05,0,2,0,0,ROUTINE_INFO
HEKTS,12.05.2022 18:21:03,0,2,0,0,FINANSAL_RAPOR
HEKTS,18.05.2022 18:22:58,0,1,0,0,YATIRIM_SOZLESME
HEKTS,20.05.2022 17:01:36,0,0,0,0,GENEL_BILGI
HEKTS,30.05.2022 17:48:08,0,2,0,0,YATIRIM_SOZLESME
HEKTS,30.05.2022 18:17:08,0,1,0,0,FINANSAL_RAPOR
HEKTS,01.06.2022 13:49:45,-20,2,0,0,FINANSAL_RAPOR
