symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
ISDMR,10.02.2022 18:51:12,0,0,0,0,GENEL_BILGI
ISDMR,10.02.2022 18:51:30,0,0,0,0,GENEL_BILGI
ISDMR,10.02.2022 18:51:47,0,0,0,0,GENEL_BILGI
ISDMR,10.02.2022 18:52:03,0,0,1,0,GENEL_BILGI
ISDMR,21.02.2022 17:36:27,0,2,0,0,GENEL_BILGI
ISDMR,22.02.2022 18:48:29,0,0,0,0,GENEL_BILGI
ISDMR,22.02.2022 18:52:25,30,1,0,0,KAYIP_DAĞITIM
ISDMR,23.02.2022 16:12:23,-40,5,1,0,GENEL_BILGI
ISDMR,11.03.2022 18:26:38,0,0,0,0,GENEL_BILGI
ISDMR,16.03.2022 10:56:13,0,0,0,0,GENEL_BILGI
ISDMR,17.03.2022 18:44:44,0,0,0,0,GENEL_BILGI
ISDMR,17.03.2022 18:52:32,30,1,0,0,Kâr_artışı
ISDMR,17.03.2022 18:53:42,0,0,0,0,GENEL_BILGI
ISDMR,21.03.2022 16:49:11,0,0,1,0,GENEL_BILGI
ISDMR,22.03.2022 08:55:20,30,1,1,2,SERMAYE_TEMETTU
ISDMR,22.03.2022 18:14:44,0,0,0,0,GENEL_BILGI
ISDMR,24.03.2022 16:55:54,30,1,1,0,SERMAYE_TEMETTU
ISDMR,07.04.2022 18:57:54,0,0,0,0,GENEL_BILGI
ISDMR,11.04.2022 18:24:07,0,0,0,0,GENEL_BILGI
ISDMR,21.04.2022 18:12:20,0,0,0,0,GENEL_BILGI
ISDMR,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
ISDMR,27.04.2022 18:13:17,-20,2,0,0,FINANSAL_RAPOR
ISDMR,27.04.2022 18:13:47,0,0,0,0,GENEL_BILGI
ISDMR,27.04.2022 18:14:00,0,0,0,0,GENEL_BILGI
ISDMR,20.05.2022 18:14:36,0,0,0,0,GENEL_BILGI
ISDMR,24.05.2022 10:03:59,-40,5,0,0,GENEL_BILGI
ISDMR,24.05.2022 18:10:59,0,0,0,0,GENEL_BILGI
ISDMR,20.06.2022 15:10:53,-40,5,0,0,GENEL_BILGI
ISDMR,09.08.2022 18:12:05,-20,2,0,0,FINANSAL_RAPOR
ISDMR,09.08.2022 18:12:18,0,0,0,0,GENEL_BILGI
ISDMR,09.08.2022 18:12:35,0,0,0,0,GENEL_BILGI
ISDMR,25.08.2022 09:27:21,0,0,0,0,GENEL_BILGI
ISDMR,12.09.2022 18:11:30,0,5,0,0,GENEL_BILGI
ISDMR,13.09.2022 17:39:24,-40,5,0,0,GENEL_BILGI
ISDMR,14.09.2022 11:37:41,-40,5,0,0,GENEL_BILGI
ISDMR,21.09.2022 18:46:52,0,0,0,0,GENEL_BILGI
ISDMR,26.10.2022 18:12:44,-20,2,0,0,FINANSAL_RAPOR
ISDMR,26.10.2022 18:13:21,0,0,0,0,GENEL_BILGI
ISDMR,26.10.2022 18:13:40,0,0,0,0,GENEL_BILGI
ISDMR,27.10.2022 14:18:02,-20,2,0,0,FINANSAL_RAPOR
ISDMR,27.10.2022 18:42:43,0,0,0,0,GENEL_BILGI
ISDMR,27.10.2022 18:43:51,30,1,0,0,FINANSAL_RAPOR
ISDMR,08.11.2022 11:59:49,-40,5,0,0,GENEL_BILGI
ISDMR,09.11.2022 17:47:23,-40,5,0,0,GENEL_BILGI
ISDMR,18.11.2022 18:39:27,0,0,0,0,GENEL_BILGI
