symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
KARTN,18.02.2022 11:18:10,0,0,0,0,GENEL_BILGI
KARTN,28.02.2022 10:00:05,-40,5,0,0,GENEL_BILGI
KARTN,01.03.2022 09:02:43,0,0,0,0,GENEL_BILGI
KARTN,02.03.2022 19:39:42,0,2,0,0,FINANSAL_RAPOR
KARTN,02.03.2022 19:42:09,0,0,0,0,GENEL_BILGI
KARTN,06.03.2022 09:17:20,0,0,0,0,GENEL_BILGI
KARTN,06.03.2022 09:55:17,30,1,0,0,FINANSAL_RAPOR
KARTN,07.03.2022 08:38:53,30,1,0,0,YETKILİDEN_BİLGİ
KARTN,09.03.2022 18:37:26,0,0,0,0,GENEL_BILGI
KARTN,09.03.2022 18:37:48,0,0,0,0,GENEL_BILGI
KARTN,25.03.2022 14:06:59,-40,5,0,0,GENEL_BILGI
KARTN,31.03.2022 14:31:40,0,0,0,0,GENEL_BILGI
KARTN,31.03.2022 14:44:41,30,1,0,0,KAR_DAĞITIMI
KARTN,31.03.2022 14:44:54,30,2,0,0,YATIRIM_SOZLESME
KARTN,31.03.2022 14:45:31,0,0,0,0,GENEL_BILGI
KARTN,31.03.2022 16:37:34,0,0,0,0,GENEL_BILGI
KARTN,31.03.2022 16:37:51,0,0,0,0,GENEL_BILGI
KARTN,04.04.2022 17:14:02,0,0,0,0,GENEL_BILGI
KARTN,05.04.2022 09:05:00,30,1,1,2,SERMAYE_TEMETTU
KARTN,07.04.2022 16:38:32,30,1,1,2,SERMAYE_TEMETTU
KARTN,12.04.2022 12:08:19,0,0,0,0,GENEL_BILGI
KARTN,12.04.2022 13:07:37,0,0,0,0,GENEL_BILGI
KARTN,12.04.2022 13:08:10,0,0,0,0,GENEL_BILGI
KARTN,19.04.2022 16:01:47,-40,5,0,0,GENEL_BILGI
KARTN,22.04.2022 17:35:45,-40,5,0,0,GENEL_BILGI
KARTN,26.04.2022 17:12:27,-40,5,1,0,GENEL_BILGI
KARTN,10.05.2022 18:39:19,-20,2,0,0,FINANSAL_RAPOR
KARTN,10.05.2022 18:39:38,0,0,0,0,GENEL_BILGI
