symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
KFEIN,11.02.2022 18:56:38,0,0,0,0,GENEL_BILGI
KFEIN,23.02.2022 09:08:26,0,0,0,0,GENEL_BILGI
KFEIN,25.02.2022 14:36:04,0,2,0,0,GENEL_BILGI
KFEIN,25.02.2022 19:44:32,0,2,0,0,GENEL_BILGI
KFEIN,01.03.2022 08:41:17,0,2,0,0,GENEL_BILGI
KFEIN,11.03.2022 20:26:26,0,0,0,0,GENEL_BILGI
KFEIN,11.03.2022 20:29:45,0,0,0,0,GENEL_BILGI
KFEIN,11.03.2022 20:30:31,0,0,0,0,GENEL_BILGI
KFEIN,18.03.2022 15:42:54,0,0,0,0,GENEL_BILGI
KFEIN,18.03.2022 15:44:05,30,2,0,0,KAR_PAYI_DAĞITIM
KFEIN,18.03.2022 16:03:17,0,0,0,0,GENEL_BILGI
KFEIN,22.03.2022 20:36:45,30,2,0,1,YATIRIM_SOZLESME
KFEIN,18.04.2022 16:59:13,0,0,0,0,GENEL_BILGI
KFEIN,18.04.2022 17:25:32,0,2,0,0,FINANSAL_RAPOR
KFEIN,22.04.2022 17:11:18,0,0,1,0,GENEL_BILGI
KFEIN,22.04.2022 17:35:17,-40,5,1,0,GENEL_BILGI
KFEIN,25.04.2022 08:14:47,0,0,0,0,GENEL_BILGI
KFEIN,25.04.2022 08:20:58,0,0,0,0,GENEL_BILGI
KFEIN,25.04.2022 09:14:33,30,1,1,2,SERMAYE_TEMETTU
KFEIN,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
KFEIN,27.04.2022 16:39:20,30,1,1,0,SERMAYE_TEMETTU
KFEIN,01.05.2022 23:00:49,-20,2,0,0,FINANSAL_RAPOR
KFEIN,09.05.2022 22:27:46,-20,2,0,0,FINANSAL_RAPOR
KFEIN,09.05.2022 22:36:28,0,0,0,0,GENEL_BILGI
KFEIN,09.05.2022 22:37:07,0,0,0,0,GENEL_BILGI
KFEIN,01.07.2022 15:29:12,-40,5,1,0,GENEL_BILGI
KFEIN,04.07.2022 15:57:28,-40,5,1,0,GENEL_BILGI
KFEIN,18.07.2022 15:17:53,-40,5,1,0,GENEL_BILGI
KFEIN,01.08.2022 18:38:18,30,2,1,0,YENİ_YATIRIM_SIZLESMESI
