symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
KMPUR,08.02.2022 18:26:03,0,0,0,0,GENEL_BILGI
KMPUR,08.02.2022 18:26:50,0,0,0,0,GENEL_BILGI
KMPUR,08.02.2022 18:27:43,0,0,0,0,GENEL_BILGI
KMPUR,08.02.2022 18:28:19,0,0,0,0,GENEL_BILGI
KMPUR,15.02.2022 09:25:26,30,2,0,0,YATIRIM_SOZLESME
KMPUR,22.02.2022 18:23:44,0,0,0,0,GENEL_BILGI
KMPUR,24.02.2022 18:19:06,0,0,0,0,GENEL_BILGI
KMPUR,28.02.2022 20:06:03,0,0,0,0,GENEL_BILGI
KMPUR,17.03.2022 18:19:02,30,2,0,0,YATIRIM_SOZLESME
KMPUR,18.03.2022 18:19:26,30,2,1,0,YATIRIM_SOZLESME
KMPUR,28.03.2022 18:14:58,30,2,0,2,YATIRIM_SOZLESME
KMPUR,31.03.2022 18:15:26,30,1,0,0,GENEL_BILGI
KMPUR,07.04.2022 18:15:52,0,0,0,0,GENEL_BILGI
KMPUR,25.04.2022 10:20:55,0,0,0,0,GENEL_BILGI
KMPUR,25.04.2022 10:21:18,0,0,0,0,GENEL_BILGI
KMPUR,25.04.2022 10:21:37,0,0,0,0,GENEL_BILGI
KMPUR,26.04.2022 18:14:46,0,1,0,0,GENEL_BILGI
KMPUR,27.04.2022 16:37:31,0,1,0,0,GENEL_BILGI
KMPUR,28.04.2022 09:08:25,0,0,0,0,GENEL_BILGI
KMPUR,29.04.2022 09:14:43,0,0,0,0,GENEL_BILGI
KMPUR,09.05.2022 07:43:58,-20,2,0,0,FINANSAL_RAPOR
KMPUR,09.05.2022 07:44:26,0,0,0,0,GENEL_BILGI
KMPUR,09.05.2022 07:44:58,0,0,0,0,GENEL_BILGI
KMPUR,11.05.2022 18:41:28,0,2,0,0,YATIRIM_SOZLESME
KMPUR,12.05.2022 18:47:09,30,2,0,1,YATIRIM_SOZLESME
KMPUR,17.05.2022 08:39:36,0,0,0,0,GENEL_BILGI
KMPUR,17.05.2022 08:42:27,0,0,0,0,GENEL_BILGI
KMPUR,17.05.2022 08:44:10,0,0,0,0,PARSE_ERROR
KMPUR,17.05.2022 09:00:46,0,0,0,0,GENEL_BILGI
KMPUR,23.05.2022 09:17:51,0,0,0,0,GENEL_BILGI
KMPUR,24.05.2022 08:31:30,0,2,0,0,GENEL_BILGI
KMPUR,24.05.2022 09:12:26,0,0,0,0,GENEL_BILGI
KMPUR,24.05.2022 18:30:12,30,2,0,0,SERMAYE_TEMETTU
KMPUR,25.05.2022 18:07:57,0,0,0,0,GENEL_BILGI
KMPUR,30.05.2022 11:28:07,0,2,0,0,GENEL_BILGI
KMPUR,30.05.2022 18:14:35,0,0,0,0,GENEL_BILGI
KMPUR,30.05.2022 18:16:29,0,1,0,0,SERMAYE_TEMETTU
KMPUR,31.05.2022 09:15:31,0,0,0,0,GENEL_BILGI
KMPUR,31.05.2022 09:18:34,0,0,0,0,GENEL_BILGI
KMPUR,31.05.2022 13:35:31,0,0,0,0,GENEL_BILGI
KMPUR,01.06.2022 09:10:29,0,0,0,0,GENEL_BILGI
KMPUR,01.06.2022 09:16:19,0,0,0,0,GENEL_BILGI
KMPUR,02.06.2022 09:03:12,0,0,0,0,GENEL_BILGI
KMPUR,03.06.2022 09:04:56,0,0,0,0,GENEL_BILGI
KMPUR,06.06.2022 09:09:19,0,0,0,0,GENEL_BILGI
KMPUR,07.06.2022 09:09:11,0,0,0,0,GENEL_BILGI
KMPUR,07.06.2022 15:08:46,0,0,0,0,GENEL_BILGI
KMPUR,08.06.2022 17:35:43,-40,5,1,0,GENEL_BILGI
KMPUR,09.06.2022 09:20:29,0,0,0,0,GENEL_BILGI
KMPUR,10.06.2022 09:11:43,0,0,0,0,GENEL_BILGI
KMPUR,13.06.2022 09:11:00,0,0,0,0,GENEL_BILGI
KMPUR,14.06.2022 18:13:00,0,0,0,0,GENEL_BILGI
KMPUR,14.06.2022 18:19:45,0,2,0,0,FINANSAL_RAPOR
KMPUR,14.06.2022 18:20:13,0,0,0,0,GENEL_BILGI
KMPUR,14.06.2022 18:23:26,0,0,0,0,GENEL_BILGI
KMPUR,15.06.2022 08:24:44,0,0,0,0,GENEL_BILGI
KMPUR,16.06.2022 14:18:08,-40,5,1,0,GENEL_BILGI
KMPUR,16.06.2022 17:08:50,30,1,1,0,YATIRIM_SOZLESME
KMPUR,17.06.2022 09:03:12,0,0,0,0,GENEL_BILGI
KMPUR,17.06.2022 09:16:44,30,1,1,2,SERMAYE_TEMETTU
KMPUR,20.06.2022 08:24:55,30,2,0,0,YATIRIM_SOZLESME
KMPUR,20.06.2022 16:41:21,-40,5,1,0,GENEL_BILGI
KMPUR,21.06.2022 16:32:07,30,1,1,2,SERMAYE_TEMETTU
KMPUR,23.06.2022 08:58:22,0,0,0,0,GENEL_BILGI
KMPUR,24.06.2022 18:16:15,0,0,0,0,GENEL_BILGI
KMPUR,24.06.2022 18:16:40,0,0,0,0,GENEL_BILGI
KMPUR,27.06.2022 09:06:35,0,0,0,0,GENEL_BILGI
KMPUR,28.06.2022 09:05:17,0,0,0,0,GENEL_BILGI
KMPUR,01.07.2022 09:13:13,0,0,0,0,GENEL_BILGI
KMPUR,05.07.2022 16:32:50,-40,5,1,0,GENEL_BILGI
KMPUR,08.07.2022 12:52:38,0,0,0,0,GENEL_BILGI
KMPUR,25.07.2022 10:30:18,0,0,0,0,GENEL_BILGI
KMPUR,04.08.2022 08:03:25,0,2,0,0,FINANSAL_RAPOR
KMPUR,04.08.2022 08:03:50,0,0,0,0,GENEL_BILGI
KMPUR,04.08.2022 08:04:28,0,0,0,0,GENEL_BILGI
KMPUR,05.08.2022 09:10:50,0,0,0,0,GENEL_BILGI
KMPUR,10.08.2022 09:11:16,0,0,0,0,GENEL_BILGI
KMPUR,11.08.2022 08:24:23,0,0,0,0,GENEL_BILGI
KMPUR,16.08.2022 15:38:07,-40,5,1,0,GENEL_BILGI
KMPUR,16.08.2022 18:18:03,30,2,0,0,YATIRIM_SOZLESME
KMPUR,17.08.2022 18:19:20,0,0,0,0,GENEL_BILGI
KMPUR,24.08.2022 08:35:08,0,0,0,0,GENEL_BILGI
KMPUR,24.08.2022 18:15:49,0,0,0,0,GENEL_BILGI
KMPUR,25.08.2022 17:48:20,0,0,0,0,GENEL_BILGI
KMPUR,29.08.2022 08:34:42,30,2,0,0,YATIRIM_SOZLESME
KMPUR,06.09.2022 08:44:20,0,0,0,0,GENEL_BILGI
KMPUR,06.09.2022 11:20:19,-40,5,1,0,GENEL_BILGI
KMPUR,09.09.2022 21:18:12,0,0,0,0,GENEL_BILGI
KMPUR,13.09.2022 13:23:24,-40,5,1,0,GENEL_BILGI
KMPUR,19.09.2022 09:35:15,30,1,0,0,YENİ הודעה
KMPUR,23.09.2022 16:58:11,0,0,0,0,GENEL_BILGI
KMPUR,26.09.2022 18:16:45,0,0,0,0,GENEL_BILGI
KMPUR,28.09.2022 12:31:59,-40,5,1,0,GENEL_BILGI
KMPUR,28.09.2022 17:41:05,-40,5,1,0,GENEL_BILGI
KMPUR,28.09.2022 18:29:31,0,5,0,0,GENEL_BILGI
KMPUR,29.09.2022 09:11:06,0,0,0,0,GENEL_BILGI
KMPUR,29.09.2022 10:09:17,-40,5,1,0,GENEL_BILGI
KMPUR,30.09.2022 08:50:32,0,0,0,0,GENEL_BILGI
KMPUR,03.10.2022 10:02:34,-40,5,1,0,GENEL_BILGI
KMPUR,05.10.2022 18:16:17,30,1,0,0,FINANSAL_RAPOR
KMPUR,06.10.2022 18:22:29,0,2,0,0,YATIRIM_SOZLESME
KMPUR,10.10.2022 18:29:12,-40,5,1,0,GENEL_BILGI
KMPUR,13.10.2022 15:13:08,-40,5,1,0,GENEL_BILGI
KMPUR,13.10.2022 17:28:19,0,0,0,0,GENEL_BILGI
KMPUR,14.10.2022 16:11:13,-40,5,1,0,GENEL_BILGI
KMPUR,14.10.2022 18:16:47,0,0,0,0,GENEL_BILGI
KMPUR,18.10.2022 17:58:18,-40,5,1,0,GENEL_BILGI
KMPUR,24.10.2022 11:15:02,-40,5,1,0,GENEL_BILGI
KMPUR,25.10.2022 10:30:10,-40,5,1,0,GENEL_BILGI
KMPUR,01.11.2022 18:56:37,-20,2,0,0,FINANSAL_RAPOR
KMPUR,01.11.2022 18:56:53,0,0,0,0,GENEL_BILGI
KMPUR,01.11.2022 18:57:48,0,0,0,0,GENEL_BILGI
KMPUR,07.11.2022 18:14:08,0,0,0,0,GENEL_BILGI
KMPUR,09.11.2022 19:32:16,-40,5,0,0,GENEL_BILGI
KMPUR,10.11.2022 10:17:07,-40,5,1,0,GENEL_BILGI
KMPUR,10.11.2022 16:10:13,0,0,0,0,GENEL_BILGI
KMPUR,11.11.2022 10:01:09,-40,5,1,0,GENEL_BILGI
KMPUR,16.11.2022 15:03:29,-40,5,1,0,GENEL_BILGI
KMPUR,17.11.2022 10:07:25,-40,5,1,0,GENEL_BILGI
KMPUR,23.11.2022 10:01:00,-40,5,1,0,GENEL_BILGI
KMPUR,23.11.2022 11:03:44,-40,5,1,0,GENEL_BILGI
KMPUR,23.11.2022 13:45:40,-40,5,1,0,GENEL_BILGI
KMPUR,24.11.2022 10:30:05,-40,5,1,0,GENEL_BILGI
KMPUR,25.11.2022 10:41:09,-40,5,1,0,GENEL_BILGI
KMPUR,25.11.2022 18:13:42,0,5,0,0,GENEL_BILGI
KMPUR,28.11.2022 10:23:05,-40,5,1,0,GENEL_BILGI
KMPUR,28.11.2022 10:42:29,-40,5,1,0,GENEL_BILGI
KMPUR,28.11.2022 18:37:46,0,0,0,0,GENEL_BILGI
KMPUR,30.11.2022 18:12:23,30,2,0,0,YENİ הודעות
KMPUR,05.12.2022 11:25:20,-40,5,1,0,GENEL_BILGI
KMPUR,06.12.2022 10:04:15,-40,5,1,0,GENEL_BILGI
KMPUR,07.12.2022 10:05:25,-40,5,1,0,GENEL_BILGI
KMPUR,08.12.2022 18:16:14,0,1,0,0,GENEL_BILGI
KMPUR,12.12.2022 18:15:22,30,2,0,0,YATIRIM_SOZLESME
KMPUR,13.12.2022 11:04:41,-40,5,1,0,GENEL_BILGI
KMPUR,14.12.2022 14:16:13,-40,5,1,0,GENEL_BILGI
KMPUR,19.12.2022 14:01:19,-40,5,1,0,GENEL_BILGI
KMPUR,19.12.2022 18:15:31,0,0,0,0,GENEL_BILGI
KMPUR,27.12.2022 15:44:22,0,0,0,0,GENEL_BILGI
KMPUR,27.12.2022 15:51:31,0,0,0,0,GENEL_BILGI
