symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
MGROS,10.02.2022 16:31:59,0,2,0,0,rutin_bilgilendirme
MGROS,17.02.2022 19:16:57,0,0,0,0,GENEL_BILGI
MGROS,25.02.2022 19:49:38,-20,2,0,0,FINANSAL_RAPOR
MGROS,25.02.2022 21:47:31,30,2,0,0,YENİ_YATIRIM
MGROS,01.03.2022 22:41:04,0,2,0,0,FINANSAL_RAPOR
MGROS,01.03.2022 22:41:20,0,0,0,0,GENEL_BILGI
MGROS,01.03.2022 23:28:39,0,0,0,0,GENEL_BILGI
MGROS,04.03.2022 18:37:40,0,0,0,0,GENEL_BILGI
MGROS,04.03.2022 18:38:28,0,0,0,0,GENEL_BILGI
MGROS,08.03.2022 19:23:39,0,2,0,0,YATIRIM_SOZLESME
MGROS,09.03.2022 17:40:19,0,0,0,0,GENEL_BILGI
MGROS,09.03.2022 19:20:08,0,0,0,0,GENEL_BILGI
MGROS,09.03.2022 19:21:38,0,0,0,0,GENEL_BILGI
MGROS,11.03.2022 19:25:32,0,0,0,0,GENEL_BILGI
MGROS,11.03.2022 19:33:06,0,0,0,0,GENEL_BILGI
MGROS,17.03.2022 16:25:59,0,0,0,0,GENEL_BILGI
MGROS,22.03.2022 18:14:44,0,0,0,0,GENEL_BILGI
MGROS,24.03.2022 18:53:52,0,0,0,0,GENEL_BILGI
MGROS,25.03.2022 17:19:18,0,0,0,0,GENEL_BILGI
MGROS,25.03.2022 17:39:58,0,1,1,0,YATIRIM_SOZLESME
MGROS,25.03.2022 18:27:54,0,0,0,0,GENEL_BILGI
MGROS,25.03.2022 18:34:19,0,5,0,0,GENEL_BILGI
MGROS,28.03.2022 18:21:50,30,2,0,0,YATIRIM_SOZLESME
MGROS,30.03.2022 19:06:40,0,0,0,0,GENEL_BILGI
MGROS,01.04.2022 19:33:31,30,2,0,0,YATIRIM_SOZLESME
MGROS,04.04.2022 19:00:59,0,0,0,0,GENEL_BILGI
MGROS,15.04.2022 16:25:43,0,2,0,0,GENEL_BILGI
MGROS,22.04.2022 00:38:31,0,0,0,0,GENEL_BILGI
MGROS,22.04.2022 01:10:06,0,0,0,0,GENEL_BILGI
MGROS,22.04.2022 01:37:58,30,1,0,0,SERMAYE_TEMETTU
MGROS,27.04.2022 18:28:33,0,0,0,0,GENEL_BILGI
MGROS,06.05.2022 12:06:22,0,0,0,0,GENEL_BILGI
MGROS,06.05.2022 12:07:21,0,0,0,0,GENEL_BILGI
MGROS,06.05.2022 12:14:59,0,0,0,0,GENEL_BILGI
MGROS,09.05.2022 14:07:31,0,0,0,0,GENEL_BILGI
MGROS,09.05.2022 18:14:17,-20,2,0,0,FINANSAL_RAPOR
MGROS,09.05.2022 21:12:50,0,0,0,0,GENEL_BILGI
MGROS,09.05.2022 21:13:23,0,0,0,0,GENEL_BILGI
MGROS,09.05.2022 23:43:23,0,0,0,0,GENEL_BILGI
MGROS,10.05.2022 22:34:36,0,0,0,0,GENEL_BILGI
MGROS,11.05.2022 16:20:11,-40,5,1,0,GENEL_BILGI
MGROS,12.05.2022 16:46:27,0,2,0,0,ROUTINE_BILGI
MGROS,20.05.2022 18:34:44,0,5,0,0,GENEL_BILGI
MGROS,30.05.2022 16:25:27,0,5,0,0,GENEL_BILGI
MGROS,03.06.2022 14:28:44,0,0,0,0,GENEL_BILGI
MGROS,08.06.2022 17:13:00,0,0,0,0,GENEL_BILGI
MGROS,08.06.2022 17:57:02,-40,5,1,0,GENEL_BILGI
MGROS,08.06.2022 22:06:34,0,1,0,0,SERMAYE_TEMETTU
MGROS,08.06.2022 22:08:25,0,1,0,0,YATIRIM_SOZLESME
MGROS,13.06.2022 12:50:09,30,2,0,0,YATIRIM_SOZLESME
MGROS,17.06.2022 18:15:47,0,5,0,0,GENEL_BILGI
MGROS,21.06.2022 18:19:32,0,0,0,0,GENEL_BILGI
MGROS,23.06.2022 14:58:06,0,2,0,0,GENEL_BILGI
MGROS,24.06.2022 17:03:50,0,2,0,0,YATIRIM_SOZLESME
MGROS,24.06.2022 18:58:51,0,0,0,0,GENEL_BILGI
MGROS,27.06.2022 09:34:28,0,2,0,0,GENEL_BILGI
MGROS,30.06.2022 18:15:33,0,0,0,0,GENEL_BILGI
MGROS,30.06.2022 18:35:42,30,1,0,0,FINANSAL_RAPOR
MGROS,04.07.2022 09:32:54,0,0,0,0,GENEL_BILGI
