symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
MIATK,08.02.2022 19:24:34,0,0,0,0,GENEL_BILGI
MIATK,08.02.2022 19:24:50,0,5,0,0,GENEL_BILGI
MIATK,08.02.2022 19:25:01,0,0,0,0,GENEL_BILGI
MIATK,23.02.2022 16:12:23,-40,5,1,0,GENEL_BILGI
MIATK,02.03.2022 18:30:03,0,0,0,0,GENEL_BILGI
MIATK,04.03.2022 18:30:11,0,0,0,0,GENEL_BILGI
MIATK,04.03.2022 18:30:27,0,0,0,0,GENEL_BILGI
MIATK,07.03.2022 11:18:47,0,2,0,0,FINANSAL_RAPOR
MIATK,10.03.2022 18:30:15,0,0,0,0,GENEL_BILGI
MIATK,25.03.2022 18:18:10,0,0,0,0,GENEL_BILGI
MIATK,25.03.2022 19:13:00,0,0,0,0,GENEL_BILGI
MIATK,25.03.2022 19:13:25,0,0,0,0,GENEL_BILGI
MIATK,28.03.2022 10:13:24,0,0,0,0,GENEL_BILGI
MIATK,31.03.2022 14:31:52,0,0,0,0,GENEL_BILGI
MIATK,31.03.2022 18:30:03,0,0,0,0,GENEL_BILGI
MIATK,01.04.2022 18:30:03,0,0,0,0,GENEL_BILGI
MIATK,12.04.2022 18:31:42,0,0,0,0,GENEL_BILGI
MIATK,22.04.2022 17:37:06,-40,5,1,0,GENEL_BILGI
MIATK,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
MIATK,27.04.2022 18:30:06,0,0,0,0,GENEL_BILGI
MIATK,27.04.2022 18:30:39,-20,2,0,0,FINANSAL_RAPOR
MIATK,27.04.2022 18:31:17,0,0,0,0,GENEL_BILGI
MIATK,20.05.2022 18:30:02,0,0,0,0,GENEL_BILGI
MIATK,06.06.2022 16:37:17,0,5,0,0,GENEL_BILGI
MIATK,06.06.2022 17:51:33,-20,2,1,0,FINANSAL_RAPOR
MIATK,08.06.2022 17:54:58,0,0,0,0,GENEL_BILGI
MIATK,21.06.2022 18:34:49,30,2,0,0,YATIRIM_SOZLESME
MIATK,22.06.2022 18:30:44,30,2,0,0,YATIRIM_SOZLESME
MIATK,01.07.2022 18:48:41,30,2,0,0,YATIRIM_SOZLESME
MIATK,08.07.2022 10:00:34,-40,5,1,0,GENEL_BILGI
MIATK,01.08.2022 18:30:48,0,0,0,0,GENEL_BILGI
MIATK,04.08.2022 18:40:45,0,0,0,0,GENEL_BILGI
MIATK,04.08.2022 18:41:12,0,2,0,0,FINANSAL_RAPOR
MIATK,04.08.2022 18:41:33,0,0,0,0,GENEL_BILGI
MIATK,05.08.2022 18:43:10,0,2,0,0,FINANSAL_RAPOR
MIATK,05.08.2022 18:43:52,0,0,0,0,GENEL_BILGI
MIATK,08.08.2022 18:30:10,0,2,0,0,FINANSAL_RAPOR
MIATK,08.08.2022 18:31:46,30,2,0,0,YATIRIM_SOZLESME
