symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
OYAKC,22.02.2022 17:31:16,0,0,0,0,GENEL_BILGI
OYAKC,07.03.2022 23:52:19,0,0,0,0,GENEL_BILGI
OYAKC,07.03.2022 23:55:21,0,0,0,0,GENEL_BILGI
OYAKC,18.03.2022 18:15:03,0,0,0,0,GENEL_BILGI
OYAKC,29.03.2022 18:20:14,0,0,0,0,GENEL_BILGI
OYAKC,30.03.2022 21:06:42,0,0,0,0,GENEL_BILGI
OYAKC,30.03.2022 21:49:30,30,1,0,0,FINANSAL_RAPOR
OYAKC,30.03.2022 21:50:24,0,0,0,0,GENEL_BILGI
OYAKC,30.03.2022 21:51:35,0,0,0,0,GENEL_BILGI
OYAKC,31.03.2022 20:22:01,0,0,0,0,GENEL_BILGI
OYAKC,31.03.2022 20:22:19,0,0,0,0,GENEL_BILGI
OYAKC,08.04.2022 14:20:07,-20,2,1,0,FINANSAL_RAPOR
OYAKC,19.04.2022 16:30:19,0,5,0,0,GENEL_BILGI
OYAKC,22.04.2022 17:34:43,-40,5,1,0,GENEL_BILGI
OYAKC,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
OYAKC,29.04.2022 18:45:12,0,0,0,0,GENEL_BILGI
OYAKC,29.04.2022 18:45:32,0,0,0,0,GENEL_BILGI
OYAKC,29.04.2022 18:45:52,0,0,0,0,GENEL_BILGI
OYAKC,06.05.2022 18:30:24,0,2,0,0,YATIRIM_SOZLESME
OYAKC,03.06.2022 19:01:07,0,0,0,0,GENEL_BILGI
OYAKC,07.06.2022 16:48:39,0,5,0,0,GENEL_BILGI
OYAKC,08.06.2022 17:33:16,0,5,1,0,GENEL_BILGI
OYAKC,09.06.2022 16:25:45,0,2,0,0,GENEL_BILGI
OYAKC,13.06.2022 16:38:58,0,2,0,0,ROUTINE_BILGI
OYAKC,13.06.2022 17:49:35,0,5,1,0,GENEL_BILGI
OYAKC,14.06.2022 17:44:23,0,2,0,0,YATIRIM_SOZLESME
OYAKC,14.06.2022 18:45:28,0,2,0,0,FINANSAL_RAPOR
OYAKC,27.06.2022 16:42:13,0,0,0,0,GENEL_BILGI
OYAKC,28.06.2022 17:39:14,-40,5,1,0,GENEL_BILGI
OYAKC,05.07.2022 17:54:18,-40,5,1,0,GENEL_BILGI
OYAKC,13.07.2022 16:21:20,0,0,0,0,GENEL_BILGI
OYAKC,14.07.2022 16:43:07,0,2,0,0,GENEL_BILGI
OYAKC,02.08.2022 17:12:40,0,0,0,0,GENEL_BILGI
OYAKC,02.08.2022 18:45:34,0,1,0,0,YATIRIM_SOZLESME
OYAKC,05.08.2022 19:15:43,0,0,0,0,GENEL_BILGI
