symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
OZKGY,25.02.2022 23:57:03,0,2,0,0,FINANSAL_RAPOR
OZKGY,25.02.2022 23:58:04,0,2,0,0,FINANSAL_RAPOR
OZKGY,25.02.2022 23:58:59,0,0,0,0,GENEL_BILGI
OZKGY,04.03.2022 18:10:48,30,2,0,0,SERMAYE_TEMETTU
OZKGY,10.03.2022 13:37:58,-40,5,1,0,GENEL_BILGI
OZKGY,11.03.2022 18:29:19,30,1,1,0,SERMAYE_TEMETTU
OZKGY,11.03.2022 18:46:49,0,0,0,0,GENEL_BILGI
OZKGY,11.03.2022 18:46:59,0,0,0,0,GENEL_BILGI
OZKGY,17.03.2022 18:20:14,0,1,0,2,SERMAYE_TEMETTU
OZKGY,21.03.2022 18:59:32,30,2,0,0,YATIRIM_SOZLESME
OZKGY,22.03.2022 18:26:50,0,0,0,0,GENEL_BILGI
OZKGY,28.03.2022 21:12:34,30,2,0,0,YATIRIM_SOZLESME
OZKGY,29.03.2022 19:48:23,0,0,0,0,GENEL_BILGI
OZKGY,29.03.2022 19:48:51,0,0,0,0,GENEL_BILGI
OZKGY,29.03.2022 19:49:27,0,0,0,0,GENEL_BILGI
OZKGY,29.03.2022 19:49:47,30,2,0,2,SERMAYE_TEMETTU
OZKGY,12.04.2022 18:09:37,30,2,0,0,YATIRIM_SOZLESME
OZKGY,15.04.2022 18:24:37,30,1,0,0,SERMAYE_TEMETTU
OZKGY,19.04.2022 18:10:23,0,0,0,0,GENEL_BILGI
OZKGY,21.04.2022 10:10:07,30,2,0,0,SERMAYE_TEMETTU
OZKGY,21.04.2022 12:07:41,30,1,0,0,SERMAYE_TEMETTU
OZKGY,22.04.2022 18:10:09,0,2,0,0,GENEL_BILGI
OZKGY,25.04.2022 17:08:01,30,2,0,0,SERMAYE_TEMETTU
OZKGY,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
OZKGY,26.04.2022 16:54:52,0,0,1,0,GENEL_BILGI
OZKGY,26.04.2022 19:02:54,0,0,0,0,GENEL_BILGI
OZKGY,26.04.2022 19:13:07,-20,2,0,0,FINANSAL_RAPOR
OZKGY,26.04.2022 19:20:25,0,0,0,0,GENEL_BILGI
OZKGY,26.04.2022 19:25:56,0,0,0,0,GENEL_BILGI
OZKGY,27.04.2022 09:15:14,30,1,0,0,SERMAYE_TEMETTU
OZKGY,28.04.2022 18:10:04,30,2,0,0,YATIRIM_SOZLESME
OZKGY,29.04.2022 09:29:55,0,0,0,0,GENEL_BILGI
OZKGY,05.05.2022 09:21:26,0,0,0,0,GENEL_BILGI
OZKGY,10.05.2022 19:36:00,-20,2,0,0,FINANSAL_RAPOR
OZKGY,10.05.2022 19:36:28,-20,2,0,0,FINANSAL_RAPOR
OZKGY,10.05.2022 19:36:44,0,0,0,0,GENEL_BILGI
OZKGY,10.05.2022 19:37:11,0,0,0,0,GENEL_BILGI
OZKGY,11.05.2022 15:45:48,-40,5,1,0,GENEL_BILGI
OZKGY,11.05.2022 18:13:20,0,0,0,0,GENEL_BILGI
OZKGY,12.05.2022 16:37:35,-40,5,1,0,GENEL_BILGI
OZKGY,17.05.2022 18:10:36,0,0,0,0,GENEL_BILGI
OZKGY,24.05.2022 18:10:02,30,2,0,0,YATIRIM_SOZLESME
OZKGY,26.05.2022 17:58:47,0,0,0,0,GENEL_BILGI
OZKGY,26.05.2022 17:59:20,0,0,0,0,GENEL_BILGI
OZKGY,26.05.2022 18:00:14,0,0,0,0,GENEL_BILGI
OZKGY,26.05.2022 18:10:56,30,2,0,0,YATIRIM_SOZLESME
OZKGY,27.05.2022 09:44:50,30,2,0,0,YATIRIM_SOZLESME
OZKGY,30.05.2022 18:10:12,0,0,0,0,GENEL_BILGI
OZKGY,02.06.2022 18:14:02,0,2,0,0,YATIRIM_SOZLESME
OZKGY,08.06.2022 15:19:58,-40,5,1,0,GENEL_BILGI
OZKGY,21.06.2022 18:19:32,0,0,0,0,GENEL_BILGI
OZKGY,24.06.2022 15:39:06,0,0,0,0,GENEL_BILGI
OZKGY,24.06.2022 18:14:26,0,0,0,0,GENEL_BILGI
OZKGY,27.06.2022 18:13:52,30,2,0,0,YATIRIM_SOZLESME
OZKGY,28.06.2022 18:14:17,0,0,0,0,GENEL_BILGI
OZKGY,29.06.2022 17:20:52,-40,5,1,0,GENEL_BILGI
OZKGY,29.06.2022 18:05:24,0,0,0,0,GENEL_BILGI
OZKGY,05.07.2022 14:59:14,-40,5,1,0,GENEL_BILGI
OZKGY,07.07.2022 15:14:11,30,2,0,0,YATIRIM_SOZLESME
OZKGY,07.07.2022 16:51:00,30,2,0,0,YATIRIM_SOZLESME
OZKGY,20.07.2022 18:28:16,30,2,0,0,YATIRIM_SOZLESME
OZKGY,20.07.2022 18:37:17,30,2,0,0,YATIRIM_SOZLESME
OZKGY,21.07.2022 18:11:19,0,0,0,0,GENEL_BILGI
OZKGY,05.08.2022 15:46:38,-40,5,1,0,GENEL_BILGI
OZKGY,16.08.2022 23:32:41,-20,2,0,0,FINANSAL_RAPOR
OZKGY,16.08.2022 23:33:35,-20,2,0,0,FINANSAL_RAPOR
OZKGY,16.08.2022 23:34:52,0,0,0,0,GENEL_BILGI
OZKGY,16.08.2022 23:36:54,0,0,0,0,GENEL_BILGI
OZKGY,25.08.2022 18:15:41,0,1,0,0,GENEL_BILGI
OZKGY,31.08.2022 16:46:26,-40,5,1,0,GENEL_BILGI
OZKGY,13.09.2022 13:23:30,-40,5,1,0,GENEL_BILGI
OZKGY,13.09.2022 17:41:00,-40,5,1,0,GENEL_BILGI
OZKGY,14.09.2022 10:07:50,-40,5,1,0,GENEL_BILGI
OZKGY,20.09.2022 11:57:53,-40,5,1,0,GENEL_BILGI
OZKGY,25.10.2022 18:10:21,30,2,0,0,YATIRIM_SOZLESME
OZKGY,03.11.2022 21:55:56,0,0,0,0,GENEL_BILGI
OZKGY,08.11.2022 22:29:43,-20,2,0,0,FINANSAL_RAPOR
OZKGY,08.11.2022 22:30:54,0,0,0,0,GENEL_BILGI
OZKGY,08.11.2022 22:47:02,0,0,0,0,GENEL_BILGI
OZKGY,08.11.2022 22:51:51,0,0,0,0,GENEL_BILGI
OZKGY,15.11.2022 11:20:00,-40,5,1,0,GENEL_BILGI
OZKGY,02.12.2022 17:40:20,-40,5,1,0,GENEL_BILGI
OZKGY,06.12.2022 18:00:22,30,2,0,0,YATIRIM_SOZLESME
OZKGY,06.12.2022 18:01:24,0,1,0,0,GENEL_BILGI
OZKGY,07.12.2022 17:38:08,30,2,0,0,YATIRIM_SOZLESME
OZKGY,07.12.2022 18:15:47,30,2,0,0,YATIRIM_SOZLESME
OZKGY,14.12.2022 17:57:36,-40,5,1,0,GENEL_BILGI
OZKGY,15.12.2022 11:04:43,30,2,0,0,YATIRIM_SOZLESME
OZKGY,15.12.2022 17:10:30,-40,5,1,0,GENEL_BILGI
OZKGY,15.12.2022 18:11:00,30,2,0,0,YATIRIM_SOZLESME
OZKGY,15.12.2022 18:11:22,0,0,0,0,GENEL_BILGI
OZKGY,15.12.2022 20:30:48,0,2,0,0,GENEL_BILGI
OZKGY,16.12.2022 10:04:52,-40,5,1,0,GENEL_BILGI
