symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
PENTA,11.02.2022 19:20:44,0,2,0,0,YATIRIM_SOZLESME
PENTA,25.02.2022 10:00:04,-40,5,1,0,GENEL_BILGI
PENTA,09.03.2022 20:44:50,0,2,0,0,FINANSAL_RAPOR
PENTA,09.03.2022 20:46:05,0,0,0,0,GENEL_BILGI
PENTA,09.03.2022 20:46:18,0,0,0,0,GENEL_BILGI
PENTA,16.03.2022 10:10:10,-40,5,1,0,GENEL_BILGI
PENTA,16.03.2022 18:45:40,0,0,0,0,GENEL_BILGI
PENTA,21.03.2022 18:25:37,-40,5,1,0,GENEL_BILGI
PENTA,22.03.2022 10:09:25,-40,5,1,0,GENEL_BILGI
PENTA,23.03.2022 09:25:34,0,0,0,0,GENEL_BILGI
PENTA,24.03.2022 17:54:22,-40,5,1,0,GENEL_BILGI
PENTA,28.03.2022 17:48:50,-40,5,1,0,GENEL_BILGI
PENTA,01.04.2022 18:31:34,0,0,0,0,GENEL_BILGI
PENTA,05.04.2022 20:05:05,0,0,0,0,GENEL_BILGI
PENTA,05.04.2022 20:05:26,-20,2,0,0,FINANSAL_RAPOR
PENTA,05.04.2022 20:05:55,0,0,0,0,GENEL_BILGI
PENTA,10.05.2022 18:25:49,0,2,0,0,FINANSAL_RAPOR
PENTA,10.05.2022 18:26:02,0,0,0,0,GENEL_BILGI
PENTA,10.05.2022 18:26:42,0,0,0,0,GENEL_BILGI
PENTA,11.05.2022 15:54:11,-40,5,1,0,GENEL_BILGI
PENTA,12.05.2022 08:53:55,0,0,0,0,GENEL_BILGI
PENTA,12.05.2022 16:18:44,0,0,0,0,GENEL_BILGI
PENTA,17.05.2022 17:53:00,0,0,0,0,GENEL_BILGI
PENTA,17.05.2022 18:47:39,0,2,0,0,SERMAYE_TEMETTU
PENTA,18.05.2022 18:20:25,30,2,0,0,SERMAYE_TEMETTU
PENTA,20.05.2022 10:02:42,-40,5,1,0,GENEL_BILGI
PENTA,20.05.2022 10:30:54,-40,5,1,0,GENEL_BILGI
PENTA,01.06.2022 18:16:04,0,0,0,0,GENEL_BILGI
PENTA,03.06.2022 16:29:10,-40,5,1,0,GENEL_BILGI
PENTA,08.06.2022 17:38:10,-40,5,1,0,GENEL_BILGI
PENTA,08.06.2022 19:02:44,-40,5,0,0,GENEL_BILGI
PENTA,09.06.2022 13:37:45,-40,5,1,0,GENEL_BILGI
PENTA,10.06.2022 18:55:10,30,1,0,2,SERMAYE_TEMETTU
PENTA,15.06.2022 10:04:27,-40,5,1,0,GENEL_BILGI
PENTA,16.06.2022 17:06:12,-40,5,1,0,GENEL_BILGI
PENTA,19.07.2022 10:22:41,-40,5,1,0,GENEL_BILGI
PENTA,03.08.2022 20:18:05,30,1,0,0,SERMAYE_TEMETTU
PENTA,15.08.2022 19:41:02,-20,2,0,0,FINANSAL_RAPOR
PENTA,15.08.2022 19:41:37,0,0,0,0,GENEL_BILGI
PENTA,15.08.2022 19:41:50,0,0,0,0,GENEL_BILGI
PENTA,02.09.2022 11:26:02,-40,5,1,0,GENEL_BILGI
PENTA,19.09.2022 17:01:09,-40,5,1,0,GENEL_BILGI
PENTA,14.10.2022 08:41:35,30,1,0,2,SERMAYE_TEMETTU
PENTA,20.10.2022 00:13:11,0,0,0,0,GENEL_BILGI
PENTA,20.10.2022 18:29:50,-20,2,0,0,FINANSAL_RAPOR
PENTA,21.10.2022 10:13:36,-40,5,1,0,GENEL_BILGI
PENTA,21.10.2022 11:52:05,30,2,0,0,SERMAYE_TEMETTU
PENTA,21.10.2022 14:11:26,30,1,0,0,SERMAYE_TEMETTU
