symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
PETKM,23.02.2022 16:12:23,-40,5,1,0,GENEL_BILGI
PETKM,28.02.2022 07:49:03,0,2,0,0,FINANSAL_RAPOR
PETKM,04.03.2022 18:12:46,0,5,0,2,GENEL_BILGI
PETKM,11.03.2022 22:58:00,0,0,0,0,GENEL_BILGI
PETKM,31.03.2022 19:23:02,0,5,0,2,GENEL_BILGI
PETKM,01.04.2022 19:10:46,0,5,0,1,GENEL_BILGI
PETKM,08.04.2022 14:20:07,-20,2,1,0,FINANSAL_RAPOR
PETKM,12.04.2022 16:37:01,0,2,0,0,GENEL_BILGI
PETKM,19.04.2022 16:34:25,0,0,0,0,GENEL_BILGI
PETKM,22.04.2022 17:35:30,-40,5,1,0,GENEL_BILGI
PETKM,22.04.2022 20:20:48,0,0,0,0,GENEL_BILGI
PETKM,26.04.2022 17:16:22,-40,5,1,0,GENEL_BILGI
PETKM,28.04.2022 16:09:09,-20,2,0,0,FINANSAL_RAPOR
PETKM,05.05.2022 18:48:40,-20,2,0,0,GENEL_BILGI
PETKM,09.05.2022 07:50:54,0,0,0,0,GENEL_BILGI
PETKM,09.05.2022 07:51:18,0,0,0,0,GENEL_BILGI
PETKM,09.05.2022 07:51:46,0,0,0,0,GENEL_BILGI
PETKM,16.05.2022 22:17:14,-20,2,0,0,FINANSAL_RAPOR
PETKM,23.05.2022 18:24:56,0,0,0,0,GENEL_BILGI
PETKM,25.05.2022 16:30:22,0,2,0,0,rutin_bilgilendirme
PETKM,31.05.2022 12:52:01,0,0,0,0,GENEL_BILGI
PETKM,08.06.2022 17:37:49,-40,5,1,0,GENEL_BILGI
PETKM,18.07.2022 19:53:06,-20,2,0,0,FINANSAL_RAPOR
PETKM,08.08.2022 19:19:10,0,0,0,0,GENEL_BILGI
PETKM,11.08.2022 07:31:07,0,2,0,0,FINANSAL_RAPOR
PETKM,11.08.2022 07:31:58,0,0,0,0,GENEL_BILGI
PETKM,12.08.2022 16:34:55,0,0,0,0,GENEL_BILGI
PETKM,16.08.2022 16:57:40,-20,2,0,0,FINANSAL_RAPOR
PETKM,29.08.2022 14:35:07,0,0,0,0,GENEL_BILGI
PETKM,05.09.2022 17:03:29,0,2,0,0,GENEL_BILGI
PETKM,05.09.2022 18:17:57,0,0,0,0,GENEL_BILGI
PETKM,05.09.2022 18:35:44,0,0,0,0,GENEL_BILGI
PETKM,05.09.2022 18:50:21,0,0,0,0,FINANSAL_RAPOR
PETKM,06.09.2022 20:09:16,0,0,0,0,GENEL_BILGI
PETKM,06.09.2022 20:12:06,0,0,0,0,GENEL_BILGI
PETKM,07.09.2022 18:35:13,-20,2,0,0,GENEL_BILGI
PETKM,08.09.2022 21:20:35,0,0,0,0,GENEL_BILGI
PETKM,08.09.2022 21:21:41,0,0,0,0,GENEL_BILGI
PETKM,13.09.2022 16:01:33,-40,5,1,0,GENEL_BILGI
PETKM,14.09.2022 11:26:47,-40,5,0,0,GENEL_BILGI
