symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
PETUN,17.02.2022 11:38:05,-40,5,1,0,GENEL_BILGI
PETUN,01.03.2022 21:54:33,0,0,0,0,GENEL_BILGI
PETUN,01.03.2022 21:54:45,0,0,0,0,GENEL_BILGI
PETUN,01.03.2022 21:54:56,0,0,0,0,GENEL_BILGI
PETUN,02.03.2022 17:17:09,0,0,0,0,GENEL_BILGI
PETUN,02.03.2022 18:45:38,30,1,0,0,YATIRIM_SOZLESME
PETUN,10.03.2022 18:28:37,0,2,0,0,FINANSAL_RAPOR
PETUN,25.03.2022 18:25:24,0,0,0,0,GENEL_BILGI
PETUN,29.03.2022 15:31:13,-40,5,1,0,GENEL_BILGI
PETUN,29.03.2022 16:17:43,0,0,0,0,GENEL_BILGI
PETUN,29.03.2022 16:27:12,0,0,0,0,PARSE_ERROR
PETUN,31.03.2022 10:36:26,0,0,0,0,GENEL_BILGI
PETUN,06.04.2022 17:31:41,0,0,0,0,GENEL_BILGI
PETUN,18.04.2022 12:25:29,0,0,0,0,GENEL_BILGI
PETUN,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
PETUN,28.04.2022 15:23:01,0,0,0,0,GENEL_BILGI
PETUN,28.04.2022 16:55:13,30,1,1,0,YATIRIM_SOZLESME
PETUN,05.05.2022 18:58:56,0,0,0,0,GENEL_BILGI
PETUN,06.05.2022 16:35:26,30,1,1,0,SERMAYE_TEMETTU
PETUN,05.07.2022 17:54:03,-40,5,1,0,GENEL_BILGI
PETUN,09.08.2022 22:44:31,0,0,0,0,GENEL_BILGI
PETUN,09.08.2022 22:44:44,0,0,0,0,GENEL_BILGI
PETUN,16.08.2022 15:40:01,-40,5,0,0,GENEL_BILGI
PETUN,19.08.2022 09:48:58,0,0,0,0,GENEL_BILGI
PETUN,01.09.2022 11:10:43,-40,5,0,0,GENEL_BILGI
PETUN,01.09.2022 14:57:53,-40,5,1,0,GENEL_BILGI
PETUN,05.09.2022 17:21:04,0,0,0,0,GENEL_BILGI
PETUN,06.09.2022 18:26:42,-40,5,1,0,GENEL_BILGI
PETUN,07.09.2022 18:57:12,0,1,0,0,GENEL_BILGI
PETUN,20.09.2022 14:05:43,0,0,1,0,GENEL_BILGI
PETUN,21.09.2022 09:20:40,0,0,0,0,GENEL_BILGI
PETUN,29.09.2022 17:08:21,-40,5,1,0,GENEL_BILGI
PETUN,29.09.2022 17:25:20,-40,5,1,0,GENEL_BILGI
PETUN,11.10.2022 12:04:50,-40,5,1,0,GENEL_BILGI
PETUN,31.10.2022 18:19:52,-20,2,0,0,FINANSAL_RAPOR
PETUN,31.10.2022 18:20:14,0,0,0,0,GENEL_BILGI
PETUN,31.10.2022 18:21:02,0,0,0,0,GENEL_BILGI
PETUN,01.11.2022 10:15:48,-40,5,1,0,GENEL_BILGI
PETUN,01.11.2022 13:23:39,-40,5,0,0,GENEL_BILGI
PETUN,15.11.2022 11:21:56,-40,5,1,0,GENEL_BILGI
PETUN,17.11.2022 10:23:13,-40,5,1,0,GENEL_BILGI
PETUN,18.11.2022 14:14:20,30,1,0,0,YETKILİ_DERECELENDIRME
PETUN,18.11.2022 14:33:22,0,0,0,0,GENEL_BILGI
PETUN,18.11.2022 18:39:27,0,0,0,0,GENEL_BILGI
PETUN,20.12.2022 14:06:49,0,1,0,0,GENEL_BILGI
PETUN,21.12.2022 17:40:35,-40,5,1,0,GENEL_BILGI
PETUN,26.12.2022 15:36:49,-40,5,1,0,GENEL_BILGI
PETUN,28.12.2022 19:03:25,0,5,0,0,GENEL_BILGI
PETUN,30.12.2022 15:59:27,0,0,0,0,GENEL_BILGI
PETUN,04.01.2023 10:08:39,-40,5,1,0,GENEL_BILGI
PETUN,06.01.2023 10:44:36,-40,5,1,0,GENEL_BILGI
PETUN,09.01.2023 17:09:47,-40,5,1,0,GENEL_BILGI
PETUN,10.01.2023 17:42:32,-40,5,1,0,GENEL_BILGI
PETUN,11.01.2023 10:40:01,-40,5,1,0,GENEL_BILGI
PETUN,26.01.2023 10:00:02,-40,5,1,0,GENEL_BILGI
PETUN,27.01.2023 15:35:00,-40,5,1,0,GENEL_BILGI
PETUN,31.01.2023 15:49:26,0,0,0,0,GENEL_BILGI
PETUN,31.01.2023 16:08:54,0,1,0,0,KREDİ_DERECELENDİRME
PETUN,02.02.2023 15:57:33,-40,5,1,0,GENEL_BILGI
PETUN,07.02.2023 11:55:57,-40,5,1,0,GENEL_BILGI
PETUN,15.02.2023 10:02:33,-40,5,1,0,GENEL_BILGI
PETUN,16.02.2023 13:01:31,-40,5,1,0,GENEL_BILGI
PETUN,01.03.2023 23:02:03,0,0,0,0,GENEL_BILGI
PETUN,03.03.2023 11:20:36,-40,5,0,0,GENEL_BILGI
PETUN,03.03.2023 15:25:04,-40,5,1,0,GENEL_BILGI
PETUN,03.03.2023 18:42:53,30,1,0,0,KAR_ARTISI
PETUN,28.03.2023 18:18:15,0,0,0,0,GENEL_BILGI
PETUN,29.03.2023 21:17:24,30,2,0,0,YATIRIM_SOZLESME
PETUN,31.03.2023 17:10:16,0,0,1,0,GENEL_BILGI
PETUN,03.04.2023 09:15:37,30,1,1,0,SERMAYE_TEMETTU
PETUN,03.04.2023 11:56:41,-40,5,1,0,GENEL_BILGI
PETUN,04.04.2023 16:54:59,0,0,0,0,GENEL_BILGI
PETUN,05.04.2023 11:23:49,-40,5,1,0,GENEL_BILGI
PETUN,05.04.2023 16:38:58,0,1,1,0,SERMAYE_TEMETTU
PETUN,06.04.2023 11:59:59,0,0,0,0,GENEL_BILGI
PETUN,06.04.2023 17:58:40,0,0,0,0,GENEL_BILGI
PETUN,12.04.2023 18:17:30,0,0,0,0,GENEL_BILGI
PETUN,14.04.2023 17:09:53,0,2,0,0,GENEL_BILGI
PETUN,28.04.2023 16:36:43,0,0,0,0,GENEL_BILGI
PETUN,28.04.2023 18:34:52,0,0,0,0,GENEL_BILGI
PETUN,02.05.2023 17:25:30,-40,5,1,0,GENEL_BILGI
