symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
PRKME,09.03.2022 21:50:16,-20,2,0,0,FINANSAL_RAPOR
PRKME,09.03.2022 21:54:56,0,2,0,0,GENEL_BILGI
PRKME,14.03.2022 18:14:50,30,2,0,1,YATIRIM_SOZLESME
PRKME,29.03.2022 18:30:30,30,2,0,0,YATIRIM_SOZLESME
PRKME,01.04.2022 18:18:55,30,2,0,0,YATIRIM_SOZLESME
PRKME,12.04.2022 10:05:09,-40,5,1,0,GENEL_BILGI
PRKME,26.04.2022 18:54:36,0,2,0,0,GENEL_BILGI
PRKME,27.04.2022 18:32:52,0,2,0,0,GENEL_BILGI
PRKME,28.04.2022 18:31:12,-20,2,0,0,FINANSAL_RAPOR
PRKME,29.04.2022 18:22:42,0,2,0,0,GENEL_BILGI
PRKME,06.05.2022 18:26:13,0,0,0,0,GENEL_BILGI
PRKME,10.05.2022 18:38:29,0,0,0,0,GENEL_BILGI
PRKME,10.05.2022 18:38:58,0,5,0,0,GENEL_BILGI
PRKME,11.05.2022 18:51:33,0,5,1,0,GENEL_BILGI
PRKME,16.05.2022 18:46:02,0,5,1,0,GENEL_BILGI
PRKME,17.05.2022 16:59:55,0,2,0,0,GENEL_BILGI
PRKME,20.05.2022 18:46:33,0,5,1,0,GENEL_BILGI
PRKME,23.05.2022 18:35:20,0,5,1,0,GENEL_BILGI
PRKME,31.05.2022 18:18:12,30,2,0,0,YATIRIM_SOZLESME
PRKME,06.06.2022 10:24:37,0,0,0,0,GENEL_BILGI
PRKME,07.06.2022 19:05:40,0,0,0,0,GENEL_BILGI
PRKME,20.06.2022 18:15:49,0,5,1,0,GENEL_BILGI
PRKME,22.06.2022 18:17:08,0,5,1,0,GENEL_BILGI
PRKME,24.06.2022 18:26:39,0,5,1,0,GENEL_BILGI
PRKME,27.06.2022 18:30:35,0,2,1,0,GENEL_BILGI
PRKME,28.06.2022 18:35:17,0,5,1,0,GENEL_BILGI
PRKME,29.06.2022 18:42:19,0,5,1,0,GENEL_BILGI
PRKME,30.06.2022 18:42:10,30,2,0,0,YATIRIM_SOZLESME
PRKME,30.06.2022 18:42:45,30,2,0,0,YATIRIM_SOZLESME
PRKME,05.07.2022 18:27:20,0,0,0,0,GENEL_BILGI
PRKME,05.07.2022 18:31:43,-20,2,0,0,FINANSAL_RAPOR
PRKME,18.07.2022 17:04:21,0,0,0,0,GENEL_BILGI
PRKME,18.07.2022 17:04:43,0,0,0,0,GENEL_BILGI
PRKME,21.07.2022 18:25:19,0,5,1,0,GENEL_BILGI
PRKME,22.07.2022 18:17:21,0,2,1,0,GENEL_BILGI
PRKME,29.07.2022 18:39:31,30,2,0,0,YATIRIM_SOZLESME
PRKME,03.08.2022 14:46:47,-40,5,1,0,GENEL_BILGI
PRKME,16.08.2022 15:23:36,-40,5,1,0,GENEL_BILGI
PRKME,17.08.2022 21:45:33,-20,2,0,0,FINANSAL_RAPOR
PRKME,17.08.2022 21:45:52,0,0,0,0,GENEL_BILGI
PRKME,17.08.2022 21:46:11,0,0,0,0,GENEL_BILGI
PRKME,17.08.2022 21:46:25,0,5,0,0,GENEL_BILGI
PRKME,18.08.2022 18:06:21,0,2,0,0,FINANSAL_RAPOR
PRKME,05.09.2022 16:53:01,0,0,0,0,GENEL_BILGI
PRKME,07.09.2022 13:35:39,-40,5,1,0,GENEL_BILGI
PRKME,20.09.2022 12:00:46,-40,5,1,0,GENEL_BILGI
PRKME,24.10.2022 10:59:36,-40,5,1,0,GENEL_BILGI
PRKME,06.11.2022 13:50:24,-20,2,0,0,GENEL_BILGI
PRKME,07.11.2022 18:24:49,-20,2,0,0,FINANSAL_RAPOR
PRKME,07.11.2022 18:25:38,0,5,1,0,GENEL_BILGI
PRKME,09.11.2022 17:43:36,-40,5,1,0,GENEL_BILGI
PRKME,16.11.2022 15:18:30,-40,5,1,0,GENEL_BILGI
PRKME,18.11.2022 18:31:36,0,0,0,0,GENEL_BILGI
PRKME,30.11.2022 18:40:45,-40,5,0,0,GENEL_BILGI
PRKME,02.12.2022 17:46:46,-40,5,1,0,GENEL_BILGI
PRKME,07.12.2022 17:19:57,-40,5,1,0,GENEL_BILGI
PRKME,09.12.2022 18:40:04,0,5,1,0,GENEL_BILGI
PRKME,14.12.2022 09:39:43,0,0,0,0,GENEL_BILGI
PRKME,16.12.2022 10:07:02,-40,5,1,0,GENEL_BILGI
PRKME,16.12.2022 10:49:31,-40,5,1,0,GENEL_BILGI
PRKME,19.12.2022 10:01:04,-40,5,1,0,GENEL_BILGI
PRKME,19.12.2022 10:20:01,-40,5,1,0,GENEL_BILGI
PRKME,20.12.2022 10:03:41,-40,5,1,0,GENEL_BILGI
PRKME,23.12.2022 18:45:14,-20,2,0,0,FINANSAL_RAPOR
PRKME,27.12.2022 18:43:33,-40,5,0,0,GENEL_BILGI
PRKME,30.12.2022 15:59:27,0,0,0,0,GENEL_BILGI
PRKME,03.01.2023 16:31:58,0,5,0,0,GENEL_BILGI
PRKME,05.01.2023 10:42:21,-40,5,1,0,GENEL_BILGI
PRKME,06.01.2023 10:00:14,-40,5,1,0,GENEL_BILGI
PRKME,09.01.2023 10:31:32,-20,2,1,0,GENEL_BILGI
PRKME,09.01.2023 11:20:38,-40,5,1,0,GENEL_BILGI
PRKME,11.01.2023 14:33:27,-40,5,1,0,GENEL_BILGI
PRKME,24.01.2023 10:01:33,-40,5,1,0,GENEL_BILGI
PRKME,27.01.2023 15:57:38,-40,5,1,0,GENEL_BILGI
PRKME,31.01.2023 10:24:53,-40,5,1,0,GENEL_BILGI
PRKME,06.02.2023 10:08:16,0,5,0,0,GENEL_BILGI
PRKME,07.02.2023 10:18:47,-40,5,1,0,GENEL_BILGI
PRKME,15.02.2023 10:02:38,0,0,0,0,GENEL_BILGI
PRKME,16.02.2023 11:35:56,-40,5,1,0,GENEL_BILGI
PRKME,16.02.2023 16:57:18,-40,5,1,0,GENEL_BILGI
PRKME,01.03.2023 17:29:00,0,1,0,0,GENEL_BILGI
PRKME,03.03.2023 18:42:14,30,2,0,0,YATIRIM_SOZLESME
PRKME,09.03.2023 10:04:32,-40,5,1,0,GENEL_BILGI
PRKME,09.03.2023 22:15:18,0,0,0,0,GENEL_BILGI
