symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
QUAGR,08.02.2022 09:39:18,0,0,1,0,GENEL_BILGI
QUAGR,08.02.2022 16:41:45,0,0,0,0,GENEL_BILGI
QUAGR,16.02.2022 21:07:48,0,0,0,0,GENEL_BILGI
QUAGR,18.02.2022 20:27:52,30,2,0,0,YATIRIM_SOZLESME
QUAGR,04.03.2022 09:55:23,0,0,0,0,GENEL_BILGI
QUAGR,11.03.2022 22:14:10,0,0,0,0,GENEL_BILGI
QUAGR,07.04.2022 14:40:51,0,0,0,0,GENEL_BILGI
QUAGR,13.04.2022 20:50:33,30,2,0,0,YATIRIM_SOZLESME
QUAGR,13.04.2022 20:50:51,0,2,0,0,FINANSAL_RAPOR
QUAGR,14.04.2022 13:09:42,0,2,0,0,YATIRIM_SOZLESME
QUAGR,20.04.2022 18:30:21,0,0,0,0,GENEL_BILGI
QUAGR,20.04.2022 19:14:57,0,0,0,0,GENEL_BILGI
QUAGR,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
QUAGR,10.05.2022 18:41:26,0,0,0,0,GENEL_BILGI
QUAGR,11.05.2022 18:14:33,0,2,1,0,GENEL_BILGI
QUAGR,12.05.2022 15:28:15,0,2,0,0,FINANSAL_RAPOR
QUAGR,12.05.2022 18:26:12,30,2,0,0,YATIRIM_SOZLESME
QUAGR,20.05.2022 19:24:42,0,0,0,0,GENEL_BILGI
QUAGR,31.05.2022 18:54:50,30,2,1,0,YATIRIM_SOZLESME
QUAGR,02.06.2022 09:09:32,0,0,0,0,GENEL_BILGI
QUAGR,08.06.2022 10:29:17,-40,5,0,0,GENEL_BILGI
QUAGR,23.06.2022 19:42:50,0,5,0,2,YATIRIM_SOZLESME
QUAGR,24.06.2022 17:51:13,0,2,0,0,YATIRIM_SOZLESME
QUAGR,24.06.2022 18:26:49,30,2,0,0,YATIRIM_SOZLESME
QUAGR,27.06.2022 20:20:09,0,5,0,2,GENEL_BILGI
QUAGR,04.07.2022 17:38:26,0,2,0,0,YATIRIM_SOZLESME
QUAGR,07.07.2022 17:43:26,0,0,0,0,GENEL_BILGI
QUAGR,28.07.2022 17:46:32,0,2,0,0,YATIRIM_SOZLESME
QUAGR,28.07.2022 19:00:59,30,2,0,0,YATIRIM_SOZLESME
QUAGR,08.08.2022 08:55:59,0,5,0,0,GENEL_BILGI
QUAGR,19.08.2022 18:38:42,0,0,0,0,GENEL_BILGI
QUAGR,23.08.2022 17:57:15,30,2,0,2,YATIRIM_SOZLESME
QUAGR,24.08.2022 17:50:32,-40,5,0,0,GENEL_BILGI
QUAGR,31.08.2022 09:13:00,0,0,0,0,GENEL_BILGI
QUAGR,09.09.2022 08:06:05,0,0,0,0,GENEL_BILGI
QUAGR,12.09.2022 11:01:02,0,5,0,2,YATIRIM_SOZLESME
QUAGR,13.09.2022 10:09:20,-40,5,0,0,GENEL_BILGI
QUAGR,16.09.2022 09:04:22,0,0,0,0,GENEL_BILGI
QUAGR,16.09.2022 17:23:38,0,2,0,0,FINANSAL_RAPOR
QUAGR,16.09.2022 17:43:14,0,2,0,0,YATIRIM_SOZLESME
QUAGR,20.09.2022 19:46:36,30,2,0,0,YATIRIM_SOZLESME
QUAGR,21.09.2022 10:50:22,0,0,0,0,GENEL_BILGI
QUAGR,23.09.2022 17:14:03,0,0,0,0,GENEL_BILGI
QUAGR,23.09.2022 17:18:58,0,1,0,0,FINANSAL_RAPOR
QUAGR,26.09.2022 09:45:23,0,0,0,0,GENEL_BILGI
QUAGR,26.09.2022 15:19:44,0,2,0,0,FINANSAL_RAPOR
QUAGR,26.09.2022 17:40:40,0,2,0,0,YATIRIM_SOZLESME
QUAGR,06.10.2022 17:05:21,0,0,0,0,GENEL_BILGI
QUAGR,06.10.2022 19:01:50,0,1,0,2,FINANSAL_RAPOR
QUAGR,11.10.2022 17:08:53,-40,5,0,0,GENEL_BILGI
QUAGR,26.10.2022 17:27:33,0,2,0,0,YATIRIM_SOZLESME
QUAGR,26.10.2022 18:48:24,30,2,0,0,YATIRIM_SOZLESME
QUAGR,28.10.2022 12:20:57,0,0,0,0,GENEL_BILGI
QUAGR,31.10.2022 13:08:17,0,0,0,0,GENEL_BILGI
QUAGR,01.11.2022 17:04:55,0,2,0,0,GENEL_BILGI
QUAGR,09.11.2022 20:16:12,0,0,0,0,GENEL_BILGI
QUAGR,09.11.2022 20:16:39,0,0,0,0,GENEL_BILGI
QUAGR,10.11.2022 10:13:05,-40,5,0,0,GENEL_BILGI
QUAGR,17.11.2022 16:45:17,-40,5,0,0,GENEL_BILGI
QUAGR,14.12.2022 09:11:31,0,0,0,0,GENEL_BILGI
QUAGR,19.12.2022 18:15:31,0,0,0,0,GENEL_BILGI
QUAGR,20.12.2022 09:05:25,0,0,0,0,GENEL_BILGI
QUAGR,20.12.2022 15:49:39,-40,5,0,0,GENEL_BILGI
QUAGR,23.12.2022 08:58:37,0,0,0,0,GENEL_BILGI
QUAGR,23.12.2022 17:02:28,30,2,0,0,YATIRIM_SOZLESME
QUAGR,26.12.2022 09:54:40,30,2,0,0,YATIRIM_SOZLESME
QUAGR,26.12.2022 15:35:28,0,1,0,0,SERMAYE_TEMETTU
QUAGR,26.12.2022 17:51:02,0,0,0,0,GENEL_BILGI
QUAGR,27.12.2022 11:57:39,0,0,0,0,GENEL_BILGI
QUAGR,28.12.2022 16:13:29,-40,5,0,0,GENEL_BILGI
QUAGR,05.01.2023 16:23:25,-40,5,0,0,GENEL_BILGI
QUAGR,12.01.2023 13:11:56,-40,5,0,0,GENEL_BILGI
QUAGR,16.01.2023 22:14:27,30,2,0,0,YATIRIM_SOZLESME
QUAGR,23.01.2023 17:52:42,-40,5,0,0,GENEL_BILGI
QUAGR,07.02.2023 14:58:12,-40,5,0,0,GENEL_BILGI
QUAGR,08.02.2023 10:11:57,-40,5,0,0,GENEL_BILGI
QUAGR,09.02.2023 16:58:03,0,0,0,0,GENEL_BILGI
QUAGR,16.02.2023 10:09:47,-40,5,0,0,GENEL_BILGI
QUAGR,04.03.2023 23:17:31,0,0,0,0,GENEL_BILGI
QUAGR,04.03.2023 23:19:15,0,0,1,0,GENEL_BILGI
QUAGR,07.03.2023 11:07:40,-40,5,0,0,GENEL_BILGI
QUAGR,08.03.2023 21:01:53,0,0,0,0,GENEL_BILGI
QUAGR,10.03.2023 10:10:39,30,2,0,0,YATIRIM_SOZLESME
QUAGR,14.03.2023 16:56:07,0,0,0,0,GENEL_BILGI
QUAGR,14.03.2023 17:37:09,0,2,0,0,YATIRIM_SOZLESME
QUAGR,14.03.2023 19:03:07,30,1,0,2,YATIRIM_SOZLESME
QUAGR,16.03.2023 18:11:36,0,0,0,0,GENEL_BILGI
QUAGR,20.03.2023 14:44:27,-40,5,0,0,GENEL_BILGI
QUAGR,21.03.2023 17:45:17,-40,5,0,0,GENEL_BILGI
QUAGR,21.03.2023 20:19:52,0,2,0,0,GENEL_BILGI
QUAGR,27.03.2023 17:13:00,0,1,0,0,YATIRIM_SOZLESME
QUAGR,27.03.2023 18:24:30,30,2,0,0,YATIRIM_SOZLESME
QUAGR,28.03.2023 17:38:22,30,2,1,0,YATIRIM_SOZLESME
QUAGR,03.04.2023 15:53:51,30,1,0,0,YATIRIM_SOZLESME
QUAGR,03.04.2023 17:54:16,30,2,1,0,YATIRIM_SOZLESME
QUAGR,07.04.2023 09:41:28,30,2,0,0,YATIRIM_SOZLESME
QUAGR,11.04.2023 17:15:35,0,0,0,0,GENEL_BILGI
QUAGR,11.04.2023 17:39:27,0,0,0,0,GENEL_BILGI
QUAGR,11.04.2023 17:58:20,0,0,0,0,GENEL_BILGI
QUAGR,12.04.2023 10:03:15,0,0,0,0,GENEL_BILGI
