symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
SASA,11.02.2022 14:53:39,0,0,0,0,GENEL_BILGI
SASA,16.02.2022 16:52:31,0,0,0,0,GENEL_BILGI
SASA,23.02.2022 16:12:23,-40,5,1,0,GENEL_BILGI
SASA,25.02.2022 07:26:37,0,2,0,0,FINANSAL_RAPOR
SASA,25.02.2022 07:27:53,0,0,0,0,GENEL_BILGI
SASA,25.02.2022 07:29:03,0,0,0,0,GENEL_BILGI
SASA,25.02.2022 18:36:59,30,2,0,0,YENİ הודעה
SASA,17.03.2022 08:30:02,0,2,0,0,YATIRIM_SOZLESME
SASA,28.03.2022 14:06:39,0,2,0,0,YATIRIM_SOZLESME
SASA,28.03.2022 14:36:28,0,0,0,0,GENEL_BILGI
SASA,30.03.2022 16:15:37,0,2,0,0,YATIRIM_SOZLESME
SASA,31.03.2022 17:17:20,0,0,0,0,GENEL_BILGI
SASA,31.03.2022 17:19:51,30,1,0,0,KAR_PAYI_DAĞITIMI
SASA,31.03.2022 17:21:08,0,0,0,0,GENEL_BILGI
SASA,31.03.2022 17:22:49,0,0,0,0,GENEL_BILGI
SASA,01.04.2022 17:51:55,30,2,0,2,SERMAYE_TEMETTU
SASA,05.04.2022 13:37:19,0,2,0,0,YATIRIM_SOZLESME
SASA,05.04.2022 17:24:51,0,0,0,0,GENEL_BILGI
SASA,07.04.2022 10:51:44,30,2,0,2,SERMAYE_TEMETTU
SASA,22.04.2022 17:12:11,0,0,0,0,GENEL_BILGI
SASA,26.04.2022 17:16:33,-40,5,1,0,GENEL_BILGI
SASA,28.04.2022 17:25:29,0,0,0,0,GENEL_BILGI
SASA,29.04.2022 16:39:50,30,1,0,0,SERMAYE_TEMETTU
SASA,29.04.2022 18:05:05,0,0,0,0,GENEL_BILGI
SASA,29.04.2022 19:09:43,0,0,0,0,GENEL_BILGI
SASA,29.04.2022 19:46:11,0,0,0,0,GENEL_BILGI
SASA,05.05.2022 09:14:12,30,1,1,0,SERMAYE_TEMETTU
SASA,05.05.2022 17:11:03,-20,2,0,0,FINANSAL_RAPOR
SASA,06.05.2022 09:16:16,0,0,0,0,GENEL_BILGI
SASA,09.05.2022 07:50:58,0,0,0,0,GENEL_BILGI
SASA,09.05.2022 07:51:16,0,0,0,0,GENEL_BILGI
SASA,09.05.2022 09:37:38,0,0,1,0,GENEL_BILGI
SASA,09.05.2022 15:12:24,-20,2,0,0,FINANSAL_RAPOR
SASA,11.05.2022 15:40:49,0,1,0,0,GENEL_BILGI
SASA,13.05.2022 18:34:03,30,2,0,0,YATIRIM_SOZLESME
SASA,16.05.2022 16:52:24,0,2,0,0,GENEL_BILGI
SASA,18.05.2022 16:23:41,0,0,0,0,GENEL_BILGI
SASA,27.05.2022 11:41:31,0,0,0,0,GENEL_BILGI
SASA,30.05.2022 16:25:27,0,5,0,0,GENEL_BILGI
SASA,01.06.2022 13:49:45,-20,2,0,0,FINANSAL_RAPOR
SASA,03.06.2022 13:22:49,0,0,0,0,GENEL_BILGI
SASA,03.06.2022 13:23:05,30,2,0,0,YATIRIM_SOZLESME
SASA,03.06.2022 17:17:38,0,2,0,0,YATIRIM_SOZLESME
SASA,06.06.2022 17:51:33,-20,2,1,0,FINANSAL_RAPOR
SASA,09.06.2022 16:25:45,0,2,0,0,rutin_bilgilendirme
SASA,13.06.2022 15:54:08,0,0,0,0,GENEL_BILGI
SASA,17.06.2022 18:26:00,0,2,0,0,YATIRIM_SOZLESME
SASA,17.06.2022 18:26:25,30,2,0,0,YATIRIM_SOZLESME
SASA,23.06.2022 09:30:06,30,2,0,1,YATIRIM_SOZLESME
SASA,23.06.2022 09:30:08,30,2,0,1,YATIRIM_SOZLESME
SASA,05.07.2022 18:11:39,0,0,0,0,GENEL_BILGI
SASA,06.07.2022 23:42:29,0,0,0,0,GENEL_BILGI
SASA,14.07.2022 09:52:16,0,2,0,0,YATIRIM_SOZLESME
SASA,14.07.2022 09:52:45,30,2,0,0,YATIRIM_SOZLESME
SASA,18.07.2022 22:38:00,0,2,0,0,GENEL_BILGI
SASA,22.07.2022 17:40:11,-40,5,1,0,GENEL_BILGI
SASA,29.07.2022 16:01:15,0,0,0,0,GENEL_BILGI
SASA,09.08.2022 07:45:51,0,2,0,0,FINANSAL_RAPOR
SASA,09.08.2022 07:46:34,0,0,0,0,GENEL_BILGI
SASA,12.08.2022 15:56:10,-20,2,0,0,FINANSAL_RAPOR
SASA,12.08.2022 21:04:38,0,2,0,0,YATIRIM_SOZLESME
SASA,15.08.2022 14:59:18,30,2,0,1,YATIRIM_SOZLESME
SASA,15.08.2022 18:39:08,0,2,0,0,YATIRIM_SOZLESME
SASA,15.08.2022 18:39:36,30,1,0,0,SERMAYE_TEMETTU
SASA,22.08.2022 16:33:58,0,0,0,0,GENEL_BILGI
SASA,23.08.2022 18:16:18,0,0,0,0,GENEL_BILGI
SASA,23.08.2022 18:17:00,0,0,0,0,GENEL_BILGI
SASA,26.08.2022 17:05:06,0,2,0,0,rutin_bilgilendirme
SASA,01.09.2022 16:37:41,30,2,0,0,YATIRIM_SOZLESME
SASA,06.09.2022 17:29:16,0,2,0,0,YATIRIM_SOZLESME
SASA,06.09.2022 17:29:34,30,2,0,0,SERMAYE_TEMETTU
SASA,12.09.2022 18:18:18,0,0,0,0,GENEL_BILGI
SASA,13.09.2022 09:16:28,0,0,0,0,GENEL_BILGI
SASA,13.09.2022 16:18:08,-40,5,1,0,GENEL_BILGI
SASA,15.09.2022 10:07:51,0,0,0,0,GENEL_BILGI
SASA,29.09.2022 16:55:50,-40,5,1,0,GENEL_BILGI
SASA,03.10.2022 16:42:02,30,1,0,2,SERMAYE_TEMETTU
SASA,03.10.2022 16:47:16,30,2,0,2,YATIRIM_SOZLESME
SASA,03.10.2022 18:14:29,-20,2,0,0,FINANSAL_RAPOR
SASA,04.10.2022 18:24:41,0,2,0,0,GENEL_BILGI
SASA,06.10.2022 11:40:40,0,0,0,0,GENEL_BILGI
SASA,06.10.2022 17:42:56,0,0,0,0,GENEL_BILGI
SASA,10.10.2022 09:54:42,30,1,0,0,SERMAYE_TEMETTU
SASA,12.10.2022 18:13:05,0,0,0,0,GENEL_BILGI
SASA,14.10.2022 18:11:51,-40,5,1,0,GENEL_BILGI
