symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
TATGD,11.02.2022 19:54:07,-20,2,0,0,FINANSAL_RAPOR
TATGD,11.02.2022 19:54:22,0,0,0,0,GENEL_BILGI
TATGD,14.02.2022 19:00:47,0,0,0,0,GENEL_BILGI
TATGD,14.02.2022 19:01:04,0,0,0,0,GENEL_BILGI
TATGD,19.02.2022 22:03:28,0,0,0,0,GENEL_BILGI
TATGD,19.02.2022 22:04:27,0,0,0,0,GENEL_BILGI
TATGD,19.02.2022 22:05:01,0,0,0,0,GENEL_BILGI
TATGD,21.02.2022 21:00:34,0,0,0,0,GENEL_BILGI
TATGD,21.02.2022 21:11:00,0,0,0,0,PARSE_ERROR
TATGD,22.02.2022 19:46:20,0,5,1,0,GENEL_BILGI
TATGD,22.02.2022 19:59:20,0,0,0,0,GENEL_BILGI
TATGD,22.02.2022 20:01:04,0,0,0,0,GENEL_BILGI
TATGD,28.02.2022 19:26:22,0,0,0,0,GENEL_BILGI
TATGD,17.03.2022 17:18:47,0,0,0,0,GENEL_BILGI
TATGD,17.03.2022 17:38:39,30,1,0,0,Kâr_Artışı
TATGD,18.03.2022 20:16:25,0,0,0,0,GENEL_BILGI
TATGD,23.03.2022 16:45:53,30,1,1,0,SERMAYE_TEMETTU
TATGD,23.03.2022 20:03:28,0,2,0,0,FINANSAL_RAPOR
TATGD,24.03.2022 09:11:23,30,1,1,2,SERMAYE_TEMETTU
TATGD,28.03.2022 16:50:20,30,1,1,2,SERMAYE_TEMETTU
TATGD,26.04.2022 18:48:31,0,0,0,0,GENEL_BILGI
TATGD,27.04.2022 19:03:59,-20,2,0,0,FINANSAL_RAPOR
TATGD,27.04.2022 19:04:17,0,0,0,0,GENEL_BILGI
TATGD,27.04.2022 19:04:34,0,0,0,0,GENEL_BILGI
TATGD,11.05.2022 15:02:10,30,2,0,0,YATIRIM_SOZLESME
TATGD,11.05.2022 23:39:32,30,2,0,0,YATIRIM_SOZLESME
TATGD,12.05.2022 17:37:05,0,2,0,0,ROUTINE_INFO
TATGD,09.06.2022 13:17:10,30,2,0,0,YATIRIM_SOZLESME
TATGD,09.06.2022 18:31:24,30,2,0,0,YATIRIM_SOZLESME
TATGD,10.06.2022 17:51:00,0,2,1,0,YATIRIM_SOZLESME
TATGD,29.06.2022 17:56:54,-40,5,0,0,GENEL_BILGI
TATGD,14.07.2022 22:49:37,0,0,0,0,GENEL_BILGI
TATGD,14.07.2022 22:52:22,0,0,0,0,GENEL_BILGI
TATGD,27.07.2022 18:37:44,0,5,0,2,GENEL_BILGI
TATGD,01.08.2022 21:27:57,0,2,0,0,FINANSAL_RAPOR
TATGD,01.08.2022 21:28:18,0,0,0,0,GENEL_BILGI
TATGD,01.08.2022 21:28:41,0,0,0,0,GENEL_BILGI
