symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
TEZOL,02.03.2022 00:07:17,0,0,0,0,GENEL_BILGI
TEZOL,02.03.2022 00:08:21,0,2,0,0,FINANSAL_RAPOR
TEZOL,02.03.2022 00:10:22,0,0,0,0,GENEL_BILGI
TEZOL,02.03.2022 00:25:50,0,0,0,0,GENEL_BILGI
TEZOL,02.03.2022 00:39:39,0,0,0,0,PARSE_ERROR
TEZOL,02.03.2022 01:04:35,0,0,0,0,GENEL_BILGI
TEZOL,02.03.2022 15:44:31,-40,5,1,0,GENEL_BILGI
TEZOL,07.03.2022 10:00:09,-40,5,1,0,GENEL_BILGI
TEZOL,23.03.2022 17:55:12,0,0,0,0,GENEL_BILGI
TEZOL,28.03.2022 17:58:13,0,0,0,0,GENEL_BILGI
TEZOL,28.03.2022 18:45:02,0,0,0,0,GENEL_BILGI
TEZOL,28.03.2022 20:33:48,30,1,0,0,YATIRIM_SOZLESME
TEZOL,28.03.2022 22:58:48,30,2,0,0,YATIRIM_SOZLESME
TEZOL,04.04.2022 16:56:53,0,0,0,0,GENEL_BILGI
TEZOL,05.04.2022 16:29:30,0,0,0,0,GENEL_BILGI
TEZOL,12.04.2022 10:08:39,-40,5,1,0,GENEL_BILGI
TEZOL,19.04.2022 17:55:11,30,2,0,0,SERMAYE_TEMETTU
TEZOL,22.04.2022 19:13:59,30,2,0,0,SERMAYE_TEMETTU
TEZOL,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
TEZOL,28.04.2022 16:55:13,30,1,1,0,YATIRIM_SOZLESME
TEZOL,28.04.2022 18:20:22,30,1,0,2,SERMAYE_TEMETTU
TEZOL,29.04.2022 09:18:38,30,1,0,0,SERMAYE_TEMETTU
TEZOL,29.04.2022 16:20:19,30,1,0,0,SERMAYE_TEMETTU
TEZOL,06.05.2022 16:35:26,30,1,1,0,SERMAYE_TEMETTU
TEZOL,09.05.2022 21:04:11,0,0,0,0,GENEL_BILGI
TEZOL,09.05.2022 21:12:40,-20,2,0,0,FINANSAL_RAPOR
TEZOL,09.05.2022 21:20:13,0,0,0,0,GENEL_BILGI
TEZOL,10.05.2022 10:15:19,-40,5,1,0,GENEL_BILGI
TEZOL,11.05.2022 15:55:07,-40,5,1,0,GENEL_BILGI
TEZOL,11.05.2022 17:35:03,0,0,0,0,GENEL_BILGI
TEZOL,07.06.2022 10:03:34,-40,5,1,0,GENEL_BILGI
TEZOL,22.06.2022 18:18:39,30,1,0,0,SERMAYE_TEMETTU
TEZOL,24.06.2022 18:28:31,30,1,0,0,SERMAYE_TEMETTU
TEZOL,27.06.2022 16:46:21,0,0,1,0,GENEL_BILGI
TEZOL,28.06.2022 09:11:42,30,1,1,0,SERMAYE_TEMETTU
TEZOL,29.06.2022 09:09:18,0,0,0,0,GENEL_BILGI
TEZOL,30.06.2022 09:16:44,0,0,0,0,GENEL_BILGI
TEZOL,30.06.2022 19:16:18,30,1,0,2,KAYIP_DAĞITIM
TEZOL,01.07.2022 09:20:38,0,0,0,0,GENEL_BILGI
TEZOL,05.07.2022 12:30:01,30,2,0,0,SERMAYE_TEMETTU
TEZOL,05.07.2022 16:51:29,-40,5,1,0,GENEL_BILGI
TEZOL,20.07.2022 21:15:56,0,0,1,0,GENEL_BILGI
TEZOL,18.08.2022 19:54:29,0,0,0,0,GENEL_BILGI
TEZOL,18.08.2022 19:56:36,0,2,0,0,FINANSAL_RAPOR
TEZOL,18.08.2022 19:58:28,0,0,0,0,GENEL_BILGI
TEZOL,13.09.2022 13:23:28,-40,5,1,0,GENEL_BILGI
TEZOL,29.09.2022 17:06:36,0,0,0,0,GENEL_BILGI
TEZOL,29.09.2022 17:15:09,-40,5,1,0,GENEL_BILGI
TEZOL,30.09.2022 09:07:33,30,1,0,2,SERMAYE_TEMETTU
TEZOL,04.10.2022 16:52:19,30,1,1,2,SERMAYE_TEMETTU
TEZOL,05.10.2022 18:33:02,-20,2,0,0,GENEL_BILGI
TEZOL,25.10.2022 15:48:03,-40,5,1,0,GENEL_BILGI
TEZOL,26.10.2022 15:01:37,0,0,0,0,GENEL_BILGI
TEZOL,26.10.2022 18:10:00,0,0,0,0,GENEL_BILGI
TEZOL,27.10.2022 17:57:06,-40,5,1,0,GENEL_BILGI
TEZOL,28.10.2022 12:09:59,-40,5,1,0,GENEL_BILGI
TEZOL,07.11.2022 20:57:51,0,0,0,0,GENEL_BILGI
TEZOL,07.11.2022 20:59:01,-20,2,0,0,FINANSAL_RAPOR
TEZOL,07.11.2022 21:00:24,0,0,0,0,GENEL_BILGI
TEZOL,10.11.2022 18:17:07,0,0,0,0,GENEL_BILGI
TEZOL,15.11.2022 11:22:58,-40,5,1,0,GENEL_BILGI
TEZOL,16.11.2022 15:18:20,-40,5,1,0,GENEL_BILGI
TEZOL,17.11.2022 10:03:36,-40,5,1,0,GENEL_BILGI
TEZOL,17.11.2022 10:20:35,-40,5,1,0,GENEL_BILGI
TEZOL,18.11.2022 20:35:27,0,0,0,0,GENEL_BILGI
TEZOL,21.11.2022 11:05:52,-40,5,1,0,GENEL_BILGI
TEZOL,21.11.2022 18:36:46,-40,5,0,0,GENEL_BILGI
TEZOL,29.11.2022 10:45:27,-40,5,1,0,GENEL_BILGI
TEZOL,05.12.2022 20:42:21,0,0,0,0,GENEL_BILGI
