FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,AGHOL,3314224569,3545142295,3438557853,3564628735,3158125959,3938126128,3523183316,2849618962,3609065707,4074197790,4320796190,7142884102,4904552789,4919620597,5111320134,7188926260,5033761610,5854751515,5778379961,7102567789,4784404327,5341174333,5215277959
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,AGHOL,1326666869,1558379987,1627206098,1732670362,1337467030,1888742741,1568816684,1210423276,1497342381,1638368681,1893707289,3126423019,1916026069,2054737105,2284477722,3052525321,1797728175,2095013608,2339890617,3004153221,1363040173,1628394344,1843523457
1AB,Finansal Yatırımlar,Short-Term Financial Investments,AGHOL,111213097,50074685,31569622,8611003,2492207,4674732,1854404,9851868,86637638,106511317,95422944,153056267,80645671,68583395,38474805,56495509,33237487,147720380,77227236,8039868,12691859,17360923,51098659
1AC,Ticari Alacaklar,Short-Term Trade Receivables,AGHOL,539772696,675837211,567571270,461380118,521200844,767282627,635622463,448797574,555006172,825431600,739782558,799705264,754264376,903673076,880968643,903015635,957998646,1253075782,1056111373,920960994,991330401,1221574936,1096429454
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,AGHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,AGHOL,32247208,33569251,31790708,26023652,28834764,31463793,34554388,27560473,36758755,35723486,45689275,79842035,81197792,16345788,15248487,125969930,39967443,35328946,45321115,79604375,92358294,110186851,51262481
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,AGHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,AGHOL,953996657,945186055,841929773,964505900,964675331,984640808,995260442,855440126,1081841784,1224492134,1282889215,2477074151,1687008933,1566820206,1607255305,2585471478,1731207008,1947521537,1837377810,2525774969,1850204394,1899754247,1747910927
1AG,Canlı Varlıklar,Short-Term Live Assets,AGHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,AGHOL,349417154,282088104,321945610,327591858,303179551,261321427,287074934,297545645,351478978,243670573,263304909,506783365,385409948,309461028,284895172,465448386,473622850,376091263,422451810,564034362,474779205,463903030,425052980
1AI,(Ara Toplam),(Subtotal),AGHOL,3313313682,3545135293,3422013082,3520782892,3157849727,3938126128,3523183316,2849618962,3609065707,4074197790,4320796190,7142884102,4904552789,4919620597,5111320134,7188926260,5033761610,5854751515,5778379961,7102567789,4784404327,5341174333,5215277959
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,AGHOL,910887,7002,16544771,43845843,276232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,AGHOL,6791706906,6937070381,6229359275,6293564519,5992791219,5993773502,6162175277,5559865798,5155258840,5999503157,5573096361,13021247438,5337712609,4941963231,4886994130,11992191426,8755714392,9289851666,9627122095,12192433624,10173944103,10304924169,10559953826
1B,Ticari Alacaklar,Trade Receivables,AGHOL,226848,253665,240272,241097,241584,239653,240823,0,267467,153013,63120,168375,77654,158874,85612,0,39328,27368,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,AGHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,AGHOL,14439565,11354387,8188947,7866051,8186745,10083718,9316544,8938291,10127664,9073115,8688935,64388853,42566110,35877864,63761504,25531089,10500192,11472907,14250128,18094555,13648176,13135958,15215937
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,AGHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,AGHOL,726886,698563,1440730,1505375,1341958,1592245,1556467,7298435,5068026,4465234,4017389,53248879,36215877,36148143,36136039,57495058,36721299,48677008,96655979,127771292,1383000632,1389738323,1373018980
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,AGHOL,21767074,18751805,374572,18955561,25300691,25722582,52295014,54928181,60104886,61276226,56320255,227239750,61035293,48287024,46510246,289283212,208597961,199829954,189268251,190595248,134033494,105592403,98380462
1BE,Canlı Varlıklar,Long-Term Live Assets,AGHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,AGHOL,45952594,46815404,23453040,23331226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,AGHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,AGHOL,544950695,524701918,434670238,456094690,391208038,377943514,387984485,259528346,245886794,236183484,241086562,859371343,308961997,265118324,290823306,918093539,748450976,820265651,963932948,1299681176,1170739314,1192714908,1268685404
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,AGHOL,2405369749,2428551090,2228972342,2202481198,2126146772,2133787072,2109598741,1942611848,1839534354,2014247876,1878965292,4194241405,1846711244,1808317098,1823316160,4007740554,2979071254,3179155428,3287132597,4251791718,3108510772,3212841677,3331000322
1BGA,Şerefiye,Goodwill,AGHOL,986616121,1013747064,897231207,943440203,886147132,884125622,1069120917,765344492,876584854,891201038,794098997,1742855488,641162405,542052409,491774448,1414756623,1013726332,1078858396,1084308784,1337118735,914021970,919298837,943103320
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,AGHOL,2401332067,2534013420,2307378641,2380787063,2300393248,2311070389,2294574625,2305195087,1866504654,2523298106,2343002948,5522847213,2083205526,1915304450,1807209655,4723567730,3346470770,3486248597,3511148131,4390943155,2985536704,2999213059,3060705071
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,AGHOL,187263390,193758005,189342922,162712742,169634448,177114732,181417730,186030106,203658745,225692033,212044297,239951473,247432223,222939048,244776417,322933001,265636447,293116985,275865253,349184584,282213767,288728788,296064485
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,AGHOL,183061916,164425060,138066365,96149313,84190605,72093975,56069931,29991013,47521397,33913033,34808566,116934657,70344281,67759996,82600744,232790620,146499833,172199372,204560023,227253161,182239273,183660216,173779845
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,AGHOL,10105931475,10482212676,9667917128,9858193254,9150917178,9931899631,9685358592,8409484760,8764324547,10073700948,9893892551,20164131540,10242265398,9861583828,9998314264,19181117686,13789476001,15144603181,15405502055,19295001412,14958348430,15646098502,15775231785
1BM,KAYNAKLAR,LIABILITIES,AGHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,AGHOL,3468399605,3836900591,3360553295,3764933066,3399643080,4032856749,3714571814,3261901520,3609605960,4263998706,4177113966,6849800342,4809404622,4541280808,4699014986,6862798113,4995509931,5764493558,5405261932,6967195692,5097783061,5727451146,5496701786
2AA,Finansal Borçlar,Short-Term Financial Loans,AGHOL,1271353643,1279908978,924821921,1225108911,1098834284,1282774181,881561977,978731821,1172502131,1230898247,1259404003,1896628283,1385125444,1069491875,1251042514,1837013560,1319726870,1333486117,1218000000,1690277454,1578369047,1711631879,1632054899
