FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,AKCNS,133140893,126299614,118516149,139490668,120499727,130343995,132790630,134447250,148139938,160439973,192530918,391578607,243393715,219880632,244139628,381056244,257083559,242277172,285952344,385326601,282961619,274378736,288276281
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,AKCNS,44269084,40305089,32970605,42834131,17882731,18317366,16619134,19842939,13139954,13321454,41121302,119271393,72730568,71949960,86837298,133142249,86125202,64267544,97969955,160029598,96802983,79891491,91058617
1AB,Finansal Yatırımlar,Short-Term Financial Investments,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7524259,9989251,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,AKCNS,46467545,51274403,52608987,59505254,55526465,57621599,58361857,42131995,56872073,76691339,85630167,164609344,99133809,86536756,95306477,139563973,88833792,96123468,104659665,121284504,85929053,93189886,116305794
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,AKCNS,8721215,7982234,6491877,7054001,8012858,8533779,8521221,11166738,12559467,10193151,8699672,10361766,2922848,333074,1896419,6544506,4586904,1044253,771681,3883144,4725655,3364731,998855
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,AKCNS,30317726,23417952,24242564,24227636,27950042,38292403,43828930,57864785,58346980,51535208,51137068,91613552,49981618,43158923,42135878,76403482,53127576,57640402,58037007,73369804,59098687,60513132,48742016
1AG,Canlı Varlıklar,Short-Term Live Assets,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,AKCNS,3365324,3319937,2202116,5869646,11127630,7578849,5459489,3440792,7221464,8698821,5942709,5722552,18624872,17901919,10439298,15412783,24410087,23201506,24514035,26759552,36405242,37419497,31170999
1AI,(Ara Toplam),(Subtotal),AKCNS,133140893,126299614,118516149,139490668,120499727,130343995,132790630,134447250,148139938,160439973,192530918,391578607,243393715,219880632,244139628,381056244,257083559,242277172,285952344,385326601,282961619,274378736,288276281
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,AKCNS,187332769,186770105,171366444,187692740,173319128,168179679,173002532,127905551,124585117,113136284,150124656,600388888,193421308,167556363,239708218,579041175,415574344,434692310,454418109,622463360,509090335,497712245,505968457
1B,Ticari Alacaklar,Trade Receivables,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,AKCNS,691989,665144,578677,612768,632912,607798,595806,389885,422130,391168,351936,574325,456835,338840,319662,429211,374182,368136,354187,429694,443969,428585,503444
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,AKCNS,19218461,24820410,29376065,35753513,35525866,35163236,43161143,32251668,32115797,28010438,41063859,117261600,62761298,64627374,131064613,131063229,88942757,87176014,94136678,150187379,123587278,110436623,104438189
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,AKCNS,13221882,12698233,10940847,12226933,11071065,10570098,10332163,7679776,7297869,6419231,6085092,20459545,11031449,8333603,8185672,23137908,18178698,18340013,19532451,25277449,22435263,22421080,25294385
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,AKCNS,127499093,123289638,107740032,114742668,104841507,101129317,99031349,67670234,64447043,60495607,56990479,338602928,67861489,54679411,53819529,319535558,233331259,249482528,256762466,336419645,272907567,273578659,281000923
1BGA,Şerefiye,Goodwill,AKCNS,19764623,18974673,16749616,17501160,15595731,14958874,14624866,9741696,8871066,7793287,7011652,91967655,6779353,5028329,4742976,84339178,61287283,65344010,69592569,89714780,73542715,74085436,76256589
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,AKCNS,6332322,5990523,5204929,5969291,5206031,5020853,4795188,3386805,3644386,3542932,3301833,26691731,2629053,1865872,1698488,16920041,12047616,12617188,12951452,16809200,13570811,13728637,14178218
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,AKCNS,170594,159897,123452,168654,146858,142830,140667,5440376,6569545,5603593,34424413,2459726,41396507,32363318,39539524,1583925,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,AKCNS,433805,171586,652827,717754,299158,586675,321350,1345112,1217282,880028,895392,2371377,505323,319615,337753,2032125,1412549,1364421,1088305,3625214,2602732,3033226,4296708
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,AKCNS,320473663,313069720,289882593,327183407,293818854,298523674,305793162,262352801,272725054,273576257,342655574,991967495,436815023,387436996,483847846,960097419,672657904,676969483,740370453,1007789962,792051954,772090982,794244738
1BM,KAYNAKLAR,LIABILITIES,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,AKCNS,129207894,110390801,95331068,112708281,107909601,134449960,132775898,134525704,146266212,132740814,155890420,347904123,207727011,165733297,161153241,262893735,171176362,163273906,181187069,240305663,195083722,179544062,183663952
2AA,Finansal Borçlar,Short-Term Financial Loans,AKCNS,66660339,57122190,41376286,43860741,39286490,59651868,57090212,52445162,80792760,54507417,59067307,138759601,100278205,69378573,51726385,87720243,67491874,70057955,80314167,89430127,95640685,93673705,93603565
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,AKCNS,55906296,46038397,44854635,59723263,58342365,64681019,66127091,76071030,58609721,67904834,88500332,189451350,88498253,77257313,89144710,147696812,83028315,78659974,84093001,133200063,82365114,73678979,72387426
2AAGAB,Diğer Borçlar,Other Short-Term Loans,AKCNS,2756480,2309495,2619926,2294978,5328622,1840552,1834104,2788225,2191979,1504167,1814672,4916345,4101834,6581798,2894710,5278540,3771621,2874263,3431288,4516967,5435419,2756478,3855624
2AAGAC,Müşteri Söz. Doğan Yük.,None,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,AKCNS,412647,1017779,1046107,2010924,1334251,1808561,1383330,714968,1106934,1884637,1605210,3286011,1858651,1595687,1311782,1884318,732051,798679,401697,620444,971330,615185,1195457
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),AKCNS,0,1010267,2300051,1349008,272582,3037882,2178426,0,299909,3373046,2375557,4033716,6130724,6151444,10158507,8386473,6143878,1210043,4576377,4173758,2608177,1558836,5005243
2AAGE,Borç Karşılıkları,Short-Term Provisions,AKCNS,2066212,1654907,2028759,2455667,1805593,2284451,3004811,1749387,2194716,2726273,1410894,5647264,2517507,2970363,3719169,9837206,6192103,6902353,5957171,5628216,3688193,4476093,5027296
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,AKCNS,1405919,1237766,1105305,1013700,1539698,1145626,1157924,756933,1070193,840440,1116448,1809837,4341836,1798119,2197978,2090142,3816521,2770639,2413369,2736087,4374803,2784786,2589342
2AAGG,(Ara Toplam),(Subtotal),AKCNS,129207894,110390801,95331068,112708281,107909601,134449960,132775898,134525704,146266212,132740814,155890420,347904123,207727011,165733297,161153241,262893735,171176362,163273906,181187069,240305663,195083722,179544062,183663952
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,AKCNS,48747718,54926021,48650936,52077578,47320957,22169003,21837331,12303244,11616083,31828934,29132266,38643333,20264234,15443686,15042237,21722576,15547348,19101902,23444570,38028121,34953970,33619099,33261972
2BA,Finansal Borçlar,Long-Term Financial Loans,AKCNS,34612962,40853412,35879282,37870439,34024346,9680249,9389607,6746984,6433437,26896907,24372290,14436750,9007340,7070434,7280698,11333376,7711217,7593704,7793432,10589747,9589308,9734982,11292086
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBBA,Müşteri Söz.Doğan Yük.,None,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,AKCNS,8990564,8544700,7613113,8540422,7750963,7385270,7431197,5556260,5182647,4932027,4759976,24206583,11256893,8373252,7761539,10389200,6939772,7198374,6861669,9989389,8196899,8376461,8701733
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,AKCNS,5144192,5527909,5158541,5666717,5545648,5103484,5016527,0,0,0,0,0,0,0,0,0,896358,4309824,8789468,17448985,17167763,15507656,13268152
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,AKCNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2N,Özkaynaklar,SHAREHOLDERS EQUITY,AKCNS,142518051,147752897,145900590,162397548,138588297,141904711,151179933,115523852,114842758,109006509,157632888,605420039,208823778,206260013,307652368,675481108,485934194,494593675,535738814,729456178,562014262,558927821,577318814
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,AKCNS,140734879,146032388,144357120,160823519,137191514,140495052,149696485,115523852,114842758,109006509,157632888,605420039,208823778,206260013,307652368,675481108,485934194,494593675,535738814,729456178,562014262,558927821,577318814
