FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,AKENR,37565879,46046494,51079113,49080060,44595807,57849471,99826647,114449615,134066029,119012087,198353846,331036945,146114352,96135293,126116139,123713197,81419334,74868137,98231581,112082639,81140385,50258638,67157204
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,AKENR,10132773,23639154,33312619,28836510,25461950,29554170,59338442,51022168,71271222,56815739,98943780,109835980,73457681,55715297,76692136,57298051,45876323,30165556,61238923,64423810,49386182,17461394,37328049
1AB,Finansal Yatırımlar,Short-Term Financial Investments,AKENR,0,0,0,0,0,0,0,0,0,0,0,7107877,4650049,3615629,4242702,6369234,421246,111321,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,AKENR,16234270,15444411,12023708,13215921,11706986,13851117,15673682,33831282,31386552,32577191,83730817,194895982,56093377,25817180,35827532,39974535,22834318,29966664,24314003,24963766,15031731,18526389,12979130
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,AKENR,451079,528033,402267,434844,102512,212867,194137,92947,303368,408768,810758,561867,716139,956939,843504,750832,910610,4254188,5445657,4634114,4278302,3617868,4082310
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,AKENR,438474,745760,673176,775222,146493,555622,689067,832609,974524,695082,670248,3969474,3060141,2641492,2511356,6333766,3932158,3336622,2732887,6109084,4220682,3344561,2862829
1AG,Canlı Varlıklar,Short-Term Live Assets,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,AKENR,10142149,5528681,4525705,5817563,7177866,13675695,23931319,28670611,30130363,28515307,14198242,14665765,8136965,7388757,5998910,12986779,7444678,7033786,4500111,10244515,6823916,5898514,8453667
1AI,(Ara Toplam),(Subtotal),AKENR,37398744,45886039,50937474,49080060,44595807,57849471,99826647,114449615,134066029,119012087,198353846,331036945,146114352,96135293,126116139,123713197,81419334,74868137,98231581,110375290,79740813,48848726,65705985
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,AKENR,167135,160455,141639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707348,1399572,1409912,1451219
1AK,Duran Varlıklar,LONG TERM ASSETS,AKENR,996790761,944954620,826798551,856988633,762304622,727433639,705724530,867489707,785061164,693577868,624131735,1687128582,977102294,721599567,684600205,1440427245,1028121866,1083478757,1122031830,1121323758,905882110,902551441,917815356
1B,Ticari Alacaklar,Trade Receivables,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,AKENR,1390657,1281189,1327768,1369745,1319768,1499913,1536975,576076,764083,705457,662488,2750710,1703846,1289224,777429,1170413,789127,783319,818146,956555,788424,856793,869471
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,AKENR,15194,14587,12876,13454,11989,11500,11243,7489,6820,5991,5390,40062,5212,3866,3646,36723,44757,28464,27254,50606,36581,41796,43024
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,AKENR,2935732,2766894,2419271,2502860,2917122,2308198,2253204,1434631,1555285,1345179,1357188,4165001,1433683,1301554,1192544,1991435,1280344,1219651,1282666,3543058,2105213,2096935,2346879
1BFAA,Kullanım Hakkı Varlıkları,None,AKENR,4063463,3915383,3739053,3806118,3739502,3562601,3500011,2404487,2730166,2400777,2202897,8428359,4249276,3402061,3184088,10402559,9000233,9130368,9450857,11954916,10940220,10913710,10988274
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,AKENR,970270221,920317903,805141817,832339353,733625982,704559743,683482734,852488255,769246714,669883289,599729910,1625253871,949695907,702595548,664564020,1382650409,994157399,1047708646,1083994138,1062491469,860073797,855315957,870244339
1BGA,Şerefiye,Goodwill,AKENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
