FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,AKFGY,5617332,7384216,8457378,5141015,7260880,8627150,16213694,14549507,16067071,16798985,16613690,31180880,23247864,119270432,122700721,259262497,86204058,81139887,124336966,151288437,120108107,121168352,126045428
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,AKFGY,806547,3904359,4102994,1330262,2054838,3282201,5064827,4627430,6109480,4147127,1871686,10251384,13575925,5775339,8301481,106498031,76274489,65488151,55257368,60630750,44109052,33798063,33141100
1AB,Finansal Yatırımlar,Short-Term Financial Investments,AKFGY,537238,661220,771173,586428,0,0,1345634,1289413,1199608,1320453,1191892,1625044,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,AKFGY,1829169,297882,1398639,1356404,2014740,2388278,5235560,3804687,3822055,6422010,9781245,11102804,5562088,7126039,10844509,11766697,5997711,9654387,11887387,12817980,6280829,11916488,16808135
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,AKFGY,1063,6223,17012,19371,230464,176376,243979,221379,222589,515555,155604,121554,69683,222,1845929,4003,558,548,528,8577,6524,1744427,3236
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,AKFGY,219376,210535,186063,166331,147757,142178,137739,19092,12942,14994,15470,32560,15138,0,0,0,0,0,50076393,72751703,64041491,67287382,69301157
1AG,Canlı Varlıklar,Short-Term Live Assets,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,AKFGY,2223939,2303997,1981496,1682219,2813080,2638116,4185954,4587507,4700397,4378846,3597794,8047533,4025029,2729367,3931504,9996175,3931300,5996800,7115291,5079427,5670211,6421993,6791799
1AI,(Ara Toplam),(Subtotal),AKFGY,5617332,7384216,8457378,5141015,7260880,8627150,16213694,14549507,16067071,16798985,16613690,31180880,23247864,15630967,24923423,128264906,86204058,81139887,124336966,151288437,120108107,121168352,126045428
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,103639465,97777298,130997591,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,AKFGY,378013880,374538291,334397228,385560162,431521173,422978051,411367881,499435012,460971405,543436734,513526049,1063827116,605213035,523856149,534921498,885359821,649136581,719488559,706890376,938551776,789836618,801677043,818157125
1B,Ticari Alacaklar,Trade Receivables,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,AKFGY,10222983,9512782,9725819,10191915,9842336,10051346,9925703,9077002,8513142,7816362,7474930,13705221,11867,7963,7761,60820,44146,50633,58515,78973,65355,63303,69133
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,AKFGY,5786554,5935022,6204122,6480081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,AKFGY,0,0,0,0,7916471,7593199,7423655,4780575,4343172,3724396,3272616,21130638,12280497,12337350,0,0,0,0,4779024,6535765,5261521,7177009,7626144
1BE,Canlı Varlıklar,Long-Term Live Assets,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,AKFGY,356298804,353896181,312803168,362953518,399690564,389856115,381686040,467353145,426331223,505333610,454340311,940342539,551710970,490505752,513205127,834432992,605990111,669483321,695434072,920859683,775677802,786769545,803390184
1BFA,Stoklar,Stoklar,AKFGY,0,0,0,0,0,0,0,0,0,0,20461327,36034551,21512154,16919454,18478757,43170739,37029685,42455249,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,AKFGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
