FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,ALARK,225830421,137440875,240383573,224067262,180127150,163560264,234804971,182277675,210043288,236484972,307664983,789380377,406335627,416787646,471813289,768866106,577531967,555948369,543052178,689888320,497701176,507532879,520837053
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,ALARK,61848988,56722134,76228299,50504618,83750272,49172188,47031414,62926577,48535418,65062168,141181873,447643596,62195001,61317737,85427520,160276726,141739752,118558628,121394908,310043723,146282996,136642302,137111174
1AB,Finansal Yatırımlar,Short-Term Financial Investments,ALARK,92712857,19076881,99354749,99164144,18484848,20627004,85127774,36310734,40760260,41021157,39810632,63449903,215594832,213548078,218894375,315908963,221533504,185524442,185798126,169630424,185404705,166155921,174084114
1AC,Ticari Alacaklar,Short-Term Trade Receivables,ALARK,31988127,27284546,35953555,40001963,35701324,42727158,42415594,40056666,62019575,58270301,42976086,143025098,44529428,78275076,104414771,143385744,109225089,131461956,94843477,66659049,39088987,61724588,58422499
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,ALARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,ALARK,217479,454998,225439,277240,315982,676457,294409,299864,383784,852681,332414,998306,609034,547800,2455580,981476,684624,817400,1564904,2542675,11262314,9381323,3246941
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ALARK,7137785,1908766,1473220,6289530,8590829,6416491,14430711,362880,330448,481372,15500918,1302817,15262885,2317195,2879116,17964213,5418459,7506592,8707733,874683,77841,645452,0
1AF,Stoklar,Inventories,ALARK,16502504,16287649,13770402,15244976,16593389,20588663,22924039,20873400,33732464,44320117,41307372,83987823,36697638,28225329,22393831,54050788,40024768,48969091,59299101,50174994,40266746,56633561,63741246
1AG,Canlı Varlıklar,Short-Term Live Assets,ALARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,ALARK,10677808,10605130,9178630,9081586,13790517,21249996,20961157,20193644,23239196,25185591,25267546,47290652,30445763,31283051,34442551,75534174,58378426,62681975,71140072,89635073,75067334,76168857,84157055
1AI,(Ara Toplam),(Subtotal),ALARK,221085548,132340103,236184295,220564057,177227160,161457956,233185098,181023764,209001146,235193387,306376841,787698194,405334581,415514268,470907744,768102084,577004622,555520085,542748321,689560620,497450923,507352006,520763030
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,ALARK,4744873,5100772,4199278,3503205,2899989,2102307,1619873,1253911,1042142,1291584,1288142,1682183,1001046,1273378,905546,764022,527345,428284,303857,327700,250253,180873,74023
1AK,Duran Varlıklar,LONG TERM ASSETS,ALARK,254032385,349488099,251714491,326659091,361255706,363471467,323537803,351821086,395038322,473485482,630167009,1977645246,942003243,806415013,883149678,2137131425,1628944684,1772795550,1930446150,2643789995,2159918353,2217721087,2408642260
1B,Ticari Alacaklar,Trade Receivables,ALARK,4933,5060,5289,5454,5270,5343,5208,5084,4998,4683,4400,7891,4879,4897,4763,7189,4842,4807,5005,5856,4811,5225,5243
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,ALARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,ALARK,8184476,8161398,7720366,8186233,7723471,7790339,5916085,3883459,3759985,3568260,3456541,5965828,3678724,2864036,3020361,4740347,3589218,4291798,4955744,6816511,5977502,6612689,7616614
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ALARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,ALARK,65491,85903499,11913461,14996787,80365067,81877619,15760539,14016283,16599568,17550198,39305893,76687258,56197096,57141905,39030503,85961792,111742473,123666478,120519392,142972085,61908457,67811611,58883761
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,ALARK,88720797,104083640,98198744,159774951,141788547,143496304,172259128,185077524,233693419,317081568,467691845,1426169437,684766414,561592863,614755120,1400767379,998514563,1044214461,1156100423,1527873397,1240925736,1214108820,1329389249
1BE,Canlı Varlıklar,Long-Term Live Assets,ALARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,ALARK,62701901,62000274,54739665,63516817,58060506,56791854,55904377,54443546,49602500,53474581,47329931,138119056,80877082,63092311,58286576,141882453,101845898,108814964,111802966,215515683,181345520,184080312,187511952
1BFA,Stoklar,Stoklar,ALARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,ALARK,12789972,12334828,10715453,7775370,6860683,7075561,6276907,4881613,4379944,5036670,4447100,27142405,4805865,4232930,5974987,28868717,21060305,22940749,23735290,30466070,25177765,31334484,32067910
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,ALARK,53683228,51532081,45980895,49104286,45256541,45502677,46120865,66795312,63792857,56953855,51687715,216355314,64392371,61714619,88618462,322194986,261829256,323619862,367374711,526897426,477624049,530073620,610429854
1BGA,Şerefiye,Goodwill,ALARK,475653,456642,403094,421180,375325,359998,351960,234442,213490,187552,168741,1523397,163512,1989814,7498246,22040432,19974785,15924972,16738116,21577816,17688172,17818720,19703114
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,ALARK,12057222,11529176,10184483,10657323,9735793,9300188,9049541,6171821,6697923,5749942,5189993,23489279,5340773,4452602,4131828,24275634,19738598,23233155,24085112,30854561,30512083,32843511,35809829
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,ALARK,4478463,2343808,1953513,1405519,1412020,1230804,2025179,9471770,9656637,7616155,4650472,49315235,34093707,39711570,43825536,72483275,57275486,56050707,60079410,82485752,69091577,79943033,87853377
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,ALARK,10870249,11137692,9899528,10815171,9672482,10040779,9868014,6840231,6637001,6262017,6234377,12870146,7682819,9617467,18003297,33909221,33369261,50033596,45049982,58324840,49662682,53089063,39371357
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,ALARK,479862806,486928974,492098064,550726353,541382855,527031730,558342774,534098761,605081609,709970454,937831992,2767025623,1348338870,1223202659,1354962968,2905997531,2206476652,2328743919,2473498328,3333678316,2657619530,2725253966,2929479313
1BM,KAYNAKLAR,LIABILITIES,ALARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,ALARK,88023590,88097267,118573329,100873250,124649323,129757208,128998211,159241314,194143310,206655374,248004945,657851832,359105755,348704087,381103020,644532048,535871874,527375756,563966880,675464191,537421928,535893239,555163991
2AA,Finansal Borçlar,Short-Term Financial Loans,ALARK,18508984,21604544,14322454,13568208,10597117,9112223,10921014,12347710,36027635,65823890,80128631,136683289,87018667,101714253,131252396,250462136,219777252,228233422,275343241,280567071,202710784,259960339,256750919
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,ALARK,2013308,1988231,1805939,1580302,1448122,1428759,1437300,794686,744290,672390,623125,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,ALARK,37525157,35432815,28470533,19410945,18695560,30671088,22249341,28824708,48431085,49560788,47970614,93992464,41504868,51023204,55583655,95175526,56562190,58342206,46013072,90345906,40993876,46965292,50622367
2AAGAB,Diğer Borçlar,Other Short-Term Loans,ALARK,3111095,2796653,7259203,1625336,5726307,1697743,4091355,5786393,4369417,3587613,53018298,281201921,159671428,120382822,125176418,218058173,197717239,187934888,204163058,254199879,242515694,169254127,202501275
2AAGAC,Müşteri Söz. Doğan Yük.,None,ALARK,12893625,11620408,14308616,21581731,15028566,12368363,31149658,62389690,49785834,38837098,30952658,71162672,12988960,26771149,28136283,38135450,26917293,19917665,9971758,15878055,4030296,25681396,18298502
