FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,ARDYZ,9220412,12550450,11309892,12681614,10962718,15175769,18447913,14014469,10817016,13035098,16114256,49667670,28711700,22798889,31781994,49964735,43025629,45402959,35185028,37571223,42499904,50225509,53074658
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,ARDYZ,3158731,3525461,2249551,3670545,3304508,5913913,6466858,4794589,2927341,1004437,1011483,2167951,966661,884855,1195247,726236,628875,4115397,1357214,1733811,3258047,2229837,119728
1AB,Finansal Yatırımlar,Short-Term Financial Investments,ARDYZ,0,0,0,0,0,0,0,0,0,8148,591585,3622110,1351117,50,3266392,3511133,247439,42,46,994409,2077798,280,2876
1AC,Ticari Alacaklar,Short-Term Trade Receivables,ARDYZ,6012201,8800016,8618318,8415615,7435962,8889208,10918916,8693768,6827741,11109175,13544310,40644810,23191047,20441401,26091490,44524164,39396448,38506565,31051404,33579430,33388455,37681644,40611755
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,ARDYZ,304,292,258,0,0,413,60,40,1774,5103,8303,123225,118390,56967,29704,37864,128216,226933,216391,285267,279891,225453,273004
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,ARDYZ,0,25514,286847,480584,76430,218679,790884,329397,251144,465640,318709,1076864,681227,506434,756766,474068,373670,392792,370871,481205,543716,450824,611173
1AG,Canlı Varlıklar,Short-Term Live Assets,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,ARDYZ,49176,199167,154917,114869,145819,153555,271195,196675,809017,442595,639865,2032711,2403256,909181,442396,691270,2250980,2161230,2189103,497101,2951997,9637471,11456122
1AI,(Ara Toplam),(Subtotal),ARDYZ,9220412,12550450,11309892,12681614,10962718,15175769,18447913,14014469,10817016,13035098,16114256,49667670,28711700,22798889,31781994,49964735,43025629,45402959,35185028,37571223,42499904,50225509,53074658
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,ARDYZ,10253596,11387894,10774720,13443858,13732252,12907902,14294613,13041438,13830497,15678786,14659553,46884480,21010250,16326098,21571070,64191081,44700414,51097182,65756838,106491795,84349162,85456087,89352624
1B,Ticari Alacaklar,Trade Receivables,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4374242,2807534,3070138,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1200,659,648,623,147309,109714,104261,99825
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,184731,134153,143095,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,ARDYZ,3981,3822,3374,3525,3141,3013,2946,1962,1787,1570,1412,2298,1365,1013,955,2107,1531,1309,1259,2205,1808,1821,1874
1BFA,Stoklar,Stoklar,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,ARDYZ,13495,6207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,ARDYZ,848325,994162,835573,833092,699726,680664,610819,393904,467050,279177,240954,905015,326116,245934,220349,633613,405919,504718,481644,525135,389327,362125,724593
1BGA,Şerefiye,Goodwill,ARDYZ,0,0,0,0,0,0,0,516608,470438,413283,371832,0,1488172,957427,0,1885484,1370134,2821880,2989345,3535806,2898433,2919827,3005387
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,ARDYZ,9387796,10383702,9935774,12607242,13029385,12224225,13680848,12128964,12891222,14984757,14033866,45693493,18854729,14792550,20979520,56984636,39815100,44389502,61969667,100960685,79965365,80996498,84459277
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,ARDYZ,0,0,0,0,0,0,0,0,0,0,11489,0,155137,195022,227149,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,283667,0,0,0,309799,299538,308988,314300,1320655,984515,1071554,1061667
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,ARDYZ,19474008,23938344,22084612,26125472,24694970,28083670,32742526,27055907,24647513,28713884,30773809,96552150,49721950,39124987,53353064,114155816,87726043,96500141,100941866,144063017,126849066,135681596,142427282
1BM,KAYNAKLAR,LIABILITIES,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,ARDYZ,1012115,4184645,3644564,2054609,1174029,1016722,1963450,2532683,967005,3527813,4654014,22175550,13154583,7433241,16258162,19621298,17237985,20445077,20785186,31952359,33582923,44210437,47279045
2AA,Finansal Borçlar,Short-Term Financial Loans,ARDYZ,752690,675505,600416,628864,658428,637696,517348,413453,405823,808295,1801654,5133081,4503829,4733368,8354965,13063152,10423027,11981632,12739806,19810311,20565629,33504476,33747974
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,35832,6877,772263,743058,21657,13797,20996,18061
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,ARDYZ,157899,3365717,2917694,1286547,371476,214443,958920,1950598,394361,2500699,2512982,16578217,6244696,705411,4405515,2886421,940182,1112684,1495607,1694747,4011800,2180214,2351541
2AAGAB,Diğer Borçlar,Other Short-Term Loans,ARDYZ,6966,6505,21660,15475,12180,19991,18651,53936,28734,31168,30736,91984,404784,973642,1200088,1752444,2720120,2831146,1856889,4027933,3393634,2291087,4558893
2AAGAC,Müşteri Söz. Doğan Yük.,None,ARDYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
