FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,ASTOR,153729618,0,187141290,0,0,242161959,455280945,358014243,314555062,363798530,638115504,455310222,474864766,567085503,749393810,648730646,681789933,761213564
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,ASTOR,30230918,0,21949845,0,0,11475273,12588386,81607057,74759571,45006333,82368251,52232252,88508265,114961877,165671653,152194283,118192404,47634039
1AB,Finansal Yatırımlar,Short-Term Financial Investments,ASTOR,0,0,84579,0,0,16115225,32722843,37056166,16381473,63755410,68534240,88514598,81083825,81354089,115444417,106830897,143115173,198724580
1AC,Ticari Alacaklar,Short-Term Trade Receivables,ASTOR,57831681,0,103772326,0,0,114186217,226793066,125107151,122443617,149675474,290250269,163880000,159900823,167589355,232249724,168152644,158237459,159076929
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,ASTOR,8865267,0,7474505,0,0,8738106,13112227,7688961,4460588,5566087,3798014,3502805,5138003,8232151,8343016,12578628,17105429,16905948
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,ASTOR,46354067,0,41311382,0,0,63886864,113662172,62495198,54026148,46755881,74033645,54103773,64465040,72840700,101592759,105425393,115487268,188790009
1AG,Canlı Varlıklar,Short-Term Live Assets,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,ASTOR,10447685,0,12548653,0,0,27760273,56402251,44059709,42483665,53039345,119131085,93076794,75768810,122107333,126092240,103548801,129652199,150082059
1AI,(Ara Toplam),(Subtotal),ASTOR,153729618,0,187141290,0,0,242161959,455280945,358014243,314555062,363798530,638115504,455310222,474864766,567085503,749393810,648730646,681789933,761213564
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,ASTOR,73310819,0,51378808,0,0,66887135,175221123,76918261,73480893,82934263,280005309,214415109,223236761,246810432,334845987,262452788,276638030,292824922
1B,Ticari Alacaklar,Trade Receivables,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,ASTOR,137209,0,633209,0,0,438906,758970,452410,335670,316515,456171,396865,428497,416667,516177,402223,197440,139735
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,ASTOR,0,0,0,0,0,0,3021078,1834757,1364478,1345745,12682315,9617808,11568582,11234088,33076179,33309119,33631382,47106056
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,ASTOR,2232601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,ASTOR,60237020,0,39064845,0,0,47350902,119020100,47272211,37718029,44285158,144224883,100171301,106974931,117043288,201087930,171968936,176954684,193147660
1BGA,Şerefiye,Goodwill,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979434,6689690
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,ASTOR,10132023,0,8126920,0,0,6714521,28778924,9840838,9537154,11844436,64317887,72483895,78815828,88127571,73536988,46528304,51289386,39423565
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,ASTOR,378244,0,3439279,0,0,11503253,20273756,15040316,9039416,10575809,26056044,8021961,0,371068,22907662,8855828,1978597,895122
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,ASTOR,193722,0,114554,0,0,879553,3368296,2477729,15486145,14566600,32268009,23723280,25448923,29617750,3721052,1388377,5607107,5423095
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,ASTOR,227040437,0,238520098,0,0,309049094,630502068,434932504,388035956,446732793,918120813,669725331,698101527,813895936,1084239797,911183434,958427963,1054038486
1BM,KAYNAKLAR,LIABILITIES,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,ASTOR,106233841,0,136866749,0,0,159995735,257827614,164524721,142640818,162498727,313381239,211221609,191233094,273991566,342115021,278922168,298715425,347352020
2AA,Finansal Borçlar,Short-Term Financial Loans,ASTOR,53664829,0,76482563,0,0,67060797,99051745,46443440,25864962,18050349,51992804,26073733,30162369,42688930,67725288,80262944,85606972,112890760
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,ASTOR,37963068,0,34911924,0,0,47373543,83299575,33582346,37948858,44319330,82501801,53616930,48732223,69625985,59572965,49562461,54243992,55742532
2AAGAB,Diğer Borçlar,Other Short-Term Loans,ASTOR,3522132,0,205481,0,0,2142971,0,24764579,23227,21909,43,27,0,26,0,0,0,0
2AAGAC,Müşteri Söz. Doğan Yük.,None,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,ASTOR,0,0,15139704,0,0,0,54653610,42187431,67097230,80809743,162934103,112246710,102981213,144374488,197124855,127296566,139000650,152148175
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),ASTOR,0,0,3074961,0,0,5571474,7006526,3304175,5596397,9989425,0,6957239,807983,6113081,0,2036679,421070,1963364
2AAGE,Borç Karşılıkları,Short-Term Provisions,ASTOR,244558,0,213056,0,0,376386,700792,525532,470109,622456,664936,925415,1024795,1134375,1633348,7543536,7821799,7511451
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,ASTOR,10839254,0,6839060,0,0,37470564,13115366,13717218,5640035,8685516,15287552,11401556,7524511,10054681,16058567,12219982,11620942,17095736
2AAGG,(Ara Toplam),(Subtotal),ASTOR,106233841,0,136866749,0,0,159995735,257827614,164524721,142640818,162498727,313381239,211221609,191233094,273991566,342115021,278922168,298715425,347352020
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
