FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,BAGFS,86951936,99987288,106338974,91345614,109958388,119880620,135615985,130255530,151470960,125765892,101967437,206825508,105235778,69451122,82221698,137164774,67985971,75850667,48975782,55034344,47284950,56510711,54962209
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,BAGFS,56317644,58892445,68639803,55253688,64706853,62744597,71365692,77405667,63339550,43632900,47450756,56165135,43289502,27006682,45742703,52815568,20488294,17742225,3399844,2132234,3922818,11627000,6983803
1AB,Finansal Yatırımlar,Short-Term Financial Investments,BAGFS,108273,196666,201451,563907,426887,288747,266473,280327,264907,206897,333435,1132398,503890,510626,640955,366749,239599,207658,291402,496103,338595,279313,334139
1AC,Ticari Alacaklar,Short-Term Trade Receivables,BAGFS,1244067,4825324,689222,1142354,4459000,6785467,3414655,650918,16943094,19394312,7402599,169805,135843,1267478,1980208,19271,58191,14579,328072,781590,2425164,10968476,7479922
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,BAGFS,3465324,3714044,2069711,587072,1057687,4381355,2626998,342551,378016,1016529,884863,1277966,499465,1460795,2544101,3364123,2484785,2106510,2049698,2510544,2000366,2229277,2180112
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,BAGFS,22741437,28604137,26607608,20445545,22967330,32103206,49001557,45766982,61167252,56604614,42024278,141467357,52021477,29828693,20628277,61800385,30840396,34624556,30459435,33365839,24667179,17101712,20045166
1AG,Canlı Varlıklar,Short-Term Live Assets,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,BAGFS,3075190,3754671,8131179,13353047,16340632,13577248,8940609,5809084,9378141,4910640,3871506,6612847,8785601,9376848,10685455,18798678,13874706,21155138,12447330,15748034,13930829,14304933,17939068
1AI,(Ara Toplam),(Subtotal),BAGFS,86951936,99987288,106338974,91345614,109958388,119880620,135615985,130255530,151470960,125765892,101967437,206825508,105235778,69451122,82221698,137164774,67985971,75850667,48975782,55034344,47284950,56510711,54962209
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,BAGFS,183446459,171059285,152434395,166303607,147347654,143502115,143389387,114823400,102027172,93404515,86776412,378318643,124052388,90286957,86014689,306535694,207013576,224666320,231206692,304585763,257821497,254183501,251369442
1B,Ticari Alacaklar,Trade Receivables,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,BAGFS,9311,8939,5191,8245,7301,7003,6847,4561,4153,3648,3282,5621,3330,2354,2220,2981,1883,1852,1782,2161,1610,1530,1465
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,BAGFS,438556,421028,371656,563345,502011,481511,470760,437979,398836,350380,315238,333193,78730,9879,9318,308099,286518,158295,172966,213831,41867,43831,50617
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,BAGFS,9695254,9238214,8093513,8392523,7421634,7063746,6852424,4528732,4091480,3565829,3182494,13765571,3027418,2227085,2083355,12221129,8807649,9312663,9676664,12369266,10053200,10040416,10245093
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,BAGFS,109406908,99049757,86504099,94071116,83124920,82841544,89378740,66375101,61113151,58879630,53853505,292134396,52150069,38345527,37607790,253827940,182099983,191577889,202469087,257457290,207327268,204286100,205619485
1BGA,Şerefiye,Goodwill,BAGFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,BAGFS,77541,70875,83391,88982,74164,147610,62617,38406,32729,26781,22320,126293,17957,13319,10328,89813,62664,64039,64373,79578,62439,60086,58949
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,BAGFS,0,62270472,57376545,63179398,56217625,52952322,46609807,43433165,36381854,30575210,29396841,71949111,68774884,49688794,46301679,40085732,15754879,23551582,18821820,34463635,40335113,39041160,35161232
