FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,BERA,303537479,291873107,279631562,294878403,274216867,274894989,261986038,248904615,272694834,281966666,294668557,526451696,337210985,285898245,294145600,421408695,275979837,310909009,316448503,407539769,318757335,297522819,318148164
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,BERA,37841860,45859772,46112864,48709074,47399205,40271198,36636848,69144908,70155695,65914693,52234544,84000788,65892512,65816002,65493911,91538949,69288774,71102668,25494444,49902590,32083277,46432270,34810632
1AB,Finansal Yatırımlar,Short-Term Financial Investments,BERA,0,0,0,0,0,0,0,1594805,2497270,2753368,3737760,27648061,6571411,5396594,9162394,10602002,4031008,5880644,45406865,64244594,55810332,14839201,23577111
1AC,Ticari Alacaklar,Short-Term Trade Receivables,BERA,100070376,97214231,86841166,95669260,100042676,108564815,105872039,82669691,86648008,90204581,106433203,171720477,125338236,100145487,98702217,122511906,78307407,97801503,93967246,96033223,86101764,90264511,111971604
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,BERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,BERA,30202257,29900661,31691005,28326472,16344921,11871056,8935638,2586053,2794659,4227525,3845701,5419834,3831328,2782979,2909222,4655559,3422396,2140756,4121205,2859674,3464405,3925220,4460084
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,BERA,118122952,102219268,95761562,101591318,90473715,92934086,92930262,75747714,86130994,93909669,103427904,188066813,106768098,90475081,95675850,152508728,94425697,104339454,111628158,147699970,108934387,117156715,113077076
1AG,Canlı Varlıklar,Short-Term Live Assets,BERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,BERA,15550788,14999842,17742560,19033359,18576066,19929915,16316893,16299266,23683084,24267094,24368885,49371148,28676344,21183412,22108917,39466562,26425619,29566348,35755896,46709114,32295689,24840775,30190259
