FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,BIOEN,0,0,0,31865598,26768032,59736208,69179303,51144028,46117107,41398158,56944341,108116345,68239432,47083492,41456152,56098317,36524002,44197274,32691020,39360378,27925414,24474492,23313780
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,BIOEN,0,0,0,13697569,3106022,23304236,22167813,12796098,7233562,4347617,0,2431287,3841205,9976314,7570018,7205561,3567064,7687386,4676260,3498067,1668768,758233,1392279
1AB,Finansal Yatırımlar,Short-Term Financial Investments,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577075,586773
1AC,Ticari Alacaklar,Short-Term Trade Receivables,BIOEN,0,0,0,4063338,3770021,4667191,8803021,7816204,14247231,8461683,11508697,29592532,19408321,14428585,15385786,12205485,7930670,10693698,5887831,6461926,5835188,4424854,4638424
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,BIOEN,0,0,0,1126419,1789028,15868333,13303472,1717484,1396331,780516,527631,831448,584592,1344024,537342,1092449,259240,449490,508116,1165453,1305465,1712864,1212426
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,BIOEN,0,0,0,594223,702928,1091169,4426146,4767433,5033715,5710173,5703388,10412240,8356630,6469633,7854810,15940663,12504437,11046313,10711444,13540453,9641355,8701014,7712322
1AG,Canlı Varlıklar,Short-Term Live Assets,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,BIOEN,0,0,0,12384049,17400033,14805278,20478850,24046809,18206267,22098168,39204624,64848837,36048683,14864935,10108196,19654160,12262591,14320388,10907369,14694478,9474638,8300452,7771558
1AI,(Ara Toplam),(Subtotal),BIOEN,0,0,0,31865598,26768032,59736208,69179303,51144028,46117107,41398158,56944341,108116345,68239432,47083492,41456152,56098317,36524002,44197274,32691020,39360378,27925414,24474492,23313780
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,BIOEN,0,0,0,77751397,89423378,100306123,102447244,86057204,84748552,81613529,85630362,246572423,121783526,97824944,107861446,270352698,211112960,198708082,212251475,265514335,214708401,222178743,227987589
1B,Ticari Alacaklar,Trade Receivables,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,BIOEN,0,0,0,3404231,3631113,3858289,4255278,3822732,3668850,3216083,3297057,12591880,5681661,2231953,3274540,13771354,13007988,9286083,10588799,11318033,9450436,9561084,10308660
1BE,Canlı Varlıklar,Long-Term Live Assets,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,BIOEN,0,0,0,442888,394669,378553,370100,693178,224493,620439,558212,1564868,780444,578865,546015,1630053,1234607,1262925,1323370,635067,520588,524431,539798
1BFA,Stoklar,Stoklar,BIOEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,BIOEN,0,0,0,5037593,4457652,4239370,4102579,5533006,4946395,4283346,3801670,4996800,2962746,2593506,2161036,5727326,4747018,6537146,5895303,6749797,5429452,4887877,4462978
