FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,BMSCH,0,0,0,9545759,8195799,15717476,15530432,12682337,13546905,13141768,10821458,23338934,17059217,12891005,12348988,16288381,11089114,11851473,11801481,13088307,10112865,12117009,10463078
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,BMSCH,0,0,0,2321990,2779691,6706589,4011163,2894888,1091384,3757531,676281,9943542,493619,644817,2759409,5661016,803044,4017974,1129005,4028485,1090498,3812403,1816362
1AB,Finansal Yatırımlar,Short-Term Financial Investments,BMSCH,0,0,0,0,0,0,0,0,0,0,377754,0,1956601,1070518,0,0,0,5263,535596,0,658483,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,BMSCH,0,0,0,481621,921350,946299,1226347,754236,1862257,1922644,2104955,1868041,2042269,1262243,2041993,3265247,2044875,2070459,1922645,1151877,1565797,905100,1647075
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,BMSCH,0,0,0,396802,149073,293343,246020,314171,148509,186577,238409,733061,407886,707846,1201932,1353213,1074759,812505,360066,1220172,809574,791045,695139
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,BMSCH,0,0,0,2747763,3052482,3886314,4165464,6625605,6053821,5184334,4036877,3678575,4098517,4554868,2657995,3357314,2884426,2368834,3544662,2153017,2777636,4833462,4014404
1AG,Canlı Varlıklar,Short-Term Live Assets,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,BMSCH,0,0,0,3597583,1293202,3884931,5881438,2093438,4390934,2090683,3387182,7115716,8060324,4650713,3687658,2651591,4282010,2576439,4309505,4534757,3210876,1774998,2290098
1AI,(Ara Toplam),(Subtotal),BMSCH,0,0,0,9545759,8195799,15717476,15530432,12682337,13546905,13141768,10821458,23338934,17059217,12891005,12348988,16288381,11089114,11851473,11801481,13088307,10112865,12117009,10463078
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,BMSCH,0,0,0,5986579,5337520,5110686,5107309,4947049,4904659,4888675,5104543,22069999,12817975,9618117,10248299,38113143,28563944,30672077,32271920,44506071,36467393,37488112,38341904
1B,Ticari Alacaklar,Trade Receivables,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,BMSCH,0,0,0,1636,1634,1629,1621,1583,1576,1566,1559,3096,1869,1774,1758,2512,1718,1991,0,2455,2064,14353,13742
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,BMSCH,0,0,0,168,150,1869,1827,1217,1108,974,876,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,BMSCH,0,0,0,182350,153469,138543,170775,106171,89776,72802,60042,681741,161496,102671,80704,777590,644932,745077,788174,991898,713339,1299599,1284527
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,BMSCH,0,0,0,5798399,5179060,4957220,4923025,4828611,4802852,4235529,4071231,21360751,12641410,9504049,10157542,37309030,27902951,29908241,31467182,43093445,35410512,35800585,36658901
1BGA,Şerefiye,Goodwill,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,BMSCH,0,0,0,4026,3206,11425,10061,9467,9347,7318,11127,24410,10411,6714,8295,24011,14343,14258,12635,22069,16694,10664,11483
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,BMSCH,0,0,0,0,0,0,0,0,0,570486,959708,0,2789,2909,0,0,0,2509,1958,396204,324784,362911,373249
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,BMSCH,0,0,0,15532338,13533318,20828162,20637741,17629385,18451564,18030443,15926001,45408933,29877192,22509122,22597287,54401525,39653058,42523549,44073401,57594377,46580257,49605121,48804982
1BM,KAYNAKLAR,LIABILITIES,BMSCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,BMSCH,0,0,0,5368005,4680123,3009771,3205286,3547373,4213474,4864919,3650716,14180035,11737905,9889071,9313787,12501387,10023536,10664332,12566383,16627164,13486344,15889592,13672154
