FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,BRISA,385248052,366002966,350675881,396338084,408272288,460753628,490205124,440669371,457390016,472850539,510333362,883605166,653160530,459748343,622163234,1078490355,669104786,614711357,623885699,799851846,644432804,598737403,630014117
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,BRISA,119778392,153383902,152308448,179620035,188613387,225603609,253429668,250496475,209868937,204440622,154862998,320406214,256797453,164089230,307190280,642463123,276721934,184892982,226478633,247705420,216818546,184141524,187040133
1AB,Finansal Yatırımlar,Short-Term Financial Investments,BRISA,19640591,14641031,20163272,27163831,0,0,0,10029217,0,8536567,78623844,109215981,80470745,37500070,53527474,65211191,74707928,76171147,44455045,69551261,54173904,40251680,40855018
1AC,Ticari Alacaklar,Short-Term Trade Receivables,BRISA,135378676,98690407,91728705,97827071,123904589,125086391,121097273,78132114,119327907,133351016,136738456,211092623,175995227,132285981,129453889,186961740,162777250,175587447,179078134,265603895,207596781,199748847,223281620
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,BRISA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,BRISA,1281024,1424680,1268946,1779325,2565719,2279295,2311058,1075204,1155280,1547257,1280685,2222536,1918603,2465705,2216125,3277900,2723464,4452749,4899074,4879575,4646613,6405115,4963686
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BRISA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,BRISA,98333311,90167854,78992878,83098989,85405062,99399906,104749895,83031753,111050738,112461746,126733112,215943576,125650168,101425377,112507545,160960087,134651222,154639136,147779474,183884535,136721531,146731169,154054774
1AG,Canlı Varlıklar,Short-Term Live Assets,BRISA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,BRISA,10836058,7695092,6213634,6848834,7783530,8384427,8617229,17904608,15987153,12513332,12094267,24724237,12328333,21981980,17267919,19616315,17522987,18967898,21195339,28227160,24475428,21459068,19818886
