FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,BUCIM,98853540,108017238,114039744,113063168,142611870,148138814,144602078,116165098,195953585,189006971,176104911,287236482,185673735,154448939,155226942,232995162,221085192,199007609,197259015,206990750,163224366,165428989,209652166
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,BUCIM,26555200,38029498,45304421,28930908,59237487,56619005,40505616,31406462,68837894,52010298,50416659,57163167,48464069,46813003,40949709,55651972,83237034,49297115,47034053,48616590,34663055,40096686,50992505
1AB,Finansal Yatırımlar,Short-Term Financial Investments,BUCIM,3937358,2334668,0,0,0,0,0,0,8729635,0,0,0,0,0,0,0,0,18878269,12789840,12183203,5377920,4686747,15258917
1AC,Ticari Alacaklar,Short-Term Trade Receivables,BUCIM,34550011,31026868,34986357,43061510,40775238,42841144,53857081,35851256,47831548,66267149,61690533,119533774,73467959,58329748,65965692,91294759,62605087,54919631,57723614,61224077,45891891,48327601,61008184
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,BUCIM,96135,97290,134722,277439,331456,406119,478387,139160,262378,160600,590273,1295591,1386354,673231,892586,2708579,7145112,4743215,12561086,5621117,13456041,5787316,14141513
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,BUCIM,30603492,33474134,30172607,37647237,38892912,43939499,45148875,43083020,60414238,60929703,54499666,91398022,52279776,41890462,39033112,59974172,49410259,46289789,46395125,56185896,52932243,44785278,49000134
1AG,Canlı Varlıklar,Short-Term Live Assets,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,BUCIM,3111345,3054779,2470822,3146075,3374777,4333047,4612120,5685200,9877893,9639221,8907780,17845928,10075577,6742496,8385842,23365680,18687700,24879590,20755296,23159867,10903216,21745361,19250913
1AI,(Ara Toplam),(Subtotal),BUCIM,98853540,108017238,113068928,113063168,142611870,148138814,144602078,116165098,195953585,189006971,176104911,287236482,185673735,154448939,155226942,232995162,221085192,199007609,197259015,206990750,163224366,165428989,209652166
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,BUCIM,0,0,970816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,BUCIM,57583100,55923513,50294757,52703338,54228718,57885177,66103103,56980347,65354257,87754941,93850336,289228891,128911574,113803254,119072173,355450190,264349323,288863462,334747518,467504443,399397950,422944183,447185450
1B,Ticari Alacaklar,Trade Receivables,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,BUCIM,50762,47932,42349,44230,42136,40470,39578,26661,24631,21974,19801,30473,18262,13622,12898,17349,11529,10825,16189,21653,16308,15739,15544
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,BUCIM,790241,758657,859923,898507,800682,767986,750838,500137,455439,445496,448457,4881702,438129,324630,310192,4365774,3104849,3126288,2996910,4188113,3421466,3484389,3552224
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,BUCIM,8054227,8276077,7679053,7719545,7055542,7597554,7900361,6268817,6621782,6733577,6903992,29230705,7855101,6360023,6570601,28471523,18723966,22486544,18909099,29096181,22927315,22836175,23267804
1BE,Canlı Varlıklar,Long-Term Live Assets,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,BUCIM,215936,207306,182996,191207,170390,163432,159783,106432,96920,85145,76605,555504,74067,54937,51819,476063,340265,368842,386494,498247,371090,411447,423503
1BFA,Stoklar,Stoklar,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,BUCIM,701192,562090,431824,383960,282237,213239,178055,200135,147494,124136,108350,908439,751698,606766,519976,1278242,832882,858826,4280749,1259609,4180050,1250711,1379271
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,BUCIM,40772462,38240884,33654376,36426369,33009024,35628981,37877459,33328435,44745471,59416102,71244701,229162251,106042638,94834869,102356995,287039568,228070522,256407538,290853258,423585716,360561951,386815265,412822569
1BGA,Şerefiye,Goodwill,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,BUCIM,943266,913248,909389,896240,842867,1214629,1223893,502344,549221,476476,642787,2442921,812580,524263,797274,1730271,1807197,1231629,2398544,3111927,3747659,2453672,3072146
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,BUCIM,1959655,2714407,2116618,2232529,1883429,2766472,2077243,3212704,2929578,4306216,4637726,0,4876152,5492970,5161038,18702354,4851976,328620,11173016,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,BUCIM,4095359,4202911,4418229,3910751,10142410,9492414,15895892,12834682,9783722,16145819,9767916,22016896,8042946,5591174,3291379,13369047,6606138,4044351,3733258,5742997,4172112,5676786,2652389
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,BUCIM,156436640,163940750,164334501,165766506,196840588,206023991,210705181,173145445,261307842,276761912,269955247,576465373,314585309,268252193,274299115,588445352,485434514,487871071,532006532,674495193,562622315,588373172,656837616
1BM,KAYNAKLAR,LIABILITIES,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,BUCIM,30127396,32023429,39841062,31468551,31603090,36003135,34023724,30810859,44876469,57568210,50509569,67884027,62339950,52294104,52871625,64900335,73533153,62568477,61673470,84867136,81883590,83956639,102321545
2AA,Finansal Borçlar,Short-Term Financial Loans,BUCIM,12675104,12887154,14898750,5437188,3894459,3768633,3630184,2457849,11943102,21562827,18311136,22470224,19979292,15857123,10999664,20249279,23873562,22960280,29916684,43864821,40136829,48208479,64301889
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,BUCIM,10393687,11553780,13935678,17654020,15857355,16607210,16218890,15303503,18381406,22389697,21094240,30417439,19110794,19275603,18742674,26621734,29302975,25059626,18647015,24185705,25505297,23861400,25008897
2AAGAB,Diğer Borçlar,Other Short-Term Loans,BUCIM,1373039,347522,303362,355066,994112,130702,115008,274619,1336451,363168,575138,1136709,6063144,4178190,6503666,5687080,5721334,6211779,4882889,3882629,6624652,2500829,1914076
2AAGAC,Müşteri Söz. Doğan Yük.,None,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,BUCIM,2677945,4452720,5768212,4200516,6378683,8363213,8371465,4128575,4540799,3593935,3608384,3742335,4340553,4698123,4466695,3612797,1792323,1871401,1666340,3757865,2650474,2393864,2978138
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),BUCIM,17369,51206,1581773,1256092,1945585,4485605,2856036,5850617,5458494,7254261,4185896,5378885,6935111,4557795,8053010,1047233,6481625,106761,1064969,0,603107,0,1676291
2AAGE,Borç Karşılıkları,Short-Term Provisions,BUCIM,761551,855638,623375,482766,462259,451185,426329,414635,374648,347958,313370,520061,463443,556355,1008406,3405496,1531368,1973261,1762028,2730539,2536449,2956189,2727018
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,BUCIM,2228700,1875409,2729913,2082902,2070637,2196588,2405812,2381061,2841570,2056364,2421404,4218374,5447613,3170915,3097509,4276716,4829968,4385370,3733546,6445577,3826781,4035878,3715237
2AAGG,(Ara Toplam),(Subtotal),BUCIM,30127396,32023429,39841062,31468551,31603090,36003135,34023724,30810859,44876469,57568210,50509569,67884027,62339950,52294104,52871625,64900335,73533153,62568477,61673470,84867136,81883590,83956639,102321545
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,BUCIM,5853924,12907540,11229365,10829551,9021322,7913156,7373701,4303062,4155069,4781093,4465119,45980678,9812489,12979808,8254943,16724920,48571690,40952639,50851823,57849115,61104768,76039509,116878264
2BA,Finansal Borçlar,Long-Term Financial Loans,BUCIM,883436,8085876,6711454,5878558,4283396,3216297,2269230,991403,332236,97255,72540,1375486,5390329,8481723,4119211,8250734,40142266,36535311,43324309,48732641,42360539,63369665,93393126
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,BUCIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
