FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,CANTE,0,0,43186496,39860801,44089741,51644760,40553459,75046119,75752254,82796850,190435628,186427279,147757520,150365609,207651235,150418322,167232245,152124001,189554683,189729125,159907535,117164928
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,CANTE,0,0,161875,156447,1280803,4321266,1763852,17170610,36360706,34570788,18424121,5863934,1342173,11383263,5492856,5953423,1095391,1465376,5584910,481938,3918650,15552435
1AB,Finansal Yatırımlar,Short-Term Financial Investments,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,CANTE,0,0,15893427,12356640,14073471,12834964,11622745,9473443,13444561,16562003,80479238,137699474,97513250,86667622,108881517,67551552,81972714,79556955,66240569,57717611,50316586,18081260
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,CANTE,0,0,3317380,472512,370900,392119,249625,833908,774294,697848,1107515,3293558,2610793,459471,637998,853977,9191252,6542894,35916608,28952296,31593173,5651694
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,CANTE,0,0,17202944,18589727,20130841,21700300,16631226,18561320,19375977,22482601,52414560,33392714,28905682,32194025,61850268,55954446,55644400,43925509,57061308,90467793,57987524,57720620
1AG,Canlı Varlıklar,Short-Term Live Assets,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,CANTE,0,0,6610871,8285475,8233726,12396111,10286011,29006838,5796716,8483610,38010195,6177598,17385622,19661227,30788597,20104924,19328486,20633267,24751288,12109486,16091602,20158919
1AI,(Ara Toplam),(Subtotal),CANTE,0,0,43186496,39860801,44089741,51644760,40553459,75046119,75752254,82796850,190435628,186427279,147757520,150365609,207651235,150418322,167232245,152124001,189554683,189729125,159907535,117164928
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,CANTE,0,0,327610151,293126107,279581253,274297642,375317919,341654535,299169974,292405441,721869279,293712786,232730536,224047182,661975308,460194569,533477219,558012131,727140840,612697998,614238426,617873803
1B,Ticari Alacaklar,Trade Receivables,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35895897,35806085,44911538,42469422,42375146,42166185
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,CANTE,0,0,28219,25147,24120,23581,15708,14304,12566,11352,18469,10943,8116,7656,10047,6345,6241,6004,7283,5429,5159,4940
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,CANTE,0,0,604240,492826,433272,389666,246444,195508,146369,109273,150693,78041,315844,291478,585408,536481,337336,312117,377068,466116,271666,260107
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,CANTE,0,0,292432486,259010352,247376620,243064160,368581408,334834712,293529649,264243517,639915705,257525834,193016694,181303982,580776637,418378748,444714012,465035630,611602191,538450341,538427030,545855545
1BGA,Şerefiye,Goodwill,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,CANTE,0,0,4517282,3885606,3536847,3365273,2299586,2069902,1923685,1672304,6549777,2191728,2021263,1988270,7523933,5326933,5506585,16448098,21967931,18832766,19106604,18861045
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,CANTE,0,0,19204252,18506841,16558775,19259530,0,0,0,23388222,70944404,31491581,34314578,37526478,68934603,33112812,43838606,36905860,46122867,10593134,12234469,8970499
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,CANTE,0,0,10823672,11205335,11651619,8195432,4174774,4540109,3557705,2980772,4290231,2414660,3054041,2929319,4144679,2833250,3178543,3498337,2151962,1880790,1818352,1755483
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,CANTE,0,0,370796647,332986908,323670994,325942402,415871378,416700653,374922227,375202291,912304907,480140065,380488057,374412791,869626543,610612891,700709464,710136132,916695523,802427123,774145960,735038732
1BM,KAYNAKLAR,LIABILITIES,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,CANTE,0,0,88513745,80250517,66902562,81747895,81028735,81524917,71010970,59890755,109150054,127424438,113159565,78375442,39988863,24262617,83285446,84954066,113374409,51041159,57161774,40234340
2AA,Finansal Borçlar,Short-Term Financial Loans,CANTE,0,0,43895734,43592638,28414076,35378912,46839398,29209925,26054506,25094153,25920776,16156759,21480409,1942133,558610,540624,1264111,1579726,2226833,11632635,16583429,9178960
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,CANTE,0,0,608224,487222,418871,372936,222635,165356,1548587,205127,76249,28698,276193,252389,377559,380864,158897,113685,96446,370271,351483,334478
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,CANTE,0,0,24839297,21500843,20050271,20863592,15297530,18258941,17273271,12620131,20455132,17224658,21389538,22114907,23484536,13225054,20269084,20598855,34309780,27371542,28780419,21579510
2AAGAB,Diğer Borçlar,Other Short-Term Loans,CANTE,0,0,13577331,7601048,11992519,12285383,9931773,10396581,16883416,8225601,14060049,90591005,65088104,49650134,10408683,5846756,11112485,12022236,12389692,7628989,5968545,4219644
2AAGAC,Müşteri Söz. Doğan Yük.,None,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,CANTE,0,0,988370,1809894,2147800,6892533,4575471,18964738,0,1846662,495623,0,0,0,0,304,46060086,45463601,60124713,0,0,0
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),CANTE,0,0,0,0,0,0,0,0,0,118639,2503477,240545,0,471,5720,64475,0,0,0,0,0,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,CANTE,0,0,606934,556096,655258,590124,434927,503390,595936,527040,1000622,593376,511048,612519,718138,533985,548711,601917,776009,760766,909152,752484
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,CANTE,0,0,3997854,4702776,3223767,5364415,3727001,4025985,8655253,11253401,44638126,2589398,4414272,3802890,4435616,3670554,3872071,4574046,3450935,3276956,4568746,4169263
2AAGG,(Ara Toplam),(Subtotal),CANTE,0,0,88513745,80250517,66902562,81747895,81028735,81524917,71010970,59890755,109150054,127424438,113159565,78375442,39988863,24262617,83285446,84954066,113374409,51041159,57161774,40234340
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,CANTE,0,0,175665354,176979671,156758716,140409573,138959080,137708407,107626860,101741719,171986764,107148167,100617546,7225879,5792697,2200636,2059961,3314096,3262101,57316956,57622663,58002481
2BA,Finansal Borçlar,Long-Term Financial Loans,CANTE,0,0,174391041,175900916,155686814,139102663,125192267,124669913,106209189,101162637,169930980,106504281,96599335,3173544,105630,28216,190265,94490,584565,306010,152681,447255
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,CANTE,0,0,746830,585946,537480,712783,434084,295352,208804,126515,147854,46893,2281579,1952117,2378382,1348783,1175150,983408,1012834,821257,665504,524968
2BBBA,Müşteri Söz.Doğan Yük.,None,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54942904,55301216,55393909
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,CANTE,0,0,135008,136662,134033,138040,113032,120833,133062,160713,291340,164286,198676,227988,331492,236771,186913,248547,326838,351793,342195,387287
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,CANTE,0,0,268610,260289,285179,273323,13111319,12547234,1021907,257604,1574265,419091,537962,1017042,1939641,1513,0,1563300,901374,627656,961902,1110923
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,CANTE,0,0,123864,95858,115209,182764,108377,75075,53898,34250,42325,13616,999995,855187,1037552,585353,507633,424351,436491,267337,199164,138138
2N,Özkaynaklar,SHAREHOLDERS EQUITY,CANTE,0,0,106617548,75756721,100009717,103784934,195883564,197467329,196284398,213569817,631168089,245567460,166710945,288811470,823844983,584149638,615364057,621867970,800059013,694069007,659361524,636801912
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,CANTE,0,0,106617548,75756721,100009717,103784934,195883564,197467329,196284398,213569817,631168089,245567460,166710945,288811470,823844983,584149638,613209299,619902128,797582052,692119353,657388607,634824537
2OA,Ödenmiş Sermaye,Share Capital,CANTE,0,0,33959396,30262085,36798951,35977289,23964652,21822894,19171549,17248721,17083066,16677264,30924328,29169401,31809954,29004715,212861066,204783149,198054539,185020233,175824617,168343690
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,CANTE,0,0,0,0,21454906,0,13879464,0,0,9989839,34559128,0,0,0,154642846,112375102,28906034,8381833,10805384,8857580,8922960,9184431
2OCB,Değer Artış Fonları,Market Value Surpluses,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48407483,34899747
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,CANTE,0,0,0,0,0,0,0,0,0,0,0,1423147,1055566,995664,2002467,1455143,6356306,6660527,8586374,7038574,7090527,7298303
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),CANTE,0,0,-20200087,-13522502,-12970306,-12680700,-8446677,-20032836,-17598973,-15833867,447757888,104300670,58898230,55555810,522415787,395520226,358170706,374935456,483816234,360732078,363394729,374232025
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),CANTE,0,0,5025456,-19255722,-20353389,-13753491,-13552236,28216176,54864684,89977113,139226458,24560773,21190424,39544592,21871805,-16434907,-22937804,-25497101,-43758246,-7792901,-47120055,-72023810
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,CANTE,0,0,87832784,78272860,75079555,94241835,180038361,167461096,139847136,112188011,-7458452,98605606,54642397,163546002,91102124,62229359,29852992,50638264,89713314,138263789,100868346,112890150
2ODA,Azınlık Payları,Minority Interests,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154758,1965842,2476961,1949654,1972917,1977375
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,CANTE,0,0,370796647,332986908,323670994,325942402,415871378,416700653,374922227,375202291,912304907,480140065,380488057,374412791,869626543,610612891,700709464,710136132,916695523,802427123,774145960,735038732
3B,Sürdürülen Faaliyetler,Continuing Operations,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,CANTE,56539561,76639860,105235801,32103483,63471906,101971776,133660172,64916582,133589705,202178080,686101012,120126294,200296538,279065691,353299652,55895353,96524459,171971231,232893989,26931530,68070927,118150277
3CA,Satışların Maliyeti (-),Cost Of Sales,CANTE,-38429733,-53981795,-75032827,-25130908,-47671308,-75860796,-96957408,-28608981,-73262272,-121689826,-450954590,-95228931,-159297123,-217990160,-294501096,-46144000,-81741548,-129464291,-194414857,-25705602,-63836198,-109653667
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,CANTE,18109829,22658065,30202975,6972575,15800597,26110980,36702764,36307601,60327434,80488254,235146422,24897362,40999414,61075531,58798556,9751352,14782911,42506940,38479132,1225928,4234729,8496610
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),CANTE,18109829,22658065,30202975,6972575,15800597,26110980,36702764,36307601,60327434,80488254,235146422,24897362,40999414,61075531,58798556,9751352,14782911,42506940,38479132,1225928,4234729,8496610
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),CANTE,-33880,-617592,-1053702,0,0,0,0,0,0,0,0,-127891,-544358,-1753469,-4432391,-1153479,-1425322,-2578253,-3583045,-77424,-209806,-314620
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),CANTE,-1726704,-2420293,-3031698,-620315,-1735883,-2276568,-2872471,-1016873,-1830592,-2236081,-7401235,-6783938,-9682729,-18693159,-6769421,-4635394,-11494340,-19184277,-6077018,-1433571,-2968065,-4152209
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20615,0,0,0
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,CANTE,3584474,3984181,6239485,1386045,2029312,3403649,3693024,274581,1457702,2046288,5199572,707196,4342244,6884150,8009424,1660221,2727910,3273427,5785031,1471674,3696677,2796129
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),CANTE,-5539460,-4086628,-3206386,-1010629,-1610470,-7085295,-9409867,-947350,-1643482,-3442141,-11223958,-1380181,-3053108,-11669191,-18976258,-1622430,-9449872,-12810336,-18404370,-6845241,-11475242,-16332404
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,CANTE,14394258,19517733,29150674,6727676,14483556,20152766,28113451,34617958,58311061,76856320,221720801,17312548,32061464,35843863,36629910,4000271,-4858714,11207500,16179114,-5658634,-6721708,-9506494
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,CANTE,16349244,19620179,26117575,6352260,14064715,23834412,33830294,35290727,58496842,78252173,227745186,17985533,30772328,40628904,47596744,3962480,1863249,20744410,28798453,-285067,1056858,4029781
3HA,Yatırım Faaliyetlerinden Gelirler,None,CANTE,7978,57830,55419,20266,15798,15381,13966,0,0,1653699,3650489,45022,161758,175719,165589,0,38160,38577,40482,0,564224,702751
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,CANTE,0,0,0,0,0,0,0,-9545,-8959,-8381,-212,0,-83652,-72467,-65804,0,-3084640,-2805574,-2507832,0,0,0
3HAB,Diğer Gelir ve Giderler,None,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
