FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,CEMTS,60516034,58860811,66709594,67287510,64332750,64175379,70666338,69847711,89556266,93732037,91579194,153240164,95340075,77872311,79205052,134993163,119072170,115994824,116289250,109916163,85821835,92948863,120906510
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,CEMTS,15169429,16869817,27166540,13938624,10053002,8628592,5218635,11854931,3162863,6792702,19666598,29389712,20796744,21423805,19458961,34427439,39396058,39250555,32121965,33771529,18394519,26337057,39566580
1AB,Finansal Yatırımlar,Short-Term Financial Investments,CEMTS,3937358,2334668,0,0,0,0,0,0,2165824,0,0,0,0,0,0,0,0,3021039,10279747,9006737,5377920,4686747,9394684
1AC,Ticari Alacaklar,Short-Term Trade Receivables,CEMTS,19308829,15227264,15357692,21275985,22223071,18189940,27400329,19372032,29293802,37349671,23921921,42570703,29694848,22734372,24781953,36160229,27832375,23715707,23220321,23977383,21413330,22008452,26637879
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,CEMTS,29844,33679,57254,32242,56053,99185,144429,59942,94903,89571,94783,1186625,1315849,538076,505235,1226212,1882740,1354728,1341598,1402945,1367167,3224017,826777
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,CEMTS,20268493,22494389,21924697,30099166,30226706,34932523,35259967,35764708,50009137,46569332,44143830,72175081,39086140,30714808,29295688,45729239,36635094,33724394,34264173,36030197,33770114,33939330,33265797
1AG,Canlı Varlıklar,Short-Term Live Assets,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,CEMTS,1802080,1900995,2203411,1941494,1773918,2325140,2642978,2796098,4829738,2930761,3752063,7918043,4446494,2461249,5163215,17450043,13325903,14928401,15061447,5727373,5498785,2753261,11214793
1AI,(Ara Toplam),(Subtotal),CEMTS,60516034,58860811,66709594,67287510,64332750,64175379,70666338,69847711,89556266,93732037,91579194,153240164,95340075,77872311,79205052,134993163,119072170,115994824,116289250,109916163,85821835,92948863,120906510
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,CEMTS,25257960,24415195,22736003,26719521,23810585,25240291,25011712,19274137,19994587,24753966,27602954,80207805,32237813,26504564,28153209,71555493,50353999,54088930,57400909,115515851,91683221,90892211,91676399
1B,Ticari Alacaklar,Trade Receivables,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,CEMTS,55,53,46,48,43,83,87,256,233,205,184,301,178,132,125,167,106,104,100,2125,1743,1883,1880
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,CEMTS,1500331,1962875,2649161,5059248,4099587,3408545,3493605,2541816,3729289,3655020,5838306,15254248,8272544,6028290,8595654,9945701,7228752,7265082,6217534,9407106,5995535,5394092,5082450
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,CEMTS,22249896,21042502,18852108,20959247,18594762,20315999,20385536,14107815,13931318,18777668,18136143,64279967,20273302,16169236,15987979,59315402,42182941,46081678,50572790,105379200,85323621,84611212,85922744
1BGA,Şerefiye,Goodwill,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,CEMTS,646909,658669,467950,533656,510641,570689,555688,87690,129945,167989,221314,673290,343002,195334,275045,356781,423079,226522,368018,279922,362321,523910,669326
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,CEMTS,860769,751097,766737,167321,605552,944976,576796,2536561,2203803,2153085,3407008,0,3348787,4111572,3294407,1937441,519121,515544,242466,447499,0,361116,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,CEMTS,85773993,83276006,89445597,94007031,88143335,89415670,95678050,89121848,109550853,118486003,119182149,233447969,127577888,104376875,107358261,206548656,169426170,170083753,173690159,225432014,177505056,183841075,212582909
1BM,KAYNAKLAR,LIABILITIES,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,CEMTS,12168065,8938261,17356285,12084976,13077176,10825126,10105370,14551011,27395650,30037098,25489390,31469262,23910381,14826707,9808908,19128343,21811823,15639298,16750144,27420564,23333989,21273746,25033896
2AA,Finansal Borçlar,Short-Term Financial Loans,CEMTS,2887384,2580396,7477727,1191326,2949,338,608,254,9617647,18653968,16134983,17944716,10636148,5978243,3153,3704348,9126837,6058844,9444438,11428045,9230424,9301585,13994535
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,CEMTS,4702253,4122424,4882138,6914558,6912020,5793030,5458742,5736244,8371529,5035993,5885638,9198484,5858213,4120127,4218469,6931154,6164755,6187006,4397578,9085938,7176411,7413882,6191871
2AAGAB,Diğer Borçlar,Other Short-Term Loans,CEMTS,2707586,568686,501999,524524,2136565,293,286,191,1913005,258,232,378,2631471,289,272,366,231,30930,30161,36097,2934345,25764,518
2AAGAC,Müşteri Söz. Doğan Yük.,None,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,CEMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
