FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,CIMSA,259845518,194823502,192752862,344007100,264635473,199078633,223389301,167739914,199630860,238814874,311316853,797858050,310086722,261018531,264324619,591691855,361619517,407677321,816879865,684291724,498177630,523348329,517939714
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,CIMSA,114915970,60642062,53698758,121619567,42570218,65052772,49580620,19314896,25418698,38747831,107924469,368971546,115004378,73832259,58433494,308752920,156462886,173423414,581208659,272816895,130550620,143587978,129873285
1AB,Finansal Yatırımlar,Short-Term Financial Investments,CIMSA,0,0,0,0,0,0,0,0,0,0,34477057,92977845,10990786,27907235,32835922,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,CIMSA,78154641,75242622,78978277,43290489,42632511,80582092,87155957,67469542,72824409,89059693,89793230,148007420,88659669,98433837,109671589,114781851,99030967,107757053,117932597,200787524,173101494,202123786,202093642
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,CIMSA,431475,426402,423144,334976,138981,133164,140687,79205,70788,64704,59181,586323,54253,48590,49552,1066314,1472254,386039,393096,1216650,2816193,577986,479034
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,CIMSA,40288303,32804098,30618417,30763150,33479101,34394153,38608604,52239827,69675109,81857257,67635826,152439569,65199189,49664896,53844709,140073547,86337142,110004379,106653083,183406535,168691933,159806367,170361578
1AG,Canlı Varlıklar,Short-Term Live Assets,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,CIMSA,26035393,24045655,27574759,22684974,19576914,18876859,27571077,15137738,19315472,18585941,11426992,34875187,30178342,11131637,9489280,27017120,18316205,16106376,10692372,26064050,23017336,17252163,15132126
1AI,(Ara Toplam),(Subtotal),CIMSA,259825782,193160839,191293355,218693155,138397724,199039040,203056946,154241209,187304476,228315426,311316756,797857890,310086618,261018454,264324546,591691753,361619455,407677260,816879807,684291653,498177577,523348278,517939666
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,CIMSA,19736,1662663,1459506,125313945,126237749,39593,20332355,13498705,12326384,10499448,97,160,104,77,73,102,62,61,59,71,53,50,48
1AK,Duran Varlıklar,LONG TERM ASSETS,CIMSA,419010345,405763970,369967578,346076236,314142523,302864522,274141799,225337615,214087533,247738168,238453410,1221158445,308904773,276743204,281492999,1287557144,894586286,966567372,1011136488,1714872425,1349383698,1515746275,1534750082
1B,Ticari Alacaklar,Trade Receivables,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,CIMSA,655275,905222,836455,860805,591071,566934,554275,373374,340005,289710,260609,1833333,251983,186899,176293,797591,451187,484958,486945,521609,412040,410249,453109
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,CIMSA,9797,9405,8302,8675,7730,7415,7249,4829,4397,3863,3476,1433429,3335,2474,2334,4056417,71361320,89438807,83553046,99579462,63795135,68408938,64006652
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,CIMSA,48644311,50366150,48184806,95301888,91868452,90299365,87623544,76553623,79431677,77653126,79081765,125440636,130686843,128534960,129612922,118745800,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130690,1708398,1856859,1857865
1BFA,Stoklar,Stoklar,CIMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,CIMSA,7241518,6651677,6280474,3347369,2667840,2169995,1877992,1275653,969158,1033868,874350,18202915,1317347,1258697,1761759,17452096,10482352,11392355,9886316,16864668,18038574,20020998,20400730
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,CIMSA,320287356,306066714,276280204,212520333,189665854,181576485,156238097,108392718,100165681,90135984,81871288,717522422,97637613,90046077,96819660,760264620,548143528,592992522,644886126,997553183,798973878,930588786,954438574
