FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,DOAS,385332523,490281380,619969612,619138940,671029518,639294725,552585643,1449133528,587626897,618067867,625793199,1179937914,903619644,904917935,1120607307,1626060160,1315050860,1091069536,1100255862,1511913186,1370771825,1626075168,1555930508
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,DOAS,56402340,63421924,63631635,88204690,61142217,142749457,226884929,693662173,198168173,127806655,191704066,297594918,234477533,94434085,308315321,374203477,406935344,144697053,41214423,334072795,100455758,68656097,71535102
1AB,Finansal Yatırımlar,Short-Term Financial Investments,DOAS,0,0,0,0,0,0,0,0,16682579,26243934,61311172,178890241,15213261,38097187,42157515,61592131,12190140,10054128,10358546,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,DOAS,116505660,171863905,201355875,140884066,178265634,170019779,105513182,214205272,127955468,187510754,129816086,294985052,263060434,237618749,306827390,630526020,300444261,306204596,351234316,562612731,406928215,393435990,335313913
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,DOAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,DOAS,13372939,12516811,14202184,13948094,15536399,15661864,12011580,31629746,14221980,9189882,9612874,16421258,10693826,8769482,10672063,25007104,115655647,72858086,85601609,53008851,139714831,127260552,139598669
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,DOAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,DOAS,191499506,234200861,333168860,370234639,408145262,304184386,203274720,428681869,222591264,260180392,223120940,381091821,366188516,518583975,447259134,521365928,459846770,542289686,598400380,546884970,702619067,1006944470,991656117
1AG,Canlı Varlıklar,Short-Term Live Assets,DOAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,DOAS,7552078,8277879,7611058,5867451,7940006,6679240,4901231,10162810,8007433,7136250,10228060,10954623,13986074,7414456,5375884,13365501,19978697,14965988,13446588,15333840,21053955,29778059,17826707
1AI,(Ara Toplam),(Subtotal),DOAS,385332523,490281380,619969612,619138940,671029518,639294725,552585643,1378341871,587626897,618067867,625793199,1179937914,903619644,904917935,1120607307,1626060160,1315050860,1091069536,1100255862,1511913186,1370771825,1626075168,1555930508
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,DOAS,0,0,0,0,0,0,0,70791657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,DOAS,331218871,316799212,295317787,338404617,296921878,284981313,293827759,1453920243,234880827,217435026,258803963,1467465834,713128707,540148901,571254904,1696456989,1219265048,1277513023,1329228465,1760449644,1430399221,1443116089,1496542413
1B,Ticari Alacaklar,Trade Receivables,DOAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,DOAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,DOAS,1133480,1020349,1264840,1360878,550906,1243115,964529,377893,123640,37205,103223,98441,34866,50755,34456,1177330,562430,298462,59299,5536,11048,129482,1268879
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,DOAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,DOAS,85309276,81899643,72295717,75550607,67325077,64575835,63133959,168610425,56726157,49834286,44836110,206355648,388989618,288518377,272145227,165031619,119924375,127862388,133982067,117509742,96327137,97038134,99881702
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,DOAS,76741776,77000073,79445031,106385297,84003573,77931554,84085896,290631618,65156477,64987898,67121027,277591021,129855898,109410737,131987238,416824216,282623579,273348639,265355489,333867707,263775972,266777260,282818771
1BE,Canlı Varlıklar,Long-Term Live Assets,DOAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
