FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,EUPWR,21626958,30365470,0,0,0,119332799,76612468,169950366,165389557,291159325,215024951,223421498,232674146,265414612,217591459,226936357,257358832
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,EUPWR,1109436,1265175,0,0,0,6138213,6022108,17972021,19343579,22383279,4787686,17499947,9610883,10450987,11015867,15205815,9378114
1AB,Finansal Yatırımlar,Short-Term Financial Investments,EUPWR,0,10772,0,0,0,71108,24920,63284550,52831036,65536175,43601547,37220916,35674336,24072758,11599976,2002140,1929195
1AC,Ticari Alacaklar,Short-Term Trade Receivables,EUPWR,11780622,12113464,0,0,0,40118300,9144954,23944012,29120324,40980018,43178403,29703849,39457617,62117950,34557392,33741397,40362636
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,EUPWR,103398,217937,0,0,0,4403534,2117593,2162074,2641399,6722220,7241154,1855601,1879324,3717164,3103820,3130331,5446472
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,EUPWR,0,0,0,0,0,44109011,37746734,22136291,29593816,61282582,44755284,43416359,57877627,73516548,65399578,69457531,83199252
1AF,Stoklar,Inventories,EUPWR,7887832,9319849,0,0,0,18019966,7751217,23871223,20038248,72344997,54289195,69047203,65113406,78341803,70356508,77461595,87127864
1AG,Canlı Varlıklar,Short-Term Live Assets,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,EUPWR,745670,7438273,0,0,0,6472667,13804941,16580195,11821155,21910055,17171682,24677622,23060952,13197401,21558320,25937547,29915299
1AI,(Ara Toplam),(Subtotal),EUPWR,21626958,30365470,0,0,0,119332799,76612468,169950366,165389557,291159325,215024951,223421498,232674146,265414612,217591459,226936357,257358832
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,EUPWR,10394086,14720552,0,0,0,55181454,33257382,29500456,39092941,112293965,82952145,93039230,106159672,150243203,118988177,125730300,139592512
1B,Ticari Alacaklar,Trade Receivables,EUPWR,4846646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,EUPWR,1004,2682,0,0,0,3150,1866,1624,1531,250616,158269,155662,149755,99652,95973,257533,952609
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,EUPWR,18294,10183,0,0,0,34486,16989,12602,16262,21837,36978,16907,14423,25410,21647,21802,22438
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,EUPWR,0,0,0,0,0,0,0,0,0,0,0,348940,335698,522035,427925,431097,443730
1BFA,Stoklar,Stoklar,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,EUPWR,4057150,13100264,0,0,0,39519058,27811011,24289861,33144243,89961955,66024840,74221947,83311402,114907340,97159464,102806538,112955009
1BGA,Şerefiye,Goodwill,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,EUPWR,1014833,1510906,0,0,0,13836056,4174104,3036073,4224969,20533106,14877317,16650145,16696789,24065661,19391072,19890185,22566568
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,EUPWR,456159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,EUPWR,0,96516,0,0,0,1788704,1253412,2160296,1705936,1526450,1854741,1645629,5651605,10623106,1892096,2323146,2652159
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,EUPWR,32021044,45086022,0,0,0,174514254,109869849,199450823,204482498,403453290,297977096,316460729,338833818,415657815,336579637,352666657,396951344
1BM,KAYNAKLAR,LIABILITIES,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,EUPWR,16535522,22985248,0,0,0,73395580,45105066,56648499,58596879,115709243,83889919,84489422,84274088,90922416,63538380,73435010,79949641
2AA,Finansal Borçlar,Short-Term Financial Loans,EUPWR,7557669,4303434,0,0,0,12459588,7668297,5778172,8150368,10840553,7451088,6479096,5118321,6648225,7763687,8222313,9329102
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19269,45991,4906
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,EUPWR,6136936,15912988,0,0,0,41789985,27379068,36705399,36242653,67610889,40175769,47337230,43095619,45655649,31372163,37580050,45122891
2AAGAB,Diğer Borçlar,Other Short-Term Loans,EUPWR,3933,4907,0,0,0,28454,28565,181217,72486,14361354,10714515,9858417,11799225,15317231,10400807,6385774,6247956
2AAGAC,Müşteri Söz. Doğan Yük.,None,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,EUPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,EUPWR,0,0,0,0,0,13984465,6393311,7430343,8151134,16533656,20030578,16837736,19199590,18088842,7923650,15294732,14751741
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),EUPWR,0,369073,0,0,0,2854847,753260,4101532,3053015,2337740,1390414,225876,848972,449567,571105,0,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,EUPWR,84710,118174,0,0,0,374600,332455,273023,208452,516864,462132,714179,914093,1241456,1004713,877038,1063090
