FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,GOODY,272850955,164406947,179268929,195659114,201359006,212661049,229519752,196154664,217817663,245029067,292093048,485735297,363318937,238978951,277576457,348036547,250516096,243452814,259814906,311823832,266631634,270346441,243710938
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,GOODY,89636063,4250488,10889590,27234965,4329164,10503423,6969056,3937091,4106002,11893588,11502637,23315077,14288795,17350549,18807451,24435270,14249646,26098514,25093189,48397436,22483120,27488355,8887475
1AB,Finansal Yatırımlar,Short-Term Financial Investments,GOODY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,GOODY,96390315,81358139,113907452,101976984,131420181,119497498,134324017,101317457,108435723,109936452,123843996,189597432,224611654,131217616,163897748,186303891,157926570,107605136,120232245,130084835,130954126,110865875,96527051
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,GOODY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,GOODY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,GOODY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,GOODY,61709762,63251091,48857412,59685526,56143865,69629745,71350655,78365015,91857789,105381271,134545110,220870114,89454106,67265007,76714327,115084753,66724945,85192361,85925617,94463165,83914312,94181185,102893130
1AG,Canlı Varlıklar,Short-Term Live Assets,GOODY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,GOODY,25114815,15547229,5614475,6761638,9465795,13030383,16876024,12535101,13418149,17817756,22201306,51952673,34964382,23145778,18156931,22212633,11614936,24556804,28563854,38878396,29280076,37811027,35403282
